universe,universe_label,n,n_populist,auc,logit_coef,logit_se,method,sensitivity,specificity,accuracy,youden_j,degenerate,threshold_absolute,percentile,threshold_percentile_value
imputed_zero,All V-Party parties in PopuList's countries; unlisted = not populist,1378,271,0.889640563072298,6.747623895475878,0.3821541323713687,youden,0.8782287822878229,0.7488708220415538,0.7743105950653121,0.6270996043293766,FALSE,0.362,54.29024583663759,0.382
imputed_zero,All V-Party parties in PopuList's countries; unlisted = not populist,1378,271,0.889640563072298,6.747623895475878,0.3821541323713687,accuracy,0.5793357933579336,0.9512195121951219,0.8780841799709724,0.5305553055530554,FALSE,0.6535,83.2355273592387,0.822
listed_only,Only parties PopuList lists (right-tail-selected controls),375,288,0.6435584291187738,2.000527678510628,0.5222270607439335,youden,0.6006944444444444,0.6896551724137931,0.6213333333333333,0.29034961685823757,FALSE,0.5945,78.46153846153847,0.744
listed_only,Only parties PopuList lists (right-tail-selected controls),375,288,0.6435584291187738,2.000527678510628,0.5222270607439335,accuracy,1,0,0.768,0,TRUE,0.081999999,8.580491673275178,0.031
