sample,window,group,decade,n_cell,n_treated_ert,n_treated_union
popucut,4,Non-OECD,2000s,86,9,13
popucut,4,Non-OECD,2010s,89,12,12
popucut,5,OECD,1970s,11,1,1
popucut,5,OECD,1980s,11,0,0
popucut,5,OECD,1990s,13,0,0
popucut,5,OECD,2000s,3,0,0
popucut,5,OECD,2010s,14,2,2
popucut,5,Non-OECD,1970s,31,3,3
popucut,5,Non-OECD,1980s,45,1,2
popucut,5,Non-OECD,1990s,86,8,13
popucut,5,Non-OECD,2000s,86,13,17
popucut,5,Non-OECD,2010s,89,15,15
popucut,6,OECD,1970s,11,1,1
popucut,6,OECD,1980s,11,0,0
popucut,6,OECD,1990s,13,1,1
popucut,6,OECD,2000s,3,0,0
popucut,6,OECD,2010s,14,3,3
popucut,6,Non-OECD,1970s,31,3,3
popucut,6,Non-OECD,1980s,45,1,2
popucut,6,Non-OECD,1990s,86,14,18
popucut,6,Non-OECD,2000s,86,15,19
popucut,6,Non-OECD,2010s,89,15,15
popucut,7,OECD,1970s,11,2,2
popucut,7,OECD,1980s,11,0,0
popucut,7,OECD,1990s,13,1,1
popucut,7,OECD,2000s,3,0,0
popucut,7,OECD,2010s,14,3,3
popucut,7,Non-OECD,1970s,31,3,3
popucut,7,Non-OECD,1980s,45,1,3
popucut,7,Non-OECD,1990s,86,14,18
popucut,7,Non-OECD,2000s,86,17,22
popucut,7,Non-OECD,2010s,89,18,18
popucut,8,OECD,1970s,11,2,2
popucut,8,OECD,1980s,11,0,0
popucut,8,OECD,1990s,13,1,1
popucut,8,OECD,2000s,3,0,0
popucut,8,OECD,2010s,14,5,5
popucut,8,Non-OECD,1970s,31,3,3
popucut,8,Non-OECD,1980s,45,1,3
popucut,8,Non-OECD,1990s,86,16,20
popucut,8,Non-OECD,2000s,86,26,30
popucut,8,Non-OECD,2010s,89,19,19
popucut,9,OECD,1970s,11,2,2
popucut,9,OECD,1980s,11,0,0
popucut,9,OECD,1990s,13,1,1
popucut,9,OECD,2000s,3,0,0
popucut,9,OECD,2010s,14,5,5
popucut,9,Non-OECD,1970s,31,3,3
popucut,9,Non-OECD,1980s,45,1,3
popucut,9,Non-OECD,1990s,86,18,22
popucut,9,Non-OECD,2000s,86,26,31
popucut,9,Non-OECD,2010s,89,22,22
popucut,10,OECD,1970s,11,2,2
popucut,10,OECD,1980s,11,0,0
popucut,10,OECD,1990s,13,1,1
popucut,10,OECD,2000s,3,0,0
popucut,10,OECD,2010s,14,5,5
popucut,10,Non-OECD,1970s,31,3,3
popucut,10,Non-OECD,1980s,45,3,5
popucut,10,Non-OECD,1990s,86,23,27
popucut,10,Non-OECD,2000s,86,32,37
popucut,10,Non-OECD,2010s,89,24,24
