election_id,country_name,country_text_id,election_year,election_type,running_var,illiberal_score,other_score,backsliding_Nyr,Y_gdp_growth,Y_polyarchy,ap_name,ap_abbr,ap_score,ap_share,ap_cand,op_name,op_abbr,op_score,op_share,op_cand,group,side,in_popucut,label,op_label
pres_75,Azerbaijan,AZE,1998,presidential,65.77502082038542,0.993,0.385,0,0.5156278384752522,0.0010000000000000009,New Azerbaijan Party,YAP,0.993,77.60573613383583,Heydar Aliyev,Azerbaijan National Independence Party,AMIP,0.385,11.830715313450408,Etibar Mammadov,Non-OECD,won,TRUE,New Azerbaijan Party (YAP),Azerbaijan National Independence Party
parl_1390,El Salvador,SLV,1978,parliamentary,85.18518518518519,0.992,0.796,0,-0.2722528034005318,-0.032,National Conciliation [Coalition] Party,PCN,0.992,92.5925925925926,NA,Popular Party El Salvador,PPS,0.796,7.4074074074074066,NA,Non-OECD,won,FALSE,National Conciliation [Coalition] Party (PCN),Popular Party El Salvador
parl_1386,El Salvador,SLV,1970,parliamentary,34.61538461538461,0.99,0.315,0,0.1568176791539333,-0.019000000000000017,National Conciliation [Coalition] Party,PCN,0.99,65.38461538461539,NA,Christian Democratic Party,PDC,0.315,30.76923076923077,NA,Non-OECD,won,TRUE,National Conciliation [Coalition] Party (PCN),Christian Democratic Party
parl_1387,El Salvador,SLV,1972,parliamentary,59.61538461538461,0.99,0.442,0,0.18131182113338262,-0.015999999999999986,National Conciliation [Coalition] Party,PCN,0.99,75,NA,National Opposition Union,UNO,0.442,15.384615384615385,NA,Non-OECD,won,TRUE,National Conciliation [Coalition] Party (PCN),National Opposition Union
parl_1388,El Salvador,SLV,1974,parliamentary,40.38461538461539,0.99,0.442,0,0.12965924261486883,-0.014999999999999986,National Conciliation [Coalition] Party,PCN,0.99,69.23076923076923,NA,National Opposition Union,UNO,0.442,28.846153846153843,NA,Non-OECD,won,TRUE,National Conciliation [Coalition] Party (PCN),National Opposition Union
parl_342,Bangladesh,BGD,2001,parliamentary,50.66666666666667,0.99,0.896,1,0.24419119173813808,-0.08900000000000002,Islam Conference Bangladesh,JEB,0.99,71.66666666666667,NA,Bangladesh People's League,BAL,0.896,21,NA,Non-OECD,won,FALSE,Islam Conference Bangladesh (JEB),Bangladesh People's League
parl_4138,Swaziland,SWZ,1972,parliamentary,75,0.99,0.605,1,0.5721425435670069,-0.11599999999999999,Imbokodvo National Movement,INM,0.99,87.5,NA,Ngwane National Liberatory Congress,NNLC,0.605,12.5,NA,Non-OECD,won,TRUE,Imbokodvo National Movement (INM),Ngwane National Liberatory Congress
parl_4899,Zimbabwe,ZWE,2013,parliamentary,46.66666666666667,0.99,0.412,0,0.07587922159784721,0.046999999999999986,Zimbabwe African National Union – Patriotic Front,ZANU-PF,0.99,72.5925925925926,NA,Movement for Democratic Change – Tsvangirai,MDC-T,0.412,25.925925925925924,NA,Non-OECD,won,TRUE,Zimbabwe African National Union – Patriotic Front (ZANU-PF),Movement for Democratic Change – Tsvangirai
pres_1587,Zimbabwe,ZWE,2013,presidential,27.503637744823962,0.99,0.412,0,0.07587922159784721,0.046999999999999986,Zimbabwe African National Union – Patriotic Front,ZANU-PF,0.99,61.87564263404683,Robert Mugabe,Movement for Democratic Change – Tsvangirai,MDC-T,0.412,34.372004889222865,Morgan Tsvangirai,Non-OECD,won,TRUE,Zimbabwe African National Union – Patriotic Front (ZANU-PF),Movement for Democratic Change – Tsvangirai
pres_536,El Salvador,SLV,1977,presidential,34.60000000000001,0.99,0.442,0,-0.22450903312819825,-0.04100000000000001,National Conciliation [Coalition] Party,PCN,0.99,67.30000000000001,Carlos Humberto Romero,National Opposition Union,UNO,0.442,32.7,Ernesto Claramount Rozeville,Non-OECD,won,TRUE,National Conciliation [Coalition] Party (PCN),National Opposition Union
parl_337,Bangladesh,BGD,1986,parliamentary,25.666666666666664,0.989,0.886,0,0.10781026084161738,0.295,National Party (Ershad),JD,0.989,51,NA,Bangladesh People's League,BAL,0.886,25.333333333333336,NA,Non-OECD,won,FALSE,National Party (Ershad) (JD),Bangladesh People's League
parl_1877,Guatemala,GTM,1984,parliamentary,2.2727272727272734,0.988,0.374,0,-0.05595383333620241,0.275,National Liberation Movement Party,MLN,0.988,26.136363636363637,NA,National Center Union,UCN,0.374,23.863636363636363,NA,Non-OECD,won,TRUE,National Liberation Movement Party (MLN),National Center Union
parl_1337,Ecuador,ECU,2017,parliamentary,28.467153284671532,0.985,0.257,0,0.049836576601990146,0.121,PAIS Alliance,PAIS,0.985,54.74452554744526,NA,"Grow, Creating Opportunities Movement",CREO,0.257,26.277372262773724,NA,Non-OECD,won,TRUE,PAIS Alliance (PAIS),"Grow, Creating Opportunities Movement"
parl_2430,"Korea, Republic of",KOR,1988,parliamentary,18.394648829431436,0.985,0.17,0,0.4528208063296333,0.344,Democratic Justice Party,DJP,0.985,41.80602006688963,NA,Party for Peace and Democracy,PPD,0.17,23.411371237458194,NA,OECD,won,TRUE,Democratic Justice Party (DJP),Party for Peace and Democracy
