Anti-pluralism,Populism,GAL-TAN,Economic left,Anti-elitism,n_elections
no,no,no,no,no,3
no,no,no,yes,no,3
yes,yes,no,yes,yes,3
no,yes,no,yes,yes,2
yes,yes,yes,yes,yes,2
no,no,yes,no,no,1
yes,no,no,no,no,1
yes,no,yes,no,no,1
yes,yes,no,no,yes,1
yes,yes,yes,no,yes,1
