window,treatment_def,outcome,outcome_label,panel,spec,treatment,n_first_stage,n_first_stage_treated,first_stage_coef,first_stage_pval,n_outcome,n_outcome_treated,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
1,backsliding_Nyr,Y_elecoff,Elected officials,vdem_electoral,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,NA,0,NA,NA,1343,0,0.03449763302755156,0.0191410596915574,0.07150067372690913,NA,NA,NA,NA
1,backsliding_Nyr,Y_frefair,Clean elections,vdem_electoral,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,NA,0,NA,NA,1343,0,0.00741747255819509,0.00749694806754642,0.3224679872877379,NA,NA,NA,NA
1,backsliding_Nyr,Y_frassoc,Association,vdem_electoral,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,NA,0,NA,NA,1343,0,-0.00148960033116285,0.00934562387680409,0.8733615039584929,NA,NA,NA,NA
1,backsliding_Nyr,Y_suffr,Suffrage,vdem_electoral,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,NA,0,NA,NA,1343,0,2.1898968607084876e-4,2.0060025287280237e-4,0.2749772816390147,NA,NA,NA,NA
1,backsliding_Nyr,Y_freexp,Expression & alt. info,vdem_electoral,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,NA,0,NA,NA,1343,0,-0.00216258176190482,0.01152567103907885,0.8511653397893827,NA,NA,NA,NA
1,backsliding_Nyr,Y_cl_rol,Rule of law,vdem_liberal,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,NA,0,NA,NA,1343,0,-0.00515996589278136,0.00878279959059476,0.5568625125868405,NA,NA,NA,NA
1,backsliding_Nyr,Y_cspart,Civil society,vdem_particip,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,NA,0,NA,NA,1343,0,0.0013250240986267,0.01079925622082243,0.902347937259145,NA,NA,NA,NA
1,backsliding_Nyr,Y_dd,Direct democracy,vdem_particip,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,NA,0,NA,NA,1343,0,0.00715310620188033,0.00368158875198389,0.05202340321904608,NA,NA,NA,NA
1,backsliding_Nyr,Y_locelec,Local elections,vdem_particip,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,NA,0,NA,NA,1331,0,0.00426463872915707,0.00616346942659767,0.4889864528362281,NA,NA,NA,NA
1,backsliding_Nyr,Y_regelec,Regional elections,vdem_particip,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,NA,0,NA,NA,1342,0,-0.00127619678195133,0.0064634579162819,0.8434769771648858,NA,NA,NA,NA
1,backsliding_Nyr,Y_delib,Deliberation,vdem_egal_delib,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,NA,0,NA,NA,1343,0,3.151918947863555e-4,0.01270099478822002,0.980201477119006,NA,NA,NA,NA
1,backsliding_Nyr,Y_eqprotec,Equal protection,vdem_egal_delib,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,NA,0,NA,NA,1343,0,2.1115933649419843e-4,0.00441430780897943,0.9618475759644184,NA,NA,NA,NA
1,backsliding_Nyr,Y_eqaccess,Equal access,vdem_egal_delib,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,NA,0,NA,NA,1343,0,0.00230800547392631,0.00354672704976712,0.515212824132689,NA,NA,NA,NA
1,backsliding_Nyr,Y_eqdr,Equal distribution,vdem_egal_delib,instr-antiplural_w1_trt-ert_gapany_illibany_exclyr_pre,backsliding_Nyr,NA,0,NA,NA,1343,0,0.00835695053349212,0.00336118211219099,0.0129074412024468,NA,NA,NA,NA
1,backsliding_union_Nyr,Y_gdp_growth,PWT,growth,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1328,14,-0.00317421236215147,0.00691717873517408,0.6463143840259695,0.1208179925554221,0.7140482121334524,0.8656381896393326,14.53770359100369
1,backsliding_union_Nyr,Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1321,14,-0.00350984655925788,0.00692019259708836,0.6120221114579827,0.12803729704122752,1.3160218192277142,0.9224951713712798,15.441584477441342
1,backsliding_union_Nyr,Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1007,12,-0.00254272109918184,0.00780000051327138,0.7444320246836091,-0.01031950584811242,0.5237012539096443,0.9842787438084398,13.254828845774547
1,backsliding_union_Nyr,Y_inflation,"CPI, cumulative log",inflation,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1216,12,0.00590447410112023,0.0470701516406023,0.9001753189766664,-0.33682230005362224,7.935186010286592,0.9661426167273778,16.339891184363765
1,backsliding_union_Nyr,Y_unemployment,Unemployment rate,unemployment,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,907,12,0.05825943959463542,0.22170204714308897,0.7927181502359255,11.331994623037591,26.34512407672627,0.6670964839070816,15.417942268186218
1,backsliding_union_Nyr,Y_trade_pct_gdp,Trade / GDP,trade,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1186,12,-2.1799843074399656,2.1200490190720265,0.3038225054705288,75.57349478602157,268.78649888861963,0.7785834520637687,13.198349265153151
1,backsliding_union_Nyr,Y_top10_share,Top-10% income share,top10,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1228,13,-0.2824841107888447,0.18907444618149388,0.13516609744939576,21.909510873754325,56.66598316403699,0.6990204523961585,14.524347354947604
1,backsliding_union_Nyr,Y_gini_disp,Disposable,gini,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1090,12,-0.07165594941882136,0.07063167156778136,0.31034342850965413,-19.29920979032607,207.76555081515923,0.9259914558408048,18.222173755389846
1,backsliding_union_Nyr,Y_gini_mkt,Market,gini,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1090,12,0.062648389336247,0.07870869336552645,0.4260595849383292,7.751506845803584,12.723679483726178,0.5423793113103426,29.060172281283943
1,backsliding_union_Nyr,Y_debt,Debt / GDP,fiscal,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1281,14,0.18345124683282732,2.6880084796741497,0.9455882044775678,-22.16201611728187,317.76140515736273,0.9443972580853258,15.471687231672885
1,backsliding_union_Nyr,Y_deficit,Deficit / GDP,fiscal,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1126,12,-0.6029896510334993,1.2678029347853277,0.6343466871534862,-277.7437329430427,813.5667938775881,0.7328098494417885,22.748119529497774
1,backsliding_union_Nyr,Y_checks_balances,Checks & balances,institutions,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1315,14,-0.00462016561041622,0.00864624670052341,0.5930959101047736,0.12170351632484652,1.1910993528056,0.9186158118561966,14.412386488742166
1,backsliding_union_Nyr,Y_jucon,Judicial constraints,institutions,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,-0.00710760049501896,0.00701243591522879,0.31078758221064995,0.17999454020296757,2.017515761637444,0.928910307427716,15.297639791496938
1,backsliding_union_Nyr,Y_legcon,Legislative constraints,institutions,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1315,14,-0.00173267322361078,0.01097973246878917,0.8746092714295597,-0.06285866899622654,1.059294162809031,0.9526811865151824,13.910722082020271
1,backsliding_union_Nyr,Y_hos_power,HOS,exec_power,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,0.00260995153544168,0.0071390611314245,0.7146729014039575,-0.02775660953780706,0.4448598949501978,0.9502490349153738,11.988199256280277
1,backsliding_union_Nyr,Y_hog_power,HOG,exec_power,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,705,14,-0.01075648281627627,0.00700237194212599,0.1245089789607034,-0.9726030382695988,13.797138878019735,0.9438011953130496,18.137737463523735
1,backsliding_union_Nyr,Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,0.00326783392587574,0.01598692098775744,0.8380356868789534,-0.3308576549409652,1.3788520773325297,0.8103678383703131,14.470810511346
1,backsliding_union_Nyr,Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,0.00126973305915704,0.01808382716216465,0.9440235418732495,0.35673532529185953,2.643102033206144,0.8926368370382992,15.674924876364411
1,backsliding_union_Nyr,Y_polyarchy,Electoral (polyarchy),vdem_high,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,0.00373360463135729,0.00692113851078486,0.5895767412119834,-0.1295388256948783,0.42996358492204073,0.7632020601580547,12.171672449096462
1,backsliding_union_Nyr,Y_libdem,Liberal,vdem_high,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,-9.11299813007354e-4,0.00573689989188369,0.8737879795277744,0.00843805561646644,0.5401830187621381,0.9875369638153284,13.530146034918284
1,backsliding_union_Nyr,Y_partipdem,Participatory,vdem_high,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1342,14,0.0032834190703132,0.00427223577446029,0.44216157258341104,-0.08059741287054849,0.3166991834579267,0.7991154733443473,13.372825807586842
1,backsliding_union_Nyr,Y_delibdem,Deliberative,vdem_high,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,7.695833385586359e-4,0.00691307503137117,0.911360322141835,-0.10224550404246416,0.6030945116951943,0.8653760064812203,14.189433503155144
1,backsliding_union_Nyr,Y_egaldem,Egalitarian,vdem_high,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,0.00285694912925981,0.00412015304540326,0.4880532315891576,-0.14848602798915544,0.3141554918274132,0.6364619165822059,14.176003155001904
1,backsliding_union_Nyr,Y_elecoff,Elected officials,vdem_electoral,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,0.03449763302755156,0.0191410596915574,0.07150067372690913,-2.2549175905676817,3.2124129322557,0.4827172700700047,12.033401134354158
1,backsliding_union_Nyr,Y_frefair,Clean elections,vdem_electoral,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,0.00741747255819509,0.00749694806754642,0.3224679872877379,3.0051436256561024,8.600598760786932,0.7267807927212258,21.851284743332045
1,backsliding_union_Nyr,Y_frassoc,Association,vdem_electoral,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,-0.00148960033116285,0.00934562387680409,0.8733615039584929,0.04103288943778757,1.018736289022812,0.9678713136429148,13.968732971718351
1,backsliding_union_Nyr,Y_suffr,Suffrage,vdem_electoral,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,2.1898968607084876e-4,2.0060025287280237e-4,0.2749772816390147,0.03534412439893905,0.2740676927051546,0.8973882756294879,15.49317486416786
1,backsliding_union_Nyr,Y_freexp,Expression & alt. info,vdem_electoral,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,-0.00216258176190482,0.01152567103907885,0.8511653397893827,0.2206937835701561,1.508395174420737,0.8836764178214788,14.142503154250528
1,backsliding_union_Nyr,Y_cl_rol,Rule of law,vdem_liberal,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,-0.00515996589278136,0.00878279959059476,0.5568625125868405,0.5120352474374484,2.4891950069703492,0.8370227998655037,14.753064388678997
1,backsliding_union_Nyr,Y_cspart,Civil society,vdem_particip,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,0.0013250240986267,0.01079925622082243,0.902347937259145,-0.27216950190818207,1.8353081409054437,0.8821088942907274,16.435927672380732
1,backsliding_union_Nyr,Y_dd,Direct democracy,vdem_particip,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,0.00715310620188033,0.00368158875198389,0.05202340321904608,5.563491646872405,18.017446382648,0.7574861583172678,21.84021559398613
1,backsliding_union_Nyr,Y_locelec,Local elections,vdem_particip,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1331,14,0.00426463872915707,0.00616346942659767,0.4889864528362281,0.02244129154761023,0.5330263649090528,0.9664176617011364,13.637500511994675
1,backsliding_union_Nyr,Y_regelec,Regional elections,vdem_particip,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1342,14,-0.00127619678195133,0.0064634579162819,0.8434769771648858,0.1390276073074684,0.5980676967695173,0.8161797251642933,12.010723781265607
1,backsliding_union_Nyr,Y_delib,Deliberation,vdem_egal_delib,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,3.151918947863555e-4,0.01270099478822002,0.980201477119006,0.01434972773558945,1.3673254457693962,0.9916265611246436,14.558237683029484
1,backsliding_union_Nyr,Y_eqprotec,Equal protection,vdem_egal_delib,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,2.1115933649419843e-4,0.00441430780897943,0.9618475759644184,-0.03772206081272145,0.6090209345240278,0.9506115231632936,15.960171899882717
1,backsliding_union_Nyr,Y_eqaccess,Equal access,vdem_egal_delib,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,0.00230800547392631,0.00354672704976712,0.515212824132689,-0.4655748201670596,1.7073913318215828,0.7850977008065195,16.50891158265633
1,backsliding_union_Nyr,Y_eqdr,Equal distribution,vdem_egal_delib,instr-antiplural_w1_trt-ertOrDdcg_gapany_illibany_exclyr_pre,backsliding_union_Nyr,1347,14,-0.01156681631414698,0.591477628404885,1343,14,0.00835695053349212,0.00336118211219099,0.0129074412024468,-0.4371832289949229,1.2950642354336424,0.7356823672066473,14.460506943679029
1,polyarchy_decline,Y_gdp_growth,PWT,growth,instr-antiplural_w1_trt-polyarchy_gapany_illibany_exclyr_pre,polyarchy_decline,1343,362,-0.00373360463135729,0.5895767412119834,1328,358,-0.00317421236215147,0.00691717873517408,0.6463143840259695,-3.348273703235887,27.356290314128437,0.9025861822339974,20.47445620021809
1,polyarchy_decline,Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w1_trt-polyarchy_gapany_illibany_exclyr_pre,polyarchy_decline,1343,362,-0.00373360463135729,0.5895767412119834,1321,355,-0.00350984655925788,0.00692019259708836,0.6120221114579827,-1.4298008896271246,15.79780806878787,0.9278849012452544,20.01983028260514
1,polyarchy_decline,Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w1_trt-polyarchy_gapany_illibany_exclyr_pre,polyarchy_decline,1343,362,-0.00373360463135729,0.5895767412119834,1007,271,-0.00254272109918184,0.00780000051327138,0.7444320246836091,-26.684248408575527,193.90594176083516,0.8905451800604928,22.866992594758813
