level,n,n_treated,fs_coef,fs_se,fs_pval,fs_n,rf_coef,rf_se,rf_pval,late_coef,late_se,late_pval
all,1347,142,-0.02524478175740104,0.05761594902663189,0.6612731013716799,1347,-0.053125954158510985,0.026745364453216368,0.04699323192751867,1.4237848267718562,5.998664526631127,0.8123850427396738
q20 (≥ 0.254),1076,119,-0.03172385269944966,0.06234731482923645,0.610875116484512,1076,-0.06465046687508262,0.03536152029745219,0.06750878469875335,1.4917138124633427,8.007686848662793,0.8522210869329545
q40 (≥ 0.834),808,93,-0.010352748581801852,0.07330248717024357,0.8876856787054388,808,-0.0612018024967203,0.051913872415059716,0.2384338683028287,-5.545167353674994,21.034907881301685,0.7920747630193624
q60 (≥ 1.44),538,54,0.06438133220862072,0.11571641069341511,0.5779568042686984,538,-0.11021630640339064,0.08376462402825932,0.18824593237091758,-1.5374738469789997,4.686069735495419,0.7428401897915717
q80 (≥ 2.09),269,34,0.16077851725569584,0.14782033946057432,0.27674449492558084,269,-0.07650261590372048,0.0806707258669322,0.3429605590907487,-0.36566708083900595,0.47994576000996725,0.44612415931608834
