subset,subset_label,window,treatment,outcome,outcome_label,panel,n_elections,first_stage_coef,first_stage_se,first_stage_pval,n_first_stage,n_outcome,rd_estimate,rd_se,rd_pval,rd_ci_lo,rd_ci_hi,bandwidth,late_estimate,late_se,late_pval,late_ci_lo,late_ci_hi
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_gdp_growth,GDP per capita growth: PWT,growth,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,239,-0.01317876699364632,0.03687695857021968,0.7208138518599447,-0.08545627765065256,0.05909874366335991,20.368789585924794,-0.18103075849000488,0.46432790886587716,0.6966275238346415,-1.0910967368839202,0.7290352199039105
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_gdp_growth_wb,GDP per capita growth: World Bank,growth,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,239,-0.01426019311338976,0.03445160321691463,0.6789330042708233,-0.08178409462820668,0.05326370840142716,22.306046185465352,-0.15541689229711075,0.4433092500542286,0.725900864268798,-1.0242870564168596,0.7134532718226381
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_gdp_growth_imf,GDP per capita growth: IMF WEO,growth,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,195,-0.01302616046151421,0.034354264170756835,0.7045604580182696,-0.08035928095157237,0.054306960028543946,22.975537425217524,NA,NA,NA,NA,NA
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_inflation,Inflation,inflation,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,230,0.04747924777184287,0.7375397163276171,0.9486714970755765,-1.3980720333981742,1.49303052894186,21.491085180745753,0.20671394112918132,7.720668135582104,0.9786399109750246,-14.925517541197744,15.338945423456105
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_unemployment,Unemployment,unemployment,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,169,-0.7793518569836433,0.7356131645239785,0.2893908729135419,-2.221127166004178,0.6624234520368915,17.23347289994519,NA,NA,NA,NA,NA
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_trade_pct_gdp,Trade openness,trade,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,218,-2.54696315107434,4.379226708717013,0.5608353894916749,-11.130089780295561,6.0361634781468805,15.740149427961626,-117.99161505162704,266.5295412231243,0.6579854915003067,-640.3799166649342,404.3966865616801
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_top10_share,Top-10% income share,top10,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,220,-0.5080602851088484,0.7468541185657891,0.49633535254846733,-1.9718674592032017,0.9557468889855051,17.057768524194625,NA,NA,NA,NA,NA
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_gini_disp,Income inequality (Gini): Disposable,gini,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,191,0.18140217807008338,0.3968133205030262,0.6475651020109994,-0.5963376387015971,0.9591419948417639,20.11155044275605,1.3186544116425467,3.5680992601050723,0.7117045849378129,-5.674691631427407,8.3120004547125
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_gini_mkt,Income inequality (Gini): Market,gini,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,191,-0.5843770822106064,0.35283514620121526,0.09767471764452962,-1.2759212612449125,0.10716709682369974,18.273699543506215,-3.8967121154919484,4.25732664297687,0.3600364965618637,-12.240919006149422,4.447494775165526
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_debt,Public debt and deficit: Debt / GDP,fiscal,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,236,12.052006679083823,15.161760686761351,0.4266746245079992,-17.66449820918369,41.76851156735134,16.746003252486247,121.46378208138792,176.46468603058474,0.49125268340917294,-224.40064708172645,467.3282112445023
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_deficit,Public debt and deficit: Deficit / GDP,fiscal,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,201,-0.6351606608494431,3.2336608970681606,0.8442802363099566,-6.973019557318519,5.702698235619632,21.711041938016578,-3.1224954727691645,31.81429053425022,0.9218151103101719,-65.47735911359312,59.2323681680548
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_checks_balances,Executive constraints: Checks & balances,institutions,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,240,-0.011652907834837679,0.040383355130577635,0.7729202531291214,-0.09080282946566062,0.06749701379598527,24.90738270405526,-0.17039212105136853,0.5355601010429997,0.7503659531694306,-1.2200706306522797,0.8792863885495426
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_jucon,Executive constraints: Judicial constraints,institutions,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,241,0.0850037082611356,0.033734113580444675,0.011741669764130092,0.018886060593080525,0.15112135592919068,15.892046262789329,0.6554177831467032,0.434064387321707,0.1310548534245558,-0.19533278297528667,1.506168349268693
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_legcon,Executive constraints: Legislative constraints,institutions,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,240,-0.07114993355723812,0.06390922391491163,0.2655809865019066,-0.19640971071037078,0.05410984359589455,19.184416564230013,-1.0653318446947808,1.5190884461795546,0.48311781918251345,-4.04269048853762,1.9120267991480575
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_hos_power,Executive power (ET): HOS,exec_power,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,241,-0.05686026466391674,0.026048509309438164,0.029046077300921656,-0.10791440476137185,-0.005806124566461644,17.522501383396637,-0.5228756762036614,0.34306122474028394,0.12747203804067156,-1.195263321186819,0.14951196877949624
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_hog_power,Executive power (ET): HOG,exec_power,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,94,0.1332376739491589,0.07147781818354804,0.062315769561414845,-0.006856275384097388,0.27333162328241517,25.148425584135204,-214.42748411359383,185.83306220124896,0.24855283332932465,-578.6535931648334,149.79862493764568
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_hos_power_vdem,Executive power (V-Dem): HOS (v2ex_hosw),exec_power_alt,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_hog_power_vdem,Executive power (V-Dem): HOG (v2ex_hogw),exec_power_alt,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_polyarchy,V-Dem high-level democracy indices: Electoral (polyarchy),vdem_high,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,241,-0.004107314392541471,0.04246443630292287,0.9229458743956445,-0.08733608017006547,0.07912145138498253,25.54833214886071,0.03686962253207118,0.6136922956505629,0.9520932304098751,-1.1659451745327385,1.239684419596881
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_libdem,V-Dem high-level democracy indices: Liberal,vdem_high,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,241,0.004482982011088681,0.034242383486427407,0.8958393055011994,-0.0626308563671181,0.07159682038929546,22.876678334081777,0.07016014395468334,0.4314021867933133,0.8708075630686126,-0.7753726050120315,0.9156928929213981
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_partipdem,V-Dem high-level democracy indices: Participatory,vdem_high,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,241,0.0052819793906955055,0.02312389811751006,0.8193191179635413,-0.040040028101797756,0.05060398688318876,22.525361760209076,0.09904270978222862,0.2540106612862855,0.6965989859929507,-0.3988090380280934,0.5968944575925507
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_delibdem,V-Dem high-level democracy indices: Deliberative,vdem_high,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,241,-0.004022667389725265,0.04170101634154459,0.9231516730351279,-0.08575515753786887,0.07770982275841835,24.543096748105157,0.1605757196192881,0.5216461847219257,0.7582155224996399,-0.8618320151084142,1.1829834543469904
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_egaldem,V-Dem high-level democracy indices: Egalitarian,vdem_high,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,241,-4.8543713157793086e-4,0.023891250210006966,0.983789205672139,-0.047311427088826574,0.046340552825670706,25.556492607579255,0.09801876424557047,0.3216660111426262,0.7605777645686035,-0.5324350326446364,0.7284725611357773
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_elecoff,V-Dem mid-level: electoral component: Elected officials,vdem_electoral,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,241,-0.002947363842218406,0.1077572081548504,0.9781790661120063,-0.21414761090031095,0.20825288321587412,20.634196559106172,-1.352026483046821,1.9325158000693181,0.48416472043137415,-5.139687850737291,2.4356348846436493
right,Anti-pluralist party is the more RIGHT-wing of the top 2,1,backsliding_Nyr,Y_frefair,V-Dem mid-level: electoral component: Clean elections,vdem_electoral,241,0.11409780428497175,0.09152266490036744,0.21252155473281886,241,241,0.011212053920985024,0.07706135881093935,0.8843199451393489,-0.13982543394817443,0.16224954179014445,30.287422649724398,-0.2584674656033706,1.2267773418160224,0.8331306111770864,-2.662906872612557,2.145971941405816
