row,col,n,n_treated,fs_coef,fs_se,fs_pval,fs_n,rf_coef,rf_se,rf_pval,late_coef,late_se,late_pval
all,all,1347,173,-0.050462944442171004,0.061205218766481044,0.40966255385284633,1347,-0.053125954158510985,0.026745364453216368,0.04699323192751867,0.9120982418532466,1.3877580308611601,0.5110228321809134
all,q20 (≥ 0.254),1076,147,-0.07926670331633034,0.0656743101867723,0.22744498098562935,1076,-0.06465046687508262,0.03536152029745219,0.06750878469875335,0.61787811039802365,0.8270709242207595,0.45502259599456707
all,q40 (≥ 0.834),808,113,-0.043959730430529975,0.08461877949251026,0.6034098514527184,808,-0.0612018024967203,0.051913872415059716,0.2384338683028287,0.8492617663968547,2.1890547358442625,0.6980469565375639
all,q60 (≥ 1.44),538,65,0.010453831142840209,0.12561688608938587,0.9336766489216247,538,-0.11021630640339064,0.08376462402825932,0.18824593237091758,-9.732176073683533,121.01957378250856,0.9359046536874303
all,q80 (≥ 2.09),269,41,0.06236886957415566,0.16432471984845762,0.7042820929508136,269,-0.07650261590372048,0.0806707258669322,0.3429605590907487,-1.175367980993553,1.586015108626348,0.4586434428894268
q20 (≥ 0.018),all,1081,152,-0.071052420988930165,0.06544680079520541,0.27763318185118185,1081,-0.06471106403744502,0.035830020061891454,0.07090941259708605,0.5084938479692162,0.5503160309110502,0.35548457933896027
q20 (≥ 0.018),q20 (≥ 0.254),1016,140,-0.08034324652678336,0.06767985832979137,0.235185342152602,1016,-0.06477349480469602,0.03760173250102071,0.08495727370118299,0.4996768806206928,0.6544441694570632,0.4451572851361819
q20 (≥ 0.018),q40 (≥ 0.834),773,110,-0.04350067512115645,0.08513888230442593,0.6093945958907443,773,-0.06510774090077001,0.05304883525259734,0.21970344328215555,0.91506736489554,2.7170451391459096,0.7362769510256606
q20 (≥ 0.018),q60 (≥ 1.44),508,63,0.0026082853704029185,0.12487490500241284,0.9833356484677401,508,-0.09338181570922141,0.07806852506039377,0.23163728171745698,0.4258482576871132,18.43558688162184,0.9815711027548373
q20 (≥ 0.018),q80 (≥ 2.09),255,39,0.048338135316261716,0.1623997564359318,0.7659710240258597,255,-0.0799245883552856,0.08231791779589376,0.3315852405171422,-1.5908856607787318,2.6357054655874346,0.5461162127522471
q40 (≥ 0.09),all,810,126,-0.03812240710589945,0.08132379028330441,0.6392318135322073,810,-0.07769427421690876,0.04686706061262909,0.09736619446245136,1.2355250815348513,2.767456209460647,0.6552737210637817
q40 (≥ 0.09),q20 (≥ 0.254),809,126,-0.03652768652141092,0.08151564777925525,0.6540763823597087,809,-0.06919953977244996,0.04566882455971993,0.12970991808687543,0.856324874648843,1.781093222843414,0.6306685261814815
q40 (≥ 0.09),q40 (≥ 0.834),691,106,-0.05310974067037044,0.08393639196993362,0.5269047824042579,691,-0.08028839598129511,0.057701518801418196,0.1640910197591846,0.8956737168953196,3.0507826950735657,0.7690726144890832
q40 (≥ 0.09),q60 (≥ 1.44),470,63,0.006306002141577921,0.12929910884358226,0.9611020687926175,470,-0.10019936948921054,0.078822942281261,0.2036591072463304,0.6149509256829179,9.625723499661586,0.9490608382334449
q40 (≥ 0.09),q80 (≥ 2.09),238,39,0.08182514073218863,0.17547394494238977,0.6409940890209755,238,-0.09312071023799826,0.08269109260707122,0.26011157156003384,-1.984036129799727,2.873792280991521,0.4899492531051076
q60 (≥ 0.199),all,539,89,-0.0791614384316979,0.10095749862045747,0.43297757790562824,539,-0.06762748017404276,0.055238311274766604,0.22084443136729467,0.6632255182946202,1.3113443212217921,0.6130251342983857
q60 (≥ 0.199),q20 (≥ 0.254),539,89,-0.0791614384316979,0.10095749862045747,0.43297757790562824,539,-0.06762748017404276,0.055238311274766604,0.22084443136729467,0.6632255182946202,1.3113443212217921,0.6130251342983857
q60 (≥ 0.199),q40 (≥ 0.834),523,83,-0.03920663762690371,0.11002313828793846,0.7215792020172955,523,-0.07058823679320066,0.06203660903308959,0.2551839222799839,0.400788105871438,7.514045624443838,0.9574621858427261
q60 (≥ 0.199),q60 (≥ 1.44),401,56,-0.03642737357387826,0.1378832033499274,0.7916334599237044,401,-0.060040008693321406,0.07714041261372005,0.43637975556995245,0.3245452283388935,3.3584756832648512,0.9230165134333295
q60 (≥ 0.199),q80 (≥ 2.09),208,34,0.01824236173957869,0.19702430313307548,0.9262297662472829,208,-0.013485167080902277,0.07827936332141153,0.8632254574573444,-1.7369899426176247,3.854255001416669,0.6522287461811024
q80 (≥ 0.437),all,271,43,-0.2654568010503577,0.20386126804816324,0.1928670402036326,271,-0.07521352964944585,0.09690321944395909,0.43764765544098677,0.3310715393813792,0.7420899391744454,0.6555004674736685
q80 (≥ 0.437),q20 (≥ 0.254),271,43,-0.2654568010503577,0.20386126804816324,0.1928670402036326,271,-0.07521352964944585,0.09690321944395909,0.43764765544098677,0.3310715393813792,0.7420899391744454,0.6555004674736685
q80 (≥ 0.437),q40 (≥ 0.834),271,43,-0.2654568010503577,0.20386126804816324,0.1928670402036326,271,-0.07521352964944585,0.09690321944395909,0.43764765544098677,0.3310715393813792,0.7420899391744454,0.6555004674736685
q80 (≥ 0.437),q60 (≥ 1.44),259,39,-0.23156743016526446,0.21803450229210208,0.28820489432828494,259,-0.07602902248975263,0.10349267717330309,0.46256370229570276,0.30011523763210207,0.9110053884682259,0.7418284285675285
q80 (≥ 0.437),q80 (≥ 2.09),160,26,-0.23651248386625223,0.3330331389274141,0.4775943661675017,160,0.04297520462434347,0.0679434178208602,0.5270506628335538,0.31082352306917516,2.3498410132095002,0.8947673518931437
