axis,axis_label,level,n,n_treated,fs_coef,fs_se,fs_pval,fs_n,rf_coef,rf_se,rf_pval,late_coef,late_se,late_pval
R1,R1: top-2 illiberality gap,all,1347,173,-0.050462944442171004,0.061205218766481044,0.40966255385284633,1347,-0.053125954158510985,0.026745364453216368,0.04699323192751867,0.9120982418532466,1.3877580308611601,0.5110228321809134
R1,R1: top-2 illiberality gap,q20 (≥ 0.018),1081,152,-0.071052420988930165,0.06544680079520541,0.27763318185118185,1081,-0.06471106403744502,0.035830020061891454,0.07090941259708605,0.5084938479692162,0.5503160309110502,0.35548457933896027
R1,R1: top-2 illiberality gap,q40 (≥ 0.09),810,126,-0.03812240710589945,0.08132379028330441,0.6392318135322073,810,-0.07769427421690876,0.04686706061262909,0.09736619446245136,1.2355250815348513,2.767456209460647,0.6552737210637817
R1,R1: top-2 illiberality gap,q60 (≥ 0.199),539,89,-0.0791614384316979,0.10095749862045747,0.43297757790562824,539,-0.06762748017404276,0.055238311274766604,0.22084443136729467,0.6632255182946202,1.3113443212217921,0.6130251342983857
R1,R1: top-2 illiberality gap,q80 (≥ 0.437),271,43,-0.2654568010503577,0.20386126804816324,0.1928670402036326,271,-0.07521352964944585,0.09690321944395909,0.43764765544098677,0.3310715393813792,0.7420899391744454,0.6555004674736685
R2,R2: more-illiberal party's score,all,1347,173,-0.050462944442171004,0.061205218766481044,0.40966255385284633,1347,-0.053125954158510985,0.026745364453216368,0.04699323192751867,0.9120982418532466,1.3877580308611601,0.5110228321809134
R2,R2: more-illiberal party's score,q20 (≥ 0.144),1077,170,-0.035154389913744866,0.07711406965652938,0.6484797428240701,1077,-0.07129685510338736,0.036759550084140835,0.052434833445990585,1.3429616174080086,4.979586345793856,0.7873961315210507
R2,R2: more-illiberal party's score,q40 (≥ 0.405),809,147,-0.026481122896962223,0.09491383283555427,0.7802435024937049,809,-0.08259890302898712,0.04421676354194732,0.061755802012374315,-15.051111992339766,54.27918625926216,0.7815569220982667
R2,R2: more-illiberal party's score,q60 (≥ 0.705),542,89,0.06156140308438671,0.11792827398523992,0.6016535390799712,542,-0.1593575848962559,0.08554486963132094,0.06248283926399296,-3.1620772053991804,3.9803559514422187,0.42695055093384965
R2,R2: more-illiberal party's score,q80 (≥ 0.9),275,29,0.09873517407673149,0.1898681462438829,0.603049853268607,275,-0.27352539274730964,0.14318402642685213,0.05609374665103389,0.14312625754775343,28.370782952407794,0.9959748115892224
R3,"R3: gap, within-country standardized",all,1347,173,-0.050462944442171004,0.061205218766481044,0.40966255385284633,1347,-0.053125954158510985,0.026745364453216368,0.04699323192751867,0.9120982418532466,1.3877580308611601,0.5110228321809134
R3,"R3: gap, within-country standardized",q20 (≥ 0.254),1076,147,-0.07926670331633034,0.0656743101867723,0.22744498098562935,1076,-0.06465046687508262,0.03536152029745219,0.06750878469875335,0.61787811039802365,0.8270709242207595,0.45502259599456707
R3,"R3: gap, within-country standardized",q40 (≥ 0.834),808,113,-0.043959730430529975,0.08461877949251026,0.6034098514527184,808,-0.0612018024967203,0.051913872415059716,0.2384338683028287,0.8492617663968547,2.1890547358442625,0.6980469565375639
R3,"R3: gap, within-country standardized",q60 (≥ 1.44),538,65,0.010453831142840209,0.12561688608938587,0.9336766489216247,538,-0.11021630640339064,0.08376462402825932,0.18824593237091758,-9.732176073683533,121.01957378250856,0.9359046536874303
R3,"R3: gap, within-country standardized",q80 (≥ 2.09),269,41,0.06236886957415566,0.16432471984845762,0.7042820929508136,269,-0.07650261590372048,0.0806707258669322,0.3429605590907487,-1.175367980993553,1.586015108626348,0.4586434428894268
R4,R4: prior backsliding,all,1347,173,-0.050462944442171004,0.061205218766481044,0.40966255385284633,1347,-0.053125954158510985,0.026745364453216368,0.04699323192751867,0.9120982418532466,1.3877580308611601,0.5110228321809134
R4,R4: prior backsliding,no prior episode,1240,161,-0.05421087908968378,0.06386888574103011,0.39600157521601054,1240,-0.04146400888166331,0.029943113467918305,0.16612603858615346,0.6893009887633128,0.938253570383001,0.46254423604922085
R5,R5: election type,both,1347,173,-0.050462944442171004,0.061205218766481044,0.40966255385284633,1347,-0.053125954158510985,0.026745364453216368,0.04699323192751867,0.9120982418532466,1.3877580308611601,0.5110228321809134
R5,R5: election type,presidential,397,68,-0.1921403253206318,0.15300442878647608,0.20919474040429883,397,-0.04489248181406952,0.03873323923412539,0.24644926537332176,0.22330737326747074,0.39443898628532326,0.5712991553521692
R5,R5: election type,parliamentary,950,105,0.0023893033339565384,0.06516856829293531,0.9707533665313526,950,-0.06198618244142129,0.03745739120165495,0.09795591125769221,4.439621339424483,21.242096561523677,0.8344473875575996
