level,n,n_treated,fs_coef,fs_se,fs_pval,fs_n,rf_coef,rf_se,rf_pval,late_coef,late_se,late_pval
all,1347,173,-0.050462944442171004,0.061205218766481044,0.40966255385284633,1347,-0.053125954158510985,0.026745364453216368,0.04699323192751867,0.9120982418532466,1.3877580308611601,0.5110228321809134
q20 (≥ 0.254),1076,147,-0.07926670331633034,0.0656743101867723,0.22744498098562935,1076,-0.06465046687508262,0.03536152029745219,0.06750878469875335,0.61787811039802365,0.8270709242207595,0.45502259599456707
q40 (≥ 0.834),808,113,-0.043959730430529975,0.08461877949251026,0.6034098514527184,808,-0.0612018024967203,0.051913872415059716,0.2384338683028287,0.8492617663968547,2.1890547358442625,0.6980469565375639
q60 (≥ 1.44),538,65,0.010453831142840209,0.12561688608938587,0.9336766489216247,538,-0.11021630640339064,0.08376462402825932,0.18824593237091758,-9.732176073683533,121.01957378250856,0.9359046536874303
q80 (≥ 2.09),269,41,0.06236886957415566,0.16432471984845762,0.7042820929508136,269,-0.07650261590372048,0.0806707258669322,0.3429605590907487,-1.175367980993553,1.586015108626348,0.4586434428894268
