instrument,Anti-pluralism,Populism,Economic left,Anti-elitism
Anti-pluralism,100,40.2,38.3,40.1
Populism,40.2,100,66.6,94
Economic left,38.3,66.6,100,64.8
Anti-elitism,40.1,94,64.8,100
