antipluralism_decile,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
D1,0.17222222222222222,0.13564668769716087,0.05970149253731343,0.04639175257731959,0.06199460916442048,0.08035714285714286,0.026954177897574125,0.034383954154727794,0.008823529411764706,0.008875739644970414
D2,0.11019283746556474,0.09646302250803858,0.06666666666666667,0.11206896551724138,0.04456824512534819,0.01775147928994083,0.040229885057471264,0.06542056074766354,0.0125,0.03536977491961415
D3,0.08282208588957055,0.017482517482517484,0.08745247148288973,0.03374233128834356,0.08333333333333333,0.046263345195729534,0.08333333333333333,0.05415162454873646,0.014814814814814815,0.018726591760299626
D4,0.0084985835694051,0.010309278350515464,0.039568345323741004,0.0932475884244373,0.11564625850340136,0.03125,0.06418918918918919,0.03146853146853147,0.09486166007905138,0.05363984674329502
D5,0.034482758620689655,0.0456140350877193,0.01384083044982699,0.07165109034267912,0.07792207792207792,0.04152249134948097,0.03571428571428571,0.03819444444444445,0.08494208494208494,0.10714285714285714
D6,0.008746355685131196,0.02158273381294964,0.01824817518248175,0.03773584905660377,0.052980132450331126,0.148,0.0627177700348432,0.07954545454545454,0.07661290322580645,0.0311284046692607
D7,0.04451038575667656,0.06227106227106227,0.07954545454545454,0.04672897196261682,0.02531645569620253,0.017361111111111112,0.07241379310344828,0.06985294117647059,0.06640625,0.050387596899224806
D8,0.0438871473354232,0.018796992481203006,0.0390625,0.04966887417218543,0.040955631399317405,0.033962264150943396,0.06181818181818182,0.06666666666666667,0.06276150627615062,0.07692307692307693
D9,0.03728813559322034,0.03389830508474576,0.03463203463203463,0.03571428571428571,0.025830258302583026,0.060085836909871244,0.08163265306122448,0.02510460251046025,0.04128440366972477,0.056338028169014086
D10,0.0498220640569395,0.04017857142857143,0.05069124423963134,0.04887218045112782,0.03088803088803089,0.04424778761061947,0.024193548387096774,0.04,0.023696682464454975,0.04390243902439024
