Anti-pluralism,Populism,Economic left,Anti-elitism,n_elections
yes,no,no,no,166
no,yes,yes,yes,146
yes,yes,yes,yes,84
no,no,no,no,80
no,no,yes,no,70
yes,yes,no,yes,70
yes,no,yes,no,57
no,yes,no,yes,32
no,yes,yes,no,12
yes,no,no,yes,9
no,no,yes,yes,8
yes,yes,no,no,6
yes,yes,yes,no,6
yes,no,yes,yes,5
no,no,no,yes,2
no,yes,no,no,1
