Anti-pluralism,Populism,Economic left,Anti-elitism,n_elections
yes,no,no,no,343
no,yes,yes,yes,216
yes,yes,yes,yes,167
yes,no,yes,no,159
no,no,no,no,116
yes,yes,no,yes,111
no,no,yes,no,105
no,yes,no,yes,46
no,yes,yes,no,17
yes,no,no,yes,15
yes,yes,yes,no,14
no,no,yes,yes,11
yes,yes,no,no,10
no,no,no,yes,6
yes,no,yes,yes,5
no,yes,no,no,2
