slug,key,value
instr-econleft_w9_trt-polyarchy_gapany_illibany_exclyr,instrument,v2pariglef_neg
instr-econleft_w9_trt-polyarchy_gapany_illibany_exclyr,window,9
instr-econleft_w9_trt-polyarchy_gapany_illibany_exclyr,treatment,polyarchy_decline
instr-econleft_w9_trt-polyarchy_gapany_illibany_exclyr,score_gap_min,-Inf
instr-econleft_w9_trt-polyarchy_gapany_illibany_exclyr,illiberal_cutoff,-Inf
instr-econleft_w9_trt-polyarchy_gapany_illibany_exclyr,incl_election_year,FALSE
instr-econleft_w9_trt-polyarchy_gapany_illibany_exclyr,score_gap_spec,-Inf
instr-econleft_w9_trt-polyarchy_gapany_illibany_exclyr,score_gap_form,none
instr-econleft_w9_trt-polyarchy_gapany_illibany_exclyr,illiberal_cutoff_spec,-Inf
instr-econleft_w9_trt-polyarchy_gapany_illibany_exclyr,illiberal_cutoff_form,none
