outcome,outcome_label,panel,spec,treatment,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-antiplural_w7_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.004921351143067243,0.9372542274648447,1156,-0.05156083034534095,0.03306804950367545,0.1189409831237435,-0.4725781930577124,11.696987754285175,0.967772874755405,16.76219755629563
Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w7_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.004921351143067243,0.9372542274648447,1176,-0.03908756462821669,0.029357692724994455,0.18304922368091178,5.614521924052542,63.16752007867469,0.9291748533823724,17.379196847819482
Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w7_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.004921351143067243,0.9372542274648447,897,-0.05549987193114847,0.027469440188499318,0.043339593161088846,2.830476617978829,7.245949794508004,0.6960716400538267,19.105835860540935
Y_inflation,"CPI, cumulative log",inflation,instr-antiplural_w7_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.004921351143067243,0.9372542274648447,1069,-0.07277221362151154,0.24165353053652072,0.7633056279309043,4.9290883424413625,19.138165216504493,0.796752048799436,24.862641488671752
Y_unemployment,Unemployment rate,unemployment,instr-antiplural_w7_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.004921351143067243,0.9372542274648447,819,-0.005223990202313733,0.6556431550343864,0.9936427353898684,-9.045613752472388,16.43422226316497,0.5820359599695875,25.41600772837179
Y_trade_pct_gdp,Trade / GDP,trade,instr-antiplural_w7_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.004921351143067243,0.9372542274648447,1056,-1.0974764910624426,3.311865281560867,0.7403596195221711,-64.39291812378774,250.33525784788162,0.7970037556178526,12.891504228905193
Y_top10_share,Top-10% income share,top10,instr-antiplural_w7_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.004921351143067243,0.9372542274648447,1087,-0.36821072638367863,0.6127026893525379,0.5478656304269509,9.311458129285297,21.19753280582807,0.6604652975429113,23.95507484825461
Y_gini_disp,Disposable,gini,instr-antiplural_w7_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.004921351143067243,0.9372542274648447,909,0.8203969034170349,0.3936828424936608,0.03716898058065073,-11.889290030978195,14.261244941163438,0.4044623055895266,23.078853617659412
Y_gini_mkt,Market,gini,instr-antiplural_w7_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.004921351143067243,0.9372542274648447,909,1.0489482538638182,0.4016636166330879,0.009014354686403667,-14.504047977151485,15.961274444167376,0.36350725079225815,24.24561185043119
Y_debt,Debt / GDP,fiscal,instr-antiplural_w7_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.004921351143067243,0.9372542274648447,1137,9.797565112189508,14.636299296972664,0.5032392029487214,-3772.613993591575,16122.033446477342,0.814982177699487,22.243985142481343
Y_deficit,Deficit / GDP,fiscal,instr-antiplural_w7_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.004921351143067243,0.9372542274648447,988,1.259922190900015,1.0975244410597687,0.250982055173907,-50.32127538264714,92.67971192308471,0.5871580937638572,18.96784218290401
Y_checks_balances,Checks & balances,institutions,instr-antiplural_w7_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.004921351143067243,0.9372542274648447,1191,0.009021018035307901,0.019678077816960956,0.6466436585950663,-0.20385055940457528,0.474106381353849,0.6672189392338368,26.38053452762039
Y_jucon,Judicial constraints,institutions,instr-antiplural_w7_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.004921351143067243,0.9372542274648447,1222,-0.009383946069186234,0.0230253852220378,0.6836056631268985,0.8278591385948334,2.8878755952582127,0.7743671737077155,23.7478138407253
Y_legcon,Legislative constraints,institutions,instr-antiplural_w7_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.004921351143067243,0.9372542274648447,1191,-0.0033555814921292252,0.0259297025225856,0.8970326650868987,-0.011630294803817623,0.5163382609906213,0.982029516805792,26.71592276292637
Y_hos_power,HOS,exec_power,instr-antiplural_w7_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.004921351143067243,0.9372542274648447,1222,0.007962424032581293,0.016209196535211516,0.6232646371844279,-7.614282069022404,43.74577037716284,0.861820225914649,21.013033312790224
Y_hog_power,HOG,exec_power,instr-antiplural_w7_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.004921351143067243,0.9372542274648447,616,0.0048767418247167545,0.011789324553791485,0.6791249996369558,0.14531833046248332,0.4763344437478383,0.7603080718723894,18.14014516473395
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-antiplural_w7_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.004921351143067243,0.9372542274648447,1222,0.043583808440408656,0.03132085951158846,0.16406580604801796,-2.6257934867486084,62.65647131965723,0.966572215945086,19.013935673905113
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-antiplural_w7_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.004921351143067243,0.9372542274648447,1222,-0.027918542872714922,0.031105426219137578,0.3694277763239824,2.404912176465717,7.356889182580219,0.7437491651564277,24.031896753653804
