window,treatment_def,outcome,outcome_label,panel,spec,treatment,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
1,backsliding_Nyr,Y_gdp_growth,PWT,growth,instr-antiplural_w1_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.01905341944736186,0.6013816967740881,1309,-0.00902477008541974,0.01113827704376143,0.41779748033839015,0.39697810359778224,0.6717314138255807,0.5545355446413169,22.0356927466338
1,backsliding_Nyr,Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w1_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.01905341944736186,0.6013816967740881,1325,0.00502093933850035,0.01028145571395084,0.6253026097100192,-0.02520529934691802,0.5928707656308493,0.9660889627267684,18.103349731791543
1,backsliding_Nyr,Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w1_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.01905341944736186,0.6013816967740881,1025,0.00419518160627826,0.01153671738298206,0.7161288147600475,-0.15054038270547726,0.3981548034749697,0.7053599436389941,21.581328725478176
1,backsliding_Nyr,Y_inflation,"CPI, cumulative log",inflation,instr-antiplural_w1_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.01905341944736186,0.6013816967740881,1221,0.00621326112270648,0.13081711395980855,0.9621180920432324,1.2337670448603375,9.352271464418676,0.8950462672775021,19.514621188279435
1,backsliding_Nyr,Y_unemployment,Unemployment rate,unemployment,instr-antiplural_w1_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.01905341944736186,0.6013816967740881,939,0.08025154420907284,0.3329900720370499,0.809552935975638,0.2345009922894876,33.930567098902316,0.9944857027822256,17.596643585625102
1,backsliding_Nyr,Y_trade_pct_gdp,Trade / GDP,trade,instr-antiplural_w1_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.01905341944736186,0.6013816967740881,1193,-0.3066512423328622,1.879676429092092,0.8704078586757436,14.538491521228934,118.8587851569904,0.902647692548488,16.562117305511386
1,backsliding_Nyr,Y_top10_share,Top-10% income share,top10,instr-antiplural_w1_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.01905341944736186,0.6013816967740881,1239,-0.3957128881757156,0.36023307143523453,0.2719900227604715,17.467653190129923,30.34366513985408,0.5648445957294246,19.262650872264764
1,backsliding_Nyr,Y_gini_disp,Disposable,gini,instr-antiplural_w1_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.01905341944736186,0.6013816967740881,1083,0.08306427990633879,0.15194626043932993,0.5846062926352427,-3.452551816568109,8.828861316039953,0.6957581347448828,19.133756266203747
1,backsliding_Nyr,Y_gini_mkt,Market,gini,instr-antiplural_w1_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.01905341944736186,0.6013816967740881,1083,0.04822128475809771,0.15311642011087231,0.7528131637700839,-2.067686239632174,5.123610928853544,0.6865360446704002,26.515609491741067
1,backsliding_Nyr,Y_debt,Debt / GDP,fiscal,instr-antiplural_w1_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.01905341944736186,0.6013816967740881,1289,-3.007159470266342,3.748425517995502,0.4224106579686762,200.6180752540906,453.02221623755474,0.6578787269449757,15.972432288105392
