outcome,spec,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,baseline_scoregap_ge_0,1345,-0.02495492430127172,0.6656538762129112,1205,-0.05282743151863156,0.0265906148132741,0.046956247856266446,1.3822431630867067,6.018393556227919,0.8183483742294854,23.177489902177065
Y_inflation,baseline_scoregap_ge_0,1345,-0.02495492430127172,0.6656538762129112,1135,0.005166308579058421,0.19132709077498933,0.9784577450071451,0.642986730447782,5.577454027058821,0.9082206565397166,23.07745397570269
Y_unemployment,baseline_scoregap_ge_0,1345,-0.02495492430127172,0.6656538762129112,881,0.19801689892916347,0.5799340932702681,0.7327669127109115,-7.5985540305358565,27.655209912415046,0.7835003933911122,21.93409305769207
Y_trade_pct_gdp,baseline_scoregap_ge_0,1345,-0.02495492430127172,0.6656538762129112,1113,-1.6204213420078233,2.8298168539618738,0.5668992352259212,20.98882108855699,72.06660939622031,0.7708662678469208,20.77120774016692
Y_top10_share,baseline_scoregap_ge_0,1345,-0.02495492430127172,0.6656538762129112,1150,-0.6476697350031638,0.565686374140718,0.2522393018758831,15.321320199268312,45.063812030291515,0.7338628095599773,25.473849616065934
Y_gini_disp,baseline_scoregap_ge_0,1345,-0.02495492430127172,0.6656538762129112,975,0.6633816331578543,0.31353680745612755,0.03436169738288882,-8.420484639662558,10.53661998949486,0.424195474029947,25.09114393036068
Y_gini_mkt,baseline_scoregap_ge_0,1345,-0.02495492430127172,0.6656538762129112,975,0.6576071037766402,0.3417892045925868,0.05435286932396127,-9.5496228218508,13.358062547186956,0.4746734319581825,22.007664810375296
Y_gdp_growth,high_illiberal_score,671,0.04691676394195107,0.6228745844066244,609,-0.14743446531363696,0.06568190026803766,0.02478905708086398,-1.3177226147108076,1.4826570941734043,0.3741334204196981,17.699508950604155
Y_inflation,high_illiberal_score,671,0.04691676394195107,0.6228745844066244,551,0.15772604007583513,0.42727356334494254,0.7120194035768455,1.076165852610581,4.940328057840512,0.8275593308662805,17.37081300017904
Y_unemployment,high_illiberal_score,671,0.04691676394195107,0.6228745844066244,470,0.2858579981111501,0.7140848920235261,0.6889254446922204,67.9164733395073,173.68114541212958,0.6957668257601344,28.432407049314563
Y_trade_pct_gdp,high_illiberal_score,671,0.04691676394195107,0.6228745844066244,553,-2.770439804524023,5.557868537884889,0.6181516585848924,-69.60771968692683,152.71548719932224,0.6485338011984892,14.307409880699883
Y_top10_share,high_illiberal_score,671,0.04691676394195107,0.6228745844066244,565,-0.8936278979347492,0.7102040682186325,0.2082944195342255,-10.056965282399798,12.976607259750189,0.4383353493394591,20.228898548833506
Y_gini_disp,high_illiberal_score,671,0.04691676394195107,0.6228745844066244,471,0.7337134428815995,0.4966175581478617,0.13956269442779895,11.950639421825272,34.73289104620124,0.7307916169978699,26.329403231980766
Y_gini_mkt,high_illiberal_score,671,0.04691676394195107,0.6228745844066244,471,-0.08601686722587315,0.5682667031350007,0.879686162520596,-1.524118291253727,8.302622333626362,0.8543502412522556,23.24234364617697
Y_gdp_growth,excl_indirect_election,1318,-0.013172582405164196,0.8151158639380698,1179,-0.05528725267318653,0.027888946026204366,0.04743366327599483,2.389658773363246,9.283863246985133,0.7968706369660931,20.818999650069507
Y_inflation,excl_indirect_election,1318,-0.013172582405164196,0.8151158639380698,1111,-0.0997423506150566,0.1778451815527705,0.574907922831905,2.50607958379448,10.344043813375196,0.8085688539753801,23.85180535293514
Y_unemployment,excl_indirect_election,1318,-0.013172582405164196,0.8151158639380698,864,0.23421829977097933,0.5934650898939623,0.6930921260709023,-11.794459309288818,56.01547340811249,0.8332328398148007,21.419575829046526
Y_trade_pct_gdp,excl_indirect_election,1318,-0.013172582405164196,0.8151158639380698,1088,-1.225584956238421,3.0060970835597165,0.683494138910072,-11.295875116998872,117.59930865658151,0.9234777449402627,23.733035204370413
Y_top10_share,excl_indirect_election,1318,-0.013172582405164196,0.8151158639380698,1124,-0.6077155406485184,0.5908758331328731,0.3037148927222956,17.807619575079798,58.62075010078217,0.7612979988475068,25.824062495666766
Y_gini_disp,excl_indirect_election,1318,-0.013172582405164196,0.8151158639380698,951,0.6410474065634606,0.333672278291544,0.05470792375401055,-9.252588217918923,12.280096426396673,0.45117223011038216,25.36439253182177
Y_gini_mkt,excl_indirect_election,1318,-0.013172582405164196,0.8151158639380698,951,0.6126268355716031,0.35649547373513724,0.08571089182173618,-10.892606885115475,16.72972423417722,0.5149864339084187,22.081068599708143
Y_gdp_growth,bermeo_Executive aggrandizement,1228,0.02299719929398549,0.4487828489415616,1101,-0.0691327508128892,0.03217825008765816,0.03167953035687136,-2.4383849975534004,7.211655033524899,0.735274828577359,17.360701277593797
Y_inflation,bermeo_Executive aggrandizement,1228,0.02299719929398549,0.4487828489415616,1035,-0.0688987105962463,0.18462975677209015,0.7090202124896976,4.435083067993873,45.68348800566633,0.9226606027683175,18.434139460678384
Y_unemployment,bermeo_Executive aggrandizement,1228,0.02299719929398549,0.4487828489415616,784,0.35224159225458035,0.5941665942113707,0.5532928892861242,1.2738274882341365,58.86386993548977,0.9827349447919868,18.711840173248497
Y_trade_pct_gdp,bermeo_Executive aggrandizement,1228,0.02299719929398549,0.4487828489415616,1011,-1.4819264489056643,2.7978169498068324,0.5963390796763446,-898.7520175105485,13486.464380181926,0.9468674728383684,18.419154334231933
Y_top10_share,bermeo_Executive aggrandizement,1228,0.02299719929398549,0.4487828489415616,1050,-0.9315681824509727,0.5388141215448697,0.08382285876685133,-28.440843833101383,84.14834217132835,0.735374792447631,18.914658708209053
Y_gini_disp,bermeo_Executive aggrandizement,1228,0.02299719929398549,0.4487828489415616,891,0.7811227874478979,0.34226775121323183,0.02247765137873062,30.805360676289023,67.33417796147374,0.6473119770044629,21.281769018765328
Y_gini_mkt,bermeo_Executive aggrandizement,1228,0.02299719929398549,0.4487828489415616,891,0.8132515155513699,0.3675023438670161,0.026903493916067955,36.119203302680155,99.31933333199548,0.71610639300968,23.040175985656795
Y_gdp_growth,bermeo_Other/unclear,1207,0.019558089571343792,0.12597447765219502,1079,-0.061085935300035046,0.03180191763048563,0.05475370669327072,-9.890769526942664,16.425706614076304,0.5470730672561026,9.644120767493574
Y_inflation,bermeo_Other/unclear,1207,0.019558089571343792,0.12597447765219502,1013,-0.07502713592119326,0.2045608084559654,0.7137892442777605,-23.01695812589193,59.72309729250685,0.6999450959878555,20.538917920287716
Y_unemployment,bermeo_Other/unclear,1207,0.019558089571343792,0.12597447765219502,762,0.4680537593920553,0.607422409543584,0.44096939127675877,45.930458863649264,129.3995301327434,0.7226264957863795,9.317789780195989
Y_trade_pct_gdp,bermeo_Other/unclear,1207,0.019558089571343792,0.12597447765219502,993,-0.7099164452706788,2.7976275603229,0.7996836077623143,-176.97495151107222,363.8667378264181,0.6267027406200734,10.435614063402328
Y_top10_share,bermeo_Other/unclear,1207,0.019558089571343792,0.12597447765219502,1028,-0.8027324173548896,0.5318498763499995,0.13121666013745584,-62.69507861654557,100.14084530447136,0.5312696861274675,10.510412080869271
Y_gini_disp,bermeo_Other/unclear,1207,0.019558089571343792,0.12597447765219502,868,0.6639770649278363,0.33139882483805405,0.045117332245299346,-91.25476588896034,134.13913721385694,0.4963149453103862,8.669661956092316
