outcome,spec,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,baseline_scoregap_ge_1p5,520,0.08293442039331164,0.4925327210851152,457,-0.10819706596699631,0.08556627228194329,0.20605684739127816,-1.1238597793005933,2.5300019127265077,0.6568885829146782,18.952570486879114
Y_inflation,baseline_scoregap_ge_1p5,520,0.08293442039331164,0.4925327210851152,426,-0.07505399949499181,0.30586215614992335,0.8061583060829501,-1.4610553884552016,6.102988675009825,0.8107954427541431,21.103589851390293
Y_unemployment,baseline_scoregap_ge_1p5,520,0.08293442039331164,0.4925327210851152,353,-0.5962179829981286,1.0369594078241884,0.5653132611753403,-3.3387324296231053,11.788306848117493,0.7770050661684097,23.334082192405667
Y_trade_pct_gdp,baseline_scoregap_ge_1p5,520,0.08293442039331164,0.4925327210851152,426,5.599116680948361,7.616145184282251,0.4622395470559808,-5889.044401681261,54801.905924486186,0.9144235995951902,16.936050300802588
Y_top10_share,baseline_scoregap_ge_1p5,520,0.08293442039331164,0.4925327210851152,435,-1.1281347653168552,1.1859285790718164,0.3414688357345995,-14.608879219321754,33.4142277661432,0.6619624285412106,18.60754002047726
Y_gini_disp,baseline_scoregap_ge_1p5,520,0.08293442039331164,0.4925327210851152,364,0.5379626378283847,0.667241684085435,0.42009955206520705,4.524325470649346,22.283993542257605,0.8391113642699002,19.03178033722327
Y_gini_mkt,baseline_scoregap_ge_1p5,520,0.08293442039331164,0.4925327210851152,364,0.12570126038341534,0.6349020399707179,0.8430565778823111,1.0953235957727063,13.582737737160382,0.9357275737295526,17.72941485683843
Y_gdp_growth,high_illiberal_score,259,0.10505496406295355,0.4470642023754252,237,-0.22366151266289191,0.11524281115408379,0.05228436811327394,-1.4952704353597277,1.7216952304414308,0.3851276239483394,22.99516006003881
Y_inflation,high_illiberal_score,259,0.10505496406295355,0.4470642023754252,213,0.011816024039836837,0.3935177974732326,0.9760457933141284,0.010991706909560917,3.2500471547849377,0.9973015479149793,20.357781858494103
Y_unemployment,high_illiberal_score,259,0.10505496406295355,0.4470642023754252,175,-0.5154292256185872,1.3908400755100443,0.7109441086173041,5.461913344669099,6.815540450582764,0.42290527559179736,39.37443551476887
Y_trade_pct_gdp,high_illiberal_score,259,0.10505496406295355,0.4470642023754252,221,6.978704896707409,7.635927634396586,0.36075352184794696,44.371326154578284,122.60113847968945,0.7174147267217164,22.215698869580393
Y_top10_share,high_illiberal_score,259,0.10505496406295355,0.4470642023754252,220,0.36605302345737867,1.5106119201089474,0.8085314263443901,1.9787761758283569,11.568384750787615,0.8641841811205337,20.055819906002565
Y_gini_disp,high_illiberal_score,259,0.10505496406295355,0.4470642023754252,182,0.5550767713905251,0.7011678946460608,0.42856710683822824,5.407869222813598,10.985037826327623,0.6225114560366963,23.911355556897938
Y_gini_mkt,high_illiberal_score,259,0.10505496406295355,0.4470642023754252,182,-0.20303310774955638,0.6363611154603948,0.7496861028644326,-1.1244903228249075,10.171742927051652,0.9119728756260495,30.316582097750846
Y_gdp_growth,excl_indirect_election,512,0.07703612804388701,0.5042260511888214,450,-0.11163082805504883,0.08744918324976796,0.20177096705745745,-1.253025102593073,3.5798492113708655,0.7263223712143908,18.53986126600271
Y_inflation,excl_indirect_election,512,0.07703612804388701,0.5042260511888214,421,-0.11282449025641372,0.3268463575909649,0.7299506251436996,-1.623101478040391,8.249798643285578,0.8440275824738366,18.269282666443488
Y_unemployment,excl_indirect_election,512,0.07703612804388701,0.5042260511888214,346,-0.5153858949665028,1.0585769608792612,0.6263527831105742,-5.958434401211754,14.27689338363064,0.6764238070842394,17.435975746157766
Y_trade_pct_gdp,excl_indirect_election,512,0.07703612804388701,0.5042260511888214,420,5.112301894786491,7.697425232779034,0.506589578409617,-4092.729428607142,28777.060437586657,0.8869047005241963,18.034887039842783
Y_top10_share,excl_indirect_election,512,0.07703612804388701,0.5042260511888214,428,-1.0932059481113454,1.1912053313102344,0.35875976303389023,-14.740072376285118,37.29221780972676,0.6926519985387822,18.825189456779075
Y_gini_disp,excl_indirect_election,512,0.07703612804388701,0.5042260511888214,357,0.5659607648616722,0.682910158673844,0.40724673934355055,4.023396475586068,25.39121024218754,0.8740972764337682,19.405493615116082
Y_gini_mkt,excl_indirect_election,512,0.07703612804388701,0.5042260511888214,357,0.16740247408890707,0.65732846732014,0.7989772447111787,0.8481469990376662,15.870340052294557,0.9573795266757156,17.993603349187
