spec,n_first_stage,first_stage_coef,first_stage_se,first_stage_pval,first_stage_bandwidth
baseline_scoregap_ge_1,739,-0.014445176312644636,0.08112491154692254,0.8586751335390618,25.655451012224045
high_illiberal_score,367,0.15868991834648905,0.12058571464836583,0.18817649800844194,33.73618401000621
excl_indirect_election,728,0.014917939532177849,0.07976164559221785,0.8516359420166661,25.395822654635896
bermeo_Executive aggrandizement,666,0.012844965579067662,0.0525490211323874,0.8068917919830291,22.718764088071723
bermeo_Other/unclear,653,0.014959107682527176,0.010732316880261068,0.1633666262614242,18.74803527578053
bermeo_Open-ended coup,663,0.019081977988506277,0.02225866467569459,0.39128842294171523,16.207260163653384
bermeo_Promissory coup,NA,NA,NA,NA,NA
bermeo_Strategic harassment,NA,NA,NA,NA,NA
bermeo_Executive coup,NA,NA,NA,NA,NA
bermeo_Election-day fraud,653,0.03271778650848318,0.030030305693785106,0.27593685314789973,19.485403764870163
