outcome,spec,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,baseline_high_contrast,221,0.12738094793201324,0.35215521890308543,186,-0.09712175547110877,0.09450692984575927,0.3041059860629621,-0.6163807335492392,0.6843305463263132,0.36774457648537956,18.221464169054663
Y_inflation,baseline_high_contrast,221,0.12738094793201324,0.35215521890308543,166,1.1201116327419338,0.4341980903520486,0.009887904483799472,9.832103897321586,9.368354270822497,0.29394726518120723,16.980580151607416
Y_unemployment,baseline_high_contrast,221,0.12738094793201324,0.35215521890308543,146,-0.5989200685173204,1.26270931956948,0.6352763707388933,-0.7372499968995463,6.237114373692523,0.9059062582599486,26.34741450525667
Y_trade_pct_gdp,baseline_high_contrast,221,0.12738094793201324,0.35215521890308543,165,-7.530773900314472,5.000441080599108,0.1320615454893651,-51.05213489958677,47.06276179676528,0.2780248273729328,18.31267881416391
Y_top10_share,baseline_high_contrast,221,0.12738094793201324,0.35215521890308543,176,-1.0068314247271941,1.4287977278961836,0.48101539421889766,-3.6268662506983547,5.8961816326644305,0.5384746903789512,27.147891012737063
Y_gini_disp,baseline_high_contrast,221,0.12738094793201324,0.35215521890308543,156,1.445763933255694,1.1001002849834358,0.18877519625277384,4.595671878139588,5.740107367995533,0.42334893300113696,21.350472128808367
Y_gini_mkt,baseline_high_contrast,221,0.12738094793201324,0.35215521890308543,156,0.725501552512029,0.9954906891454194,0.4661314242889285,2.8030442839367558,5.01350983643846,0.5760947087644511,18.930096981320226
Y_gdp_growth,high_illiberal_score,110,0.1407294915050808,0.4455394260962344,99,-0.12169205241974243,0.09754850580912433,0.21221312551451227,-0.5833425739091209,0.5681345311362055,0.3045295404061216,20.214319241943517
Y_inflation,high_illiberal_score,110,0.1407294915050808,0.4455394260962344,86,0.5539567877447348,0.6596338805758264,0.4010237173886831,2.3779618018320967,2.6710567898979574,0.3733209109269637,22.11321196679995
Y_unemployment,high_illiberal_score,110,0.1407294915050808,0.4455394260962344,70,0.9351603824761434,1.4961668571899367,0.5319464504912833,3.1509842285696195,5.3309321485218355,0.554469728770725,22.790933092112155
Y_trade_pct_gdp,high_illiberal_score,110,0.1407294915050808,0.4455394260962344,89,-12.52427805201675,5.616625849883939,0.02575687182591758,-54.10596133269185,48.361003980559346,0.2632283827585829,17.693508724722502
Y_top10_share,high_illiberal_score,110,0.1407294915050808,0.4455394260962344,90,-0.5161510312678435,2.011563945371372,0.797493822215635,-2.8237459067146387,8.893130567140755,0.750849143925842,23.769482611156054
Y_gini_disp,high_illiberal_score,110,0.1407294915050808,0.4455394260962344,80,1.1962646285245746,1.1809364944801777,0.3110698845859487,4.987951485309247,4.7857862673128455,0.2972991044358128,31.988057303971022
Y_gini_mkt,high_illiberal_score,110,0.1407294915050808,0.4455394260962344,80,0.3594409843902555,1.2871357230890095,0.7800480062458226,1.4720196327632826,4.4771502804410845,0.7423182391224392,28.37858172560146
Y_gdp_growth,excl_indirect_election,216,0.15754976782741426,0.2386388168189451,182,-0.10290024331997694,0.09770155064933284,0.29224478838619666,-0.6902348386946999,0.736702222622436,0.3487970624875044,18.09485211047609
Y_inflation,excl_indirect_election,216,0.15754976782741426,0.2386388168189451,164,1.0527276508062202,0.4162409136182147,0.01143454550421963,8.709577159081242,7.660289779704114,0.25554768973584846,17.494293269442533
Y_unemployment,excl_indirect_election,216,0.15754976782741426,0.2386388168189451,142,-0.4615372118575083,1.2682466175258804,0.7159195730524885,-1.261607355042188,5.636736832276797,0.8228983447506396,27.689525735827427
Y_trade_pct_gdp,excl_indirect_election,216,0.15754976782741426,0.2386388168189451,162,-8.490470542807675,5.0671642161950485,0.09381926951664041,-72.36359910124499,62.335291003081345,0.24569196598943593,17.31841263549031
Y_top10_share,excl_indirect_election,216,0.15754976782741426,0.2386388168189451,172,-0.9758569479770923,1.48597183827186,0.5113655067092946,-4.071209545522573,6.2911430424577475,0.5175455323398073,26.334741610045956
Y_gini_disp,excl_indirect_election,216,0.15754976782741426,0.2386388168189451,152,1.4129004906871425,1.1182585517343653,0.20641570977441684,4.55042186844053,5.690747294372046,0.42393236936088313,20.445057438983838
Y_gini_mkt,excl_indirect_election,216,0.15754976782741426,0.2386388168189451,152,0.7472798970984792,1.0474415978161584,0.4755775661006293,3.064251962257639,5.2157584008307705,0.5568687354761774,18.726649664034497
Y_gdp_growth,bermeo_Other/unclear,199,0.0028155650398801095,0.49357565255417346,168,-0.0778898780238767,0.09809493516440873,0.4271805977896519,NA,NA,NA,24.567134641049417
Y_inflation,bermeo_Other/unclear,199,0.0028155650398801095,0.49357565255417346,149,1.0833952351839784,0.4483260307175858,0.01566904945886016,NA,NA,NA,22.23589468693721
Y_unemployment,bermeo_Other/unclear,199,0.0028155650398801095,0.49357565255417346,127,-0.5039645938949473,1.376154628991804,0.7142067503280499,NA,NA,NA,21.2296267439755
Y_trade_pct_gdp,bermeo_Other/unclear,199,0.0028155650398801095,0.49357565255417346,150,-6.629313843710519,4.8093565226956105,0.16807361181123587,NA,NA,NA,18.59685733389751
Y_top10_share,bermeo_Other/unclear,199,0.0028155650398801095,0.49357565255417346,158,-1.0694492059345813,1.4949916687438372,0.47438994227922476,NA,NA,NA,22.513720375291975
Y_gini_disp,bermeo_Other/unclear,199,0.0028155650398801095,0.49357565255417346,140,1.7436218568074533,1.1542524900448567,0.1308886170479563,NA,NA,NA,19.753134272829882
Y_gini_mkt,bermeo_Other/unclear,199,0.0028155650398801095,0.49357565255417346,140,1.07944290505336,1.0449906095374117,0.30161840613207713,NA,NA,NA,22.0077109800792
Y_gdp_growth,bermeo_Open-ended coup,NA,NA,NA,170,-0.0819833356089697,0.0991303439430186,0.4082225320388105,NA,NA,NA,23.885231414849308
Y_inflation,bermeo_Open-ended coup,NA,NA,NA,149,1.0833952351839784,0.4483260307175858,0.01566904945886016,NA,NA,NA,22.23589468693721
Y_unemployment,bermeo_Open-ended coup,NA,NA,NA,128,-0.5306429823421068,1.3834422835048041,0.7012993083774391,NA,NA,NA,20.74067857640093
Y_trade_pct_gdp,bermeo_Open-ended coup,NA,NA,NA,150,-6.629313843710519,4.8093565226956105,0.16807361181123587,NA,NA,NA,18.59685733389751
Y_top10_share,bermeo_Open-ended coup,NA,NA,NA,159,-1.0732274433426157,1.4908255858959125,0.4715939595145661,NA,NA,NA,22.612812082263268
Y_gini_disp,bermeo_Open-ended coup,NA,NA,NA,141,1.800923758951883,1.1653067283241558,0.12223735548048371,NA,NA,NA,19.214845172087156
Y_gini_mkt,bermeo_Open-ended coup,NA,NA,NA,141,1.1021585382230985,1.0558308082001326,0.2965418441572516,NA,NA,NA,21.569563374652816
Y_gdp_growth,bermeo_Executive aggrandizement,200,0.008155684478048583,0.23343691933241267,170,-0.0756697310676745,0.09743916248587348,0.43740402319876975,-1.2125623953084783,4.208033628720081,0.7732287362487988,24.695308583537766
Y_inflation,bermeo_Executive aggrandizement,200,0.008155684478048583,0.23343691933241267,151,1.0779262951513628,0.43249170860368824,0.012689630479724845,17.647659518327963,30.81575799384333,0.5668593767155882,22.9665685085623
Y_unemployment,bermeo_Executive aggrandizement,200,0.008155684478048583,0.23343691933241267,129,-0.63948447380480955,1.3825860806582135,0.6437028838006881,-13.739470497471427,35.91180451704175,0.702024339260997,20.470627464925123
Y_trade_pct_gdp,bermeo_Executive aggrandizement,200,0.008155684478048583,0.23343691933241267,150,-6.629313843710519,4.8093565226956105,0.16807361181123587,NA,NA,NA,18.59685733389751
Y_top10_share,bermeo_Executive aggrandizement,200,0.008155684478048583,0.23343691933241267,160,-1.366674844303471,1.559389077247678,0.38080346790703645,-30.89014025073773,49.399389292369364,0.5317648532955017,20.810564910745995
Y_gini_disp,bermeo_Executive aggrandizement,200,0.008155684478048583,0.23343691933241267,142,1.697972091532964,1.1560752366572424,0.14190375821013845,28.685906732318376,38.587859606949955,0.45724437685825786,19.558601297530135
Y_gini_mkt,bermeo_Executive aggrandizement,200,0.008155684478048583,0.23343691933241267,142,1.0326487954730277,1.0486711133672657,0.324760980901368,14.238548822083763,35.596159335919744,0.6891547561821039,21.775999108934595
Y_gdp_growth,bermeo_Strategic harassment,NA,NA,NA,169,-0.07779144320640546,0.09807232085374011,0.42765846649386785,NA,NA,NA,24.620602118034576
Y_inflation,bermeo_Strategic harassment,NA,NA,NA,150,1.06053098446292,0.4407649487919127,0.01612320545782935,NA,NA,NA,22.687701681853593
Y_unemployment,bermeo_Strategic harassment,NA,NA,NA,128,-0.5009874357746762,1.3751504697228212,0.7156230756460016,NA,NA,NA,21.310755284562376
Y_trade_pct_gdp,bermeo_Strategic harassment,NA,NA,NA,151,-6.976470782569972,4.703654279002139,0.13802067385209163,NA,NA,NA,17.673487214881355
