country_name,aut_ep_id,ep_start,ep_end,start_year_used,outcome_label,prch_label,miss_reason
Türkiye,TUR_1954_1961,1954,1961,1954,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Honduras,HND_1955_1955,1955,1955,1955,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Indonesia,IDN_1957_1966,1957,1966,1957,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Ghana,GHA_1958_1966,1958,1966,1958,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Iraq,IRQ_1958_1968,1958,1968,1958,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Malta,MLT_1958_1959,1958,1959,1958,Democratic breakdown,Yes,Election(s) in window never scored (top-2/party/V-Party match failed)
Burma/Myanmar,MMR_1958_1963,1958,1963,1958,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Sudan,SDN_1958_1959,1958,1959,1958,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Syria,SYR_1958_1959,1958,1959,1958,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Cuba,CUB_1959_1961,1959,1961,1959,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Laos,LAO_1959_1965,1959,1965,1959,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Ecuador,ECU_1960_1964,1960,1964,1960,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
South Korea,KOR_1961_1962,1961,1962,1961,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Nepal,NPL_1961_1961,1961,1961,1961,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Argentina,ARG_1962_1962,1962,1962,1962,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Republic of the Congo,COG_1962_1968,1962,1968,1962,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Greece,GRC_1962_1968,1962,1968,1962,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Central African Republic,CAF_1963_1966,1963,1966,1963,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Syria,SYR_1963_1970,1963,1970,1963,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Togo,TGO_1963_1968,1963,1968,1963,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Uruguay,URY_1963_1974,1963,1974,1963,Democratic breakdown,Yes,Election(s) in window never scored (top-2/party/V-Party match failed)
Republic of Vietnam,VDR_1963_1964,1963,1964,1963,Autocracy deepening,No,Country has no elections in the spine at all
Benin,BEN_1964_1966,1964,1966,1964,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Bolivia,BOL_1964_1965,1964,1965,1964,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Brazil,BRA_1964_1965,1964,1965,1964,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Dominican Republic,DOM_1964_1964,1964,1964,1964,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Mali,MLI_1964_1969,1964,1969,1964,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Panama,PAN_1964_1969,1964,1969,1964,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
