"outcome","label","n","n_left","n_right","n_h_left","n_h_right","h_left","h_right","b_left","b_right","estimate_conventional","se_conventional","estimate_bias_corrected","se_robust","p_robust","ci_robust_low","ci_robust_high"
"gdp_chg_1y","GDP change, 1 year (proportional)",406,123,283,79,81,18.2259451249809,18.2259451249809,34.5818957843147,34.5818957843147,-0.0452317602467166,0.0385595673045468,-0.0589021013388904,0.0452998393417628,0.193507847070356,-0.147688154954196,0.0298839522764154
"gdp_chg_5y","GDP change, 5 years (proportional)",374,108,266,65,69,16.6879276839828,16.6879276839828,33.8078618072681,33.8078618072681,-0.207590081990078,0.110865649418205,-0.249961505804915,0.126580262598252,0.0482990980751217,-0.498054261651111,-0.00186874995871822
"gdp_chg_10y","GDP change, 10 years (proportional)",323,91,232,56,66,19.2558139571907,19.2558139571907,39.6952814791551,39.6952814791551,-0.216806591131361,0.133210214631722,-0.276222769473314,0.152522130757745,0.0701355838000058,-0.575160652603803,0.022715113657174
"poly_chg_1y","Polyarchy change, 1 year (index points)",411,124,287,93,109,24.4749084254972,24.4749084254972,47.9038464846,47.9038464846,0.00160936653812099,0.0296131232963238,0.013221316565684,0.0349491586797904,0.705206686217369,-0.0552777757366806,0.0817204088680485
"poly_chg_5y","Polyarchy change, 5 years (index points)",400,120,280,90,111,26.2263301115344,26.2263301115344,43.2829838239045,43.2829838239045,0.00322639698393962,0.04061096165707,0.00140350891278638,0.0493358343883281,0.977304791159915,-0.0952929496355694,0.0980999674611421
"poly_chg_10y","Polyarchy change, 10 years (index points)",348,98,250,67,82,21.8538987160085,21.8538987160085,35.503534452904,35.503534452904,0.00119099830927755,0.0614499328056773,-0.00685687294998384,0.0756354737604596,0.927765267019335,-0.155099677474109,0.141385931574141
