v2paid,party,country,year,a,b
529,American Popular Revolutionary Alliance / Peruvian Aprista Party,PER,1978,0.707,0.55
529,American Popular Revolutionary Alliance / Peruvian Aprista Party,PER,1980,0.75,0.545
529,American Popular Revolutionary Alliance / Peruvian Aprista Party,PER,1985,0.759,0.666
529,American Popular Revolutionary Alliance / Peruvian Aprista Party,PER,1990,0.694,0.343
529,American Popular Revolutionary Alliance / Peruvian Aprista Party,PER,1995,0.552,0.469
529,American Popular Revolutionary Alliance / Peruvian Aprista Party,PER,2000,0.559,0.468
529,American Popular Revolutionary Alliance / Peruvian Aprista Party,PER,2001,0.562,0.405
529,American Popular Revolutionary Alliance / Peruvian Aprista Party,PER,2006,0.575,0.342
575,Union for Peru,PER,1995,0.217,0.401
575,Union for Peru,PER,2006,0.591,0.784
575,Union for Peru,PER,2011,0.533,0.625
788,Center Front,PER,2006,0.251,0.224
1780,Christian People's Party,PER,1978,0.3,0.066
1780,Christian People's Party,PER,1980,0.299,0.067
1780,Christian People's Party,PER,1992,0.306,0.091
2554,National Unity,PER,2001,0.23,0.204
2554,National Unity,PER,2006,0.196,0.202
4214,Popular Force 2011,PER,2011,0.913,0.596
4214,Popular Force 2011,PER,2016,0.843,0.592
4215,Independent Moralizing Front,PER,1990,0.402,0.321
4215,Independent Moralizing Front,PER,1992,0.422,0.323
4215,Independent Moralizing Front,PER,1995,0.474,0.394
4215,Independent Moralizing Front,PER,2000,0.411,0.394
4215,Independent Moralizing Front,PER,2001,0.47,0.294
4218,Alliance for Progress,PER,2016,0.328,0.298
4219,Change 90,PER,1990,0.907,0.751
4219,Change 90,PER,1992,0.966,0.75
4219,Change 90,PER,1995,0.966,0.747
4219,Change 90,PER,2001,0.948,0.492
4219,Change 90,PER,2011,0.915,0.532
4223,We are Peru,PER,2000,0.317,0.367
4223,We are Peru,PER,2001,0.253,0.378
4860,United Left,PER,1985,0.75,0.854
4860,United Left,PER,1990,0.733,0.843
4861,Peru Posible,PER,2000,0.366,0.642
4861,Peru Posible,PER,2001,0.34,0.578
4877,Worker Peasant Student and Popular Front,PER,1978,0.901,0.844
4879,National Renewal,PER,1992,0.653,0.256
5130,Peru 2000,PER,2000,0.947,0.431
6152,Socialist Revolutionary Party,PER,1978,0.873,0.766
6646,"Broad Front for Justice, Life and Liberty",PER,2016,0.189,0.924
6647,Peruvians for Change,PER,2016,0.215,0.075
7486,Peruvian Communist Party,PER,1978,0.925,0.939
8066,Socialist Left,PER,1990,0.802,0.809
93577,alliance: Democratic Convergence,PER,1985,0.413,0.143
93578,alliance: Democratic Front,PER,1990,0.561,0.115
93579,alliance: Alianza Electoral Perú Posible,PER,2011,0.432,0.228
93580,alliance: Alianza Por El Gran Cambio,PER,2011,0.389,0.175
93581,alliance: Popular Alliance,PER,2016,0.371,0.315
2329,Senegalese Democratic Party,SEN,1978,0.268,0.577
2329,Senegalese Democratic Party,SEN,1983,0.263,0.577
2329,Senegalese Democratic Party,SEN,1988,0.269,0.501
2329,Senegalese Democratic Party,SEN,1993,0.27,0.501
2329,Senegalese Democratic Party,SEN,1998,0.243,0.501
2329,Senegalese Democratic Party,SEN,2001,0.569,0.291
2329,Senegalese Democratic Party,SEN,2007,0.733,0.159
2329,Senegalese Democratic Party,SEN,2012,0.676,0.259
2329,Senegalese Democratic Party,SEN,2017,0.503,0.575
2379,Alliance of the Forces of Progress,SEN,2001,0.167,0.397
2380,Socialist Party / Senegalese Progressive Union,SEN,1973,0.784,0.201
2380,Socialist Party / Senegalese Progressive Union,SEN,1978,0.786,0.195
2380,Socialist Party / Senegalese Progressive Union,SEN,1983,0.755,0.195
2380,Socialist Party / Senegalese Progressive Union,SEN,1988,0.784,0.21
2380,Socialist Party / Senegalese Progressive Union,SEN,1993,0.691,0.21
2380,Socialist Party / Senegalese Progressive Union,SEN,1998,0.605,0.21
2380,Socialist Party / Senegalese Progressive Union,SEN,2001,0.402,0.23
2382,And-Jëf / African Party for Democracy and Socialism,SEN,1998,0.258,0.543
5638,Citizen Movement for National Reform,SEN,2012,0.608,0.595
5766,Alliance for the Republic–Yakaar,SEN,2012,0.395,0.483
5766,Alliance for the Republic–Yakaar,SEN,2017,0.483,0.244
6151,Bokk Gis Gis,SEN,2012,0.547,0.597
6462,Union for Democratic Renewal,SEN,1998,0.416,0.351
93587,alliance: Takku Defaraat Sénégal,SEN,2007,0.399,0.399
93588,alliance: Manko Taxawu Senegal,SEN,2017,0.288,0.575
4754,Democratic Unionist Party,SDN,1986,0.502,0.3
4756,Umma National Party // Sudanese Independence // Nation Party,SDN,1986,0.568,0.306
5493,National Islamic Front,SDN,1986,0.949,0.307
5493,National Islamic Front,SDN,1991,0.96,0.307
5493,National Islamic Front,SDN,1996,0.96,0.307
5494,Sudanese Socialist Union,SDN,1974,0.942,0.302
5494,Sudanese Socialist Union,SDN,1978,0.942,0.302
5494,Sudanese Socialist Union,SDN,1980,0.942,0.302
5494,Sudanese Socialist Union,SDN,1981,0.942,0.302
5495,Sudan People's Liberation Movement,SDN,2010,0.564,0.421
5496,National Congress Party,SDN,2000,0.963,0.303
5496,National Congress Party,SDN,2010,0.963,0.303
5496,National Congress Party,SDN,2015,0.963,0.303
6899,Vietnamese Fatherland Front of North Vietnam,VNM,1971,0.94,0.199
6899,Vietnamese Fatherland Front of North Vietnam,VNM,1975,0.94,0.199
6900,Vietnamese Fatherland Front,VNM,1976,0.941,0.2
6900,Vietnamese Fatherland Front,VNM,1981,0.941,0.2
6900,Vietnamese Fatherland Front,VNM,1987,0.941,0.2
6900,Vietnamese Fatherland Front,VNM,1992,0.941,0.2
6900,Vietnamese Fatherland Front,VNM,1997,0.941,0.2
6900,Vietnamese Fatherland Front,VNM,2002,0.941,0.2
6900,Vietnamese Fatherland Front,VNM,2007,0.941,0.2
6900,Vietnamese Fatherland Front,VNM,2011,0.941,0.2
6900,Vietnamese Fatherland Front,VNM,2016,0.942,0.194
623,Justicialist [Peronist] Party,ARG,1973,0.638,0.916
623,Justicialist [Peronist] Party,ARG,1983,0.415,0.758
623,Justicialist [Peronist] Party,ARG,1985,0.179,0.695
623,Justicialist [Peronist] Party,ARG,1987,0.145,0.668
623,Justicialist [Peronist] Party,ARG,1989,0.285,0.67
623,Justicialist [Peronist] Party,ARG,1991,0.136,0.386
623,Justicialist [Peronist] Party,ARG,1993,0.133,0.27
623,Justicialist [Peronist] Party,ARG,1995,0.144,0.269
623,Justicialist [Peronist] Party,ARG,1997,0.192,0.269
623,Justicialist [Peronist] Party,ARG,1999,0.218,0.336
623,Justicialist [Peronist] Party,ARG,2001,0.246,0.503
623,Justicialist [Peronist] Party,ARG,2003,0.226,0.658
1215,Support for an Egalitarian Republic,ARG,2001,0.045,0.537
1215,Support for an Egalitarian Republic,ARG,2003,0.044,0.538
1215,Support for an Egalitarian Republic,ARG,2005,0.041,0.529
1365,Socialist Party,ARG,2007,0.015,0.481
1724,Radical Civic Union,ARG,1973,0.164,0.422
1724,Radical Civic Union,ARG,1983,0.015,0.574
1724,Radical Civic Union,ARG,1985,0.017,0.545
1724,Radical Civic Union,ARG,1987,0.021,0.517
1724,Radical Civic Union,ARG,1989,0.026,0.421
1724,Radical Civic Union,ARG,1991,0.039,0.334
1724,Radical Civic Union,ARG,1993,0.038,0.344
1724,Radical Civic Union,ARG,1995,0.046,0.315
1724,Radical Civic Union,ARG,1997,0.045,0.371
1724,Radical Civic Union,ARG,1999,0.045,0.33
1724,Radical Civic Union,ARG,2001,0.043,0.288
1724,Radical Civic Union,ARG,2003,0.04,0.338
1724,Radical Civic Union,ARG,2005,0.043,0.356
1724,Radical Civic Union,ARG,2007,0.038,0.354
1724,Radical Civic Union,ARG,2009,0.042,0.351
1724,Radical Civic Union,ARG,2011,0.041,0.351
1724,Radical Civic Union,ARG,2015,0.042,0.266
1724,Radical Civic Union,ARG,2017,0.041,0.245
1724,Radical Civic Union,ARG,2019,0.042,0.233
1790,Republican Proposal,ARG,2005,0.05,0.176
1790,Republican Proposal,ARG,2009,0.052,0.139
1790,Republican Proposal,ARG,2011,0.057,0.139
1790,Republican Proposal,ARG,2013,0.06,0.138
1790,Republican Proposal,ARG,2015,0.074,0.148
1790,Republican Proposal,ARG,2017,0.072,0.145
1790,Republican Proposal,ARG,2019,0.074,0.186
2530,Front for Victory,ARG,2005,0.211,0.791
2530,Front for Victory,ARG,2007,0.242,0.803
2530,Front for Victory,ARG,2009,0.343,0.871
2530,Front for Victory,ARG,2011,0.381,0.871
2530,Front for Victory,ARG,2013,0.397,0.872
2530,Front for Victory,ARG,2015,0.378,0.848
4182,Union of the Democratic Centre,ARG,1987,0.213,0.08
4182,Union of the Democratic Centre,ARG,1989,0.215,0.081
4182,Union of the Democratic Centre,ARG,1991,0.22,0.045
4183,Intransigent Party,ARG,1985,0.1,0.605
4183,Intransigent Party,ARG,1987,0.109,0.605
5087,Intransigent Radical Civic Union,ARG,1973,0.366,0.479
5553,Front for a Country in Solidarity,ARG,1995,0.03,0.611
5553,Front for a Country in Solidarity,ARG,1997,0.031,0.598
5553,Front for a Country in Solidarity,ARG,1999,0.036,0.526
5553,Front for a Country in Solidarity,ARG,2001,0.037,0.534
6112,Action for the Republic,ARG,1999,0.096,0.136
6159,Civic Coalition ARI,ARG,2007,0.098,0.468
6159,Civic Coalition ARI,ARG,2009,0.098,0.452
6159,Civic Coalition ARI,ARG,2015,0.067,0.372
6159,Civic Coalition ARI,ARG,2017,0.126,0.346
6159,Civic Coalition ARI,ARG,2019,0.154,0.403
6160,Renewal Front,ARG,2013,0.102,0.363
6160,Renewal Front,ARG,2015,0.103,0.407
6160,Renewal Front,ARG,2017,0.1,0.43
6160,Renewal Front,ARG,2019,0.107,0.516
6554,"Progressive, Civic and Social Front",ARG,2013,0.024,0.461
6648,Federal Peronism / Dissident Peronism,ARG,2011,0.115,0.375
7664,Citizen's Unity,ARG,2017,0.268,0.67
8043,Concertation Party,ARG,2007,0.119,0.456
8059,Frente Justicialista-Justicialist [Peronist] Party,ARG,2017,0.069,0.479
8059,Frente Justicialista-Justicialist [Peronist] Party,ARG,2019,0.128,0.642
8122,Federal Consensus,ARG,2019,0.043,0.329
93508,alliance: Alianza Popular,ARG,1973,0.516,0.608
93509,alliance: Frente Amplio Progresista,ARG,2011,0.036,0.492
4322,Ethiopian People's Revolutionary Democratic Front,ETH,1994,0.751,0.685
4322,Ethiopian People's Revolutionary Democratic Front,ETH,1995,0.795,0.685
4322,Ethiopian People's Revolutionary Democratic Front,ETH,2000,0.795,0.685
4322,Ethiopian People's Revolutionary Democratic Front,ETH,2005,0.823,0.788
4322,Ethiopian People's Revolutionary Democratic Front,ETH,2010,0.88,0.782
4322,Ethiopian People's Revolutionary Democratic Front,ETH,2015,0.828,0.783
4323,Coalition for Unity and Democracy,ETH,2005,0.919,0.421
4324,United Ethiopian Democratic Forces,ETH,2005,0.512,0.353
5793,Workers Party of Ethiopia,ETH,1987,0.937,0.775
17,Dravidian Progress Federation,IND,2009,0.308,0.693
422,Indian People's Party,IND,1984,0.379,0.526
422,Indian People's Party,IND,1989,0.458,0.565
422,Indian People's Party,IND,1991,0.463,0.566
422,Indian People's Party,IND,1996,0.459,0.561
422,Indian People's Party,IND,1998,0.429,0.561
422,Indian People's Party,IND,1999,0.525,0.561
422,Indian People's Party,IND,2004,0.577,0.54
422,Indian People's Party,IND,2009,0.59,0.535
422,Indian People's Party,IND,2014,0.77,0.548
422,Indian People's Party,IND,2019,0.833,0.553
893,Communist Party of India (Marxist),IND,1971,0.335,0.897
893,Communist Party of India (Marxist),IND,1977,0.229,0.86
893,Communist Party of India (Marxist),IND,1980,0.24,0.9
893,Communist Party of India (Marxist),IND,1984,0.241,0.898
893,Communist Party of India (Marxist),IND,1989,0.233,0.898
893,Communist Party of India (Marxist),IND,1991,0.207,0.923
893,Communist Party of India (Marxist),IND,1996,0.207,0.923
893,Communist Party of India (Marxist),IND,1998,0.197,0.918
893,Communist Party of India (Marxist),IND,1999,0.341,0.901
893,Communist Party of India (Marxist),IND,2004,0.345,0.878
893,Communist Party of India (Marxist),IND,2009,0.341,0.878
937,Bahujan Samaj Party,IND,1996,0.235,0.911
937,Bahujan Samaj Party,IND,2004,0.303,0.797
937,Bahujan Samaj Party,IND,2009,0.303,0.762
1207,Janata Dal,IND,1989,0.276,0.648
1207,Janata Dal,IND,1991,0.175,0.648
1207,Janata Dal,IND,1996,0.175,0.64
1297,Indian National Congress,IND,1971,0.28,0.518
1297,Indian National Congress,IND,1977,0.306,0.51
1297,Indian National Congress,IND,1980,0.176,0.492
1297,Indian National Congress,IND,1984,0.265,0.487
1297,Indian National Congress,IND,1989,0.145,0.507
1297,Indian National Congress,IND,1991,0.124,0.494
1297,Indian National Congress,IND,1996,0.124,0.482
1297,Indian National Congress,IND,1998,0.124,0.482
1297,Indian National Congress,IND,1999,0.133,0.482
1297,Indian National Congress,IND,2004,0.122,0.488
1297,Indian National Congress,IND,2009,0.134,0.481
1297,Indian National Congress,IND,2014,0.155,0.485
1297,Indian National Congress,IND,2019,0.163,0.466
1571,All India Anna Dravidian Progress Federation,IND,2014,0.442,0.629
2491,Socialist Party,IND,1998,0.313,0.671
2491,Socialist Party,IND,2004,0.312,0.665
2491,Socialist Party,IND,2009,0.305,0.635
2492,Telugu Desam Party,IND,1999,0.336,0.626
2494,All India Trinamool Congress,IND,2014,0.417,0.717
2498,Janata Dal (United),IND,2009,0.288,0.645
4787,Bharatiya Jana Sangh,IND,1971,0.317,0.497
4788,Janata Party,IND,1977,0.249,0.634
4788,Janata Party,IND,1980,0.186,0.63
4788,Janata Party,IND,1984,0.169,0.63
5178,Janta Party (Secular),IND,1980,0.187,0.666
5178,Janta Party (Secular),IND,1984,0.17,0.646
6639,Indian National Congress (Organisation),IND,1971,0.378,0.452
2316,Kenya African National Union,KEN,1974,0.872,0.155
2316,Kenya African National Union,KEN,1979,0.913,0.155
2316,Kenya African National Union,KEN,1983,0.961,0.155
2316,Kenya African National Union,KEN,1988,0.973,0.155
2316,Kenya African National Union,KEN,1992,0.902,0.155
2316,Kenya African National Union,KEN,1997,0.902,0.155
2316,Kenya African National Union,KEN,2002,0.883,0.155
2316,Kenya African National Union,KEN,2007,0.883,0.155
2316,Kenya African National Union,KEN,2017,0.671,0.148
2359,Party of National Unity,KEN,2007,0.626,0.241
2360,Orange Democratic Movement,KEN,2007,0.522,0.245
2360,Orange Democratic Movement,KEN,2013,0.522,0.245
2360,Orange Democratic Movement,KEN,2017,0.522,0.238
2362,Wiper Democratic Movement – Kenya,KEN,2007,0.532,0.237
2362,Wiper Democratic Movement – Kenya,KEN,2013,0.53,0.237
2362,Wiper Democratic Movement – Kenya,KEN,2017,0.536,0.225
3856,United Republican Party,KEN,2013,0.619,0.236
3858,Safina,KEN,2007,0.537,0.237
3860,Democratic Party,KEN,1992,0.465,0.148
3860,Democratic Party,KEN,1997,0.465,0.148
3860,Democratic Party,KEN,2002,0.484,0.148
3860,Democratic Party,KEN,2007,0.917,0.147
3862,Forum for the Restoration of Democracy-Asili,KEN,1992,0.504,0.417
3862,Forum for the Restoration of Democracy-Asili,KEN,2007,0.509,0.33
3863,Forum for the Restoration of Democracy-Kenya,KEN,1992,0.441,0.369
3863,Forum for the Restoration of Democracy-Kenya,KEN,1997,0.355,0.369
3863,Forum for the Restoration of Democracy-Kenya,KEN,2002,0.434,0.333
3863,Forum for the Restoration of Democracy-Kenya,KEN,2007,0.673,0.307
3863,Forum for the Restoration of Democracy-Kenya,KEN,2017,0.322,0.259
3867,The National Alliance,KEN,2013,0.62,0.243
4858,Liberal Democratic Party,KEN,2002,0.674,0.26
5892,National Development Party Kenya,KEN,1997,0.728,0.149
6912,Jubilee Party,KEN,2017,0.926,0.158
7609,Amani National Congress,KEN,2017,0.414,0.266
7932,National Party of Kenya,KEN,2002,0.598,0.264
7970,National Rainbow Coalition – Kenya,KEN,2007,0.801,0.257
7971,Forum for the Restoration of Democracy – People,KEN,2002,0.511,0.337
7971,Forum for the Restoration of Democracy – People,KEN,2007,0.487,0.266
7972,New Forum for the Restoration of Democracy–Kenya,KEN,2007,0.582,0.331
6555,Democratic Front for the Reunification of the Fatherland / North Korean Fatherland United Democratic Front,PRK,1972,0.997,0.082
6555,Democratic Front for the Reunification of the Fatherland / North Korean Fatherland United Democratic Front,PRK,1977,0.997,0.082
6555,Democratic Front for the Reunification of the Fatherland / North Korean Fatherland United Democratic Front,PRK,1982,0.997,0.082
6555,Democratic Front for the Reunification of the Fatherland / North Korean Fatherland United Democratic Front,PRK,1986,0.997,0.082
6555,Democratic Front for the Reunification of the Fatherland / North Korean Fatherland United Democratic Front,PRK,1990,0.997,0.082
6555,Democratic Front for the Reunification of the Fatherland / North Korean Fatherland United Democratic Front,PRK,1998,0.997,0.134
6555,Democratic Front for the Reunification of the Fatherland / North Korean Fatherland United Democratic Front,PRK,2003,0.997,0.136
6555,Democratic Front for the Reunification of the Fatherland / North Korean Fatherland United Democratic Front,PRK,2009,0.997,0.187
6555,Democratic Front for the Reunification of the Fatherland / North Korean Fatherland United Democratic Front,PRK,2014,0.997,0.188
6555,Democratic Front for the Reunification of the Fatherland / North Korean Fatherland United Democratic Front,PRK,2019,0.997,0.186
894,Democratic Liberal Party / New Korea Party,KOR,1992,0.699,0.072
894,Democratic Liberal Party / New Korea Party,KOR,1996,0.632,0.072
2019,National Congress for New Politics / Democratic Party,KOR,1996,0.154,0.378
2305,[United] Democratic Party,KOR,2008,0.137,0.451
2305,[United] Democratic Party,KOR,2012,0.137,0.451
2306,Liberty Forward Party / Advancement Unification Party,KOR,2008,0.438,0.133
2307,New World Party -- The Grand National Party,KOR,2000,0.588,0.071
2307,New World Party -- The Grand National Party,KOR,2004,0.59,0.071
2307,New World Party -- The Grand National Party,KOR,2008,0.58,0.071
2307,New World Party -- The Grand National Party,KOR,2012,0.548,0.071
2452,Our Party,KOR,2004,0.074,0.508
2543,United Progressive Party,KOR,2012,0.094,0.817
2545,United Liberal Party,KOR,1996,0.567,0.135
2545,United Liberal Party,KOR,2000,0.563,0.135
2546,Democratic Labour Party,KOR,2004,0.043,0.839
2546,Democratic Labour Party,KOR,2008,0.065,0.839
2547,Democratic Party,KOR,1992,0.098,0.413
2547,Democratic Party,KOR,1996,0.097,0.446
2548,Millenium Democratic Party,KOR,2000,0.141,0.415
2548,Millenium Democratic Party,KOR,2004,0.143,0.415
2549,National Unification Party,KOR,1992,0.498,0.172
4341,Democratic Justice Party,KOR,1981,0.999,0.16
4341,Democratic Justice Party,KOR,1985,0.996,0.16
4341,Democratic Justice Party,KOR,1988,0.985,0.16
4342,Democratic Korean Party,KOR,1981,0.535,0.259
4342,Democratic Korean Party,KOR,1985,0.549,0.26
4344,Party for Peace and Democracy,KOR,1988,0.17,0.383
4448,New Korea Democratic Party,KOR,1985,0.26,0.378
4460,Korea National Party,KOR,1981,0.636,0.165
4460,Korea National Party,KOR,1985,0.604,0.162
4463,Democratic Unification Party,KOR,1973,0.587,0.18
4463,Democratic Unification Party,KOR,1978,0.587,0.178
4470,New Democratic Party,KOR,1971,0.38,0.379
4470,New Democratic Party,KOR,1973,0.373,0.383
4470,New Democratic Party,KOR,1978,0.377,0.383
4471,New Democratic Republican Party,KOR,1988,0.612,0.216
4509,Party for Unification and Democracy / Reunification Democratic Party,KOR,1988,0.151,0.382
4511,Democratic Republican Party,KOR,1971,0.995,0.182
4511,Democratic Republican Party,KOR,1973,0.999,0.184
4511,Democratic Republican Party,KOR,1978,0.999,0.184
5247,Civil Rule Party / Civil Rights Party,KOR,1981,0.441,0.267
6560,Justice Party,KOR,2016,0.037,0.845
6561,Democratic Party / Minjoo Party of Korea,KOR,2016,0.083,0.526
7654,People's Party,KOR,2016,0.143,0.361
7655,Liberty Korea Party,KOR,2016,0.549,0.067
2294,Democratic Party of Kosovo,XKX,2001,0.474,0.559
2294,Democratic Party of Kosovo,XKX,2004,0.431,0.583
2294,Democratic Party of Kosovo,XKX,2007,0.406,0.463
2294,Democratic Party of Kosovo,XKX,2010,0.269,0.301
2294,Democratic Party of Kosovo,XKX,2017,0.213,0.142
2294,Democratic Party of Kosovo,XKX,2019,0.204,0.143
2295,Democratic League of Kosovo,XKX,2001,0.106,0.141
2295,Democratic League of Kosovo,XKX,2004,0.111,0.129
2295,Democratic League of Kosovo,XKX,2007,0.093,0.138
2295,Democratic League of Kosovo,XKX,2010,0.095,0.138
2295,Democratic League of Kosovo,XKX,2014,0.097,0.132
2295,Democratic League of Kosovo,XKX,2017,0.113,0.189
2295,Democratic League of Kosovo,XKX,2019,0.112,0.189
2296,Self-determination,XKX,2010,0.764,0.918
2296,Self-determination,XKX,2014,0.824,0.916
2296,Self-determination,XKX,2017,0.786,0.916
2296,Self-determination,XKX,2019,0.777,0.835
3243,Alliance for the Future of Kosovo,XKX,2001,0.482,0.329
3243,Alliance for the Future of Kosovo,XKX,2004,0.345,0.318
3243,Alliance for the Future of Kosovo,XKX,2007,0.32,0.362
3243,Alliance for the Future of Kosovo,XKX,2010,0.286,0.342
3243,Alliance for the Future of Kosovo,XKX,2014,0.259,0.357
3243,Alliance for the Future of Kosovo,XKX,2017,0.239,0.32
3243,Alliance for the Future of Kosovo,XKX,2019,0.226,0.3
3701,Reformist Party ORA,XKX,2004,0.189,0.145
3703,New Kosovo Alliance,XKX,2007,0.121,0.149
3703,New Kosovo Alliance,XKX,2010,0.123,0.145
3703,New Kosovo Alliance,XKX,2017,0.143,0.14
3703,New Kosovo Alliance,XKX,2019,0.141,0.137
4765,Social Democratic Initiative,XKX,2014,0.42,0.425
4765,Social Democratic Initiative,XKX,2017,0.28,0.425
4765,Social Democratic Initiative,XKX,2019,0.251,0.349
5497,Justice Party,XKX,2019,0.561,0.442
5499,Serbian List,XKX,2014,0.818,0.406
5499,Serbian List,XKX,2017,0.786,0.255
5499,Serbian List,XKX,2019,0.785,0.247
7895,The Alternative,XKX,2017,0.369,0.06
93549,"alliance: Coalition """"Return""""",XKX,2001,0.6,0.219
93550,alliance: Alliance: LDD-PSHDK,XKX,2007,0.624,0.238
93551,alliance: PDK-PD-LB-PSHDK-PK,XKX,2014,0.327,0.288
2562,Future Movement,LBN,2005,0.452,0.615
2562,Future Movement,LBN,2009,0.495,0.568
2564,Free Patriotic Movement,LBN,2005,0.524,0.665
2564,Free Patriotic Movement,LBN,2009,0.429,0.504
2564,Free Patriotic Movement,LBN,2018,0.471,0.513
2565,Progressive Socialist Party,LBN,1972,0.778,0.829
2565,Progressive Socialist Party,LBN,1996,0.622,0.736
2565,Progressive Socialist Party,LBN,2005,0.448,0.664
2565,Progressive Socialist Party,LBN,2009,0.435,0.666
2565,Progressive Socialist Party,LBN,2018,0.447,0.571
2566,Lebanese Phalanges Party,LBN,1972,0.958,0.519
2566,Lebanese Phalanges Party,LBN,2005,0.696,0.459
2566,Lebanese Phalanges Party,LBN,2009,0.599,0.481
3165,Amal Movement,LBN,2005,0.799,0.422
3165,Amal Movement,LBN,2009,0.754,0.432
3165,Amal Movement,LBN,2018,0.805,0.491
3166,Marada Movement,LBN,2009,0.789,0.369
3235,Lebanese Forces,LBN,2005,0.752,0.585
3235,Lebanese Forces,LBN,2009,0.667,0.588
3235,Lebanese Forces,LBN,2018,0.669,0.612
3238,Hezbollah,LBN,2005,0.978,0.886
3238,Hezbollah,LBN,2009,0.961,0.907
3238,Hezbollah,LBN,2018,0.964,0.878
5508,Dignity,LBN,2000,0.501,0.471
5509,Maronite Christians,LBN,1992,0.525,0.333
5510,Greek Orthodox,LBN,1996,0.196,0.405
5511,Sunni Moslem,LBN,1992,0.789,0.403
5511,Sunni Moslem,LBN,1996,0.587,0.351
5512,Shia Moslem,LBN,1992,0.907,0.713
5512,Shia Moslem,LBN,1996,0.765,0.703
5846,Resistance and Development,LBN,2000,0.85,0.716
6391,National Liberal Party,LBN,1972,0.876,0.37
7473,Greek Catholics,LBN,1996,0.198,0.353
7992,Azm Movement,LBN,2018,0.45,0.365
7993,Tadamun Party,LBN,2018,0.615,0.316
510,Social Democratic Party,NGA,1992,0.623,0.573
1154,National Republican Convention,NGA,1992,0.805,0.453
2313,All Nigeria People's Party,NGA,1999,0.726,0.622
2313,All Nigeria People's Party,NGA,2003,0.77,0.697
2313,All Nigeria People's Party,NGA,2007,0.711,0.699
2313,All Nigeria People's Party,NGA,2011,0.714,0.653
2353,Action Congress of Nigeria,NGA,2007,0.768,0.65
2353,Action Congress of Nigeria,NGA,2011,0.782,0.642
2354,People's Democratic Party,NGA,1999,0.85,0.195
2354,People's Democratic Party,NGA,2003,0.937,0.193
2354,People's Democratic Party,NGA,2007,0.956,0.193
2354,People's Democratic Party,NGA,2011,0.957,0.192
2354,People's Democratic Party,NGA,2015,0.915,0.196
2354,People's Democratic Party,NGA,2019,0.91,0.342
4116,Alliance for Democracy,NGA,1999,0.65,0.639
4116,Alliance for Democracy,NGA,2003,0.538,0.648
5351,National Party of Nigeria,NGA,1979,0.825,0.375
5351,National Party of Nigeria,NGA,1983,0.88,0.362
5352,Nigerian Peoples Party,NGA,1979,0.718,0.597
5352,Nigerian Peoples Party,NGA,1983,0.772,0.657
5354,People's Redemption Party,NGA,1979,0.558,0.902
5354,People's Redemption Party,NGA,1983,0.681,0.902
5356,Unity Party of Nigeria,NGA,1979,0.688,0.775
5356,Unity Party of Nigeria,NGA,1983,0.762,0.78
5538,All Progressives Congress,NGA,2015,0.693,0.679
5538,All Progressives Congress,NGA,2019,0.752,0.649
5539,Congress for Progressive Change,NGA,2011,0.73,0.91
6603,United Nigeria Congress Party,NGA,1998,0.79,0.531
6975,Democratic Party of Nigeria,NGA,1998,0.781,0.532
7475,Great Nigeria People's Party,NGA,1979,0.578,0.642
2330,Liberal Party,PHL,1987,0.185,0.465
2330,Liberal Party,PHL,1998,0.132,0.552
2330,Liberal Party,PHL,2001,0.132,0.552
2330,Liberal Party,PHL,2004,0.214,0.552
2330,Liberal Party,PHL,2007,0.194,0.606
2330,Liberal Party,PHL,2010,0.194,0.703
2330,Liberal Party,PHL,2013,0.164,0.609
2330,Liberal Party,PHL,2016,0.11,0.524
2330,Liberal Party,PHL,2019,0.203,0.615
2388,Lakas – Christian Muslim Democrats,PHL,1992,0.148,0.346
2388,Lakas – Christian Muslim Democrats,PHL,1995,0.149,0.343
2388,Lakas – Christian Muslim Democrats,PHL,1998,0.318,0.324
2388,Lakas – Christian Muslim Democrats,PHL,2001,0.3,0.324
2388,Lakas – Christian Muslim Democrats,PHL,2004,0.565,0.326
2388,Lakas – Christian Muslim Democrats,PHL,2007,0.585,0.326
2388,Lakas – Christian Muslim Democrats,PHL,2010,0.395,0.326
2388,Lakas – Christian Muslim Democrats,PHL,2013,0.266,0.326
2389,Nacionalist Party,PHL,1987,0.512,0.212
2389,Nacionalist Party,PHL,2010,0.419,0.156
2389,Nacionalist Party,PHL,2013,0.419,0.227
2389,Nacionalist Party,PHL,2016,0.514,0.227
2389,Nacionalist Party,PHL,2019,0.422,0.227
2465,Partner of the Free Filipino,PHL,2007,0.716,0.202
2466,Nationalist People's Coalition,PHL,1992,0.493,0.078
2466,Nationalist People's Coalition,PHL,1995,0.493,0.086
2466,Nationalist People's Coalition,PHL,2001,0.443,0.088
2466,Nationalist People's Coalition,PHL,2004,0.49,0.088
2466,Nationalist People's Coalition,PHL,2007,0.44,0.088
2466,Nationalist People's Coalition,PHL,2010,0.44,0.087
2466,Nationalist People's Coalition,PHL,2013,0.44,0.087
2466,Nationalist People's Coalition,PHL,2016,0.44,0.087
2466,Nationalist People's Coalition,PHL,2019,0.44,0.087
4248,New Society Movement,PHL,1978,0.998,0.038
4248,New Society Movement,PHL,1984,0.998,0.038
4248,New Society Movement,PHL,1987,0.951,0.038
