window,n_table,est_table,se_table,pval_table,bw_rf_table,bw_late_table,late_table,n_run,est_run,se_run,bw_run,late_run,source
1,406,-0.04999869136542045,0.038994318202344974,0.19977090823784138,19.05682757690804,25.699476887387632,-0.3848873110434803,406,-0.04999869136541782,0.03899431820234352,25.6994768873894,-0.38488731104346474,instr-antiplural_w1_trt-ert_gapany_illib0p6535_opp0p6535_exclyr
5,374,-0.19220197222837904,0.08982087551987027,0.03236799643097273,16.76792353448982,16.236905714900992,-1.506656723824738,374,-0.19220197222837104,0.08982087551986713,16.23690571490002,-1.5066567238248787,instr-antiplural_w5_trt-ert_gapany_illib0p6535_opp0p6535_exclyr
10,323,-0.17186707804555773,0.09218320536147673,0.062264472147277386,20.922573766765595,17.33460779165651,-0.9908220723320176,323,-0.1718670780454911,0.0921832053614666,17.3346077916557,-0.9908220723319826,instr-antiplural_w10_trt-ert_gapany_illib0p6535_opp0p6535_exclyr
