instrument,treatment_def,outcome,outcome_label,panel,spec,treatment,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
v2xpa_antiplural,backsliding_Nyr,Y_gdp_growth,PWT,growth,instr-antiplural_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.050462944442171,0.40966255385284633,1207,-0.05312595415851098,0.02674536445321636,0.04699323192751867,0.9120982418532466,1.38775803086116,0.5110228321809134,20.780278994164966
v2xpa_antiplural,backsliding_Nyr,Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.050462944442171,0.40966255385284633,1240,-0.04144487354962511,0.02516643432026698,0.09959271118145412,0.6736805985106588,0.9883842854569838,0.4954932783031102,20.116362868717378
v2xpa_antiplural,backsliding_Nyr,Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.050462944442171,0.40966255385284633,950,-0.04695577948368963,0.02202281956455686,0.03299517132020389,0.6840171265519136,0.8063419031405218,0.39627278875701766,20.33830784482494
v2xpa_antiplural,backsliding_Nyr,Y_inflation,"CPI, cumulative log",inflation,instr-antiplural_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.050462944442171,0.40966255385284633,1135,0.00516630857905842,0.19132709077498933,0.9784577450071452,0.6141056706140889,3.5829459420141845,0.8639117265445911,24.11770081144057
v2xpa_antiplural,backsliding_Nyr,Y_unemployment,Unemployment rate,unemployment,instr-antiplural_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.050462944442171,0.40966255385284633,883,0.20468888343285188,0.5774732542058002,0.7229971424633412,-6.67030189818972,14.265411287792771,0.6400809143919963,22.93199573159618
v2xpa_antiplural,backsliding_Nyr,Y_trade_pct_gdp,Trade / GDP,trade,instr-antiplural_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.050462944442171,0.40966255385284633,1115,-1.6257413711850437,2.833930403617654,0.5661910095826326,17.806816378435737,47.95916437901669,0.7104206410214604,19.69574211918153
v2xpa_antiplural,backsliding_Nyr,Y_top10_share,Top-10% income share,top10,instr-antiplural_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.050462944442171,0.40966255385284633,1152,-0.6468223258562389,0.5650823746041492,0.2523535950368164,9.64976518982162,13.013319101050214,0.4583722104625398,25.346078264686145
v2xpa_antiplural,backsliding_Nyr,Y_gini_disp,Disposable,gini,instr-antiplural_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.050462944442171,0.40966255385284633,975,0.6633816331578543,0.31353680745612755,0.03436169738288882,-5.883829444097382,4.901797234811836,0.23000683369359656,22.180817643961177
v2xpa_antiplural,backsliding_Nyr,Y_gini_mkt,Market,gini,instr-antiplural_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.050462944442171,0.40966255385284633,975,0.6576071037766402,0.3417892045925868,0.05435286932396127,-6.060285056607444,5.276416485232033,0.2507371353086999,21.19914898509629
v2xpa_antiplural,backsliding_Nyr,Y_debt,Debt / GDP,fiscal,instr-antiplural_w5_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.050462944442171,0.40966255385284633,1201,10.745348121487837,13.64463511572342,0.4309807384704637,-91.5606637961086,245.40494099914315,0.7090737751251545,25.85948166189849
