window,treatment_def,outcome,outcome_label,panel,spec,treatment,n_first_stage,n_first_stage_treated,first_stage_coef,first_stage_pval,n_outcome,n_outcome_treated,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
1,backsliding_Nyr,Y_gdp_growth,PWT,growth,instr-popul_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.03459998457889292,0.1801274640644511,1309,31,0.00393513347500163,0.01252856473385796,0.7534504670028674,0.14405483877957054,0.41444228264755045,0.7281502092763571,16.8378260580488
1,backsliding_Nyr,Y_gdp_growth_wb,World Bank,growth,instr-popul_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.03459998457889292,0.1801274640644511,1325,31,-0.00172270606414519,0.01104455134794109,0.8760504313577432,-0.08038215332318169,0.33076727383081145,0.8079920342814995,17.054391872007884
1,backsliding_Nyr,Y_gdp_growth_imf,IMF WEO,growth,instr-popul_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.03459998457889292,0.1801274640644511,1025,25,-0.00508519032567211,0.01204683230204651,0.6729385528095122,0.03010625603517584,0.3629989672021731,0.9339011721083876,12.8100476995376
1,backsliding_Nyr,Y_inflation,"CPI, cumulative log",inflation,instr-popul_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.03459998457889292,0.1801274640644511,1221,29,0.2006476658009884,0.1272759775161472,0.1149158888521103,5.795393753212243,4.923336832181926,0.2391447357759303,15.522475176029063
1,backsliding_Nyr,Y_unemployment,Unemployment rate,unemployment,instr-popul_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.03459998457889292,0.1801274640644511,939,28,-0.3887823366119558,0.30900520628085804,0.20832881207668635,-7.375134749067642,7.636584987338952,0.33416255599023503,15.53752730176989
1,backsliding_Nyr,Y_trade_pct_gdp,Trade / GDP,trade,instr-popul_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.03459998457889292,0.1801274640644511,1193,27,1.3375678596128795,1.9012710522950849,0.4817364495970235,88.7511194367692,106.15270595646436,0.4031153835034455,15.241225205722284
1,backsliding_Nyr,Y_top10_share,Top-10% income share,top10,instr-popul_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.03459998457889292,0.1801274640644511,1239,29,0.0939454568945398,0.3549332594885187,0.7912522485692107,1.014646736724822,10.229510287521274,0.9209888417961865,17.930484916308107
1,backsliding_Nyr,Y_gini_disp,Disposable,gini,instr-popul_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.03459998457889292,0.1801274640644511,1083,27,0.11458080715902572,0.14567887029307255,0.43155702931761575,3.2560176400675513,4.085991484729886,0.4255246016116877,17.433687989253375
1,backsliding_Nyr,Y_gini_mkt,Market,gini,instr-popul_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.03459998457889292,0.1801274640644511,1083,27,0.07178382638637502,0.1416767376757697,0.6123840371027645,1.0129649035047317,3.3053215609362785,0.7592507324946218,19.30654089837217
1,backsliding_Nyr,Y_debt,Debt / GDP,fiscal,instr-popul_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.03459998457889292,0.1801274640644511,1289,31,1.8425480724057688,3.6983909205227503,0.6183412310234135,59.21243146146594,119.4373251464892,0.6200626673407068,14.730738061001272
1,backsliding_Nyr,Y_deficit,Deficit / GDP,fiscal,instr-popul_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.03459998457889292,0.1801274640644511,1141,27,-0.3851055474553917,0.8737719734398953,0.6594018250718339,-7.035597830353511,21.41823308484484,0.7425439414490616,18.096488799030514
1,backsliding_Nyr,Y_checks_balances,Checks & balances,institutions,instr-popul_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.03459998457889292,0.1801274640644511,1321,31,0.01594211876665908,0.01119343408834163,0.15437746961198873,0.461990470381281,0.5047945062209079,0.36008400537622853,15.1974620027982
1,backsliding_Nyr,Y_jucon,Judicial constraints,institutions,instr-popul_w1_trt-ert_gapany_illibany_exclyr,backsliding_Nyr,1347,32,0.03459998457889292,0.1801274640644511,1345,31,0.01100316323614037,0.0103000875070176,0.285403607375728,0.4455421965137124,0.5247178139633933,0.39582109012083433,13.16473985272406
