window,treatment_def,spec,treatment,n_first_stage,n_first_stage_treated,first_stage_coef,first_stage_se,first_stage_pval,first_stage_bandwidth
1,backsliding_Nyr,instr-antiplural_w1_trt-ert_gapany_illib0p822_opp0p822_exclyr,backsliding_Nyr,323,5,0.08865981769972082,0.07897828045201997,0.2616138710193476,18.791736075598426
1,backsliding_union_Nyr,instr-antiplural_w1_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,10,0.05770451514057263,0.08006019885978106,0.4710546823485175,19.632535722797165
1,polyarchy_decline,instr-antiplural_w1_trt-polyarchy_gapany_illib0p822_opp0p822_exclyr,polyarchy_decline,323,151,0.02310208912375817,0.04851745488750886,0.6339601326778175,23.706625076741098
2,backsliding_Nyr,instr-antiplural_w2_trt-ert_gapany_illib0p822_opp0p822_exclyr,backsliding_Nyr,323,14,0.05952112022205919,0.10594594507714952,0.5742478653795619,32.751851376174805
2,backsliding_union_Nyr,instr-antiplural_w2_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,22,0.03069182852458661,0.13193720159902037,0.8160529834218904,23.93670385531537
2,polyarchy_decline,instr-antiplural_w2_trt-polyarchy_gapany_illib0p822_opp0p822_exclyr,polyarchy_decline,323,150,0.02354613508160145,0.05509438924795464,0.6691039600888076,23.10924122704627
3,backsliding_Nyr,instr-antiplural_w3_trt-ert_gapany_illib0p822_opp0p822_exclyr,backsliding_Nyr,323,21,0.1205360929582486,0.12856803292952823,0.34848717904313065,30.93599950100875
3,backsliding_union_Nyr,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.14176693413398395,0.6218414249105549,25.824433070538852
3,polyarchy_decline,instr-antiplural_w3_trt-polyarchy_gapany_illib0p822_opp0p822_exclyr,polyarchy_decline,318,149,0.02353598163416574,0.05872172084130124,0.6885634175951042,25.077526175240074
4,backsliding_Nyr,instr-antiplural_w4_trt-ert_gapany_illib0p822_opp0p822_exclyr,backsliding_Nyr,323,27,0.1572785132131205,0.12446810702355308,0.2063718645068475,33.8400731042519
4,backsliding_union_Nyr,instr-antiplural_w4_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,38,0.12047667110261862,0.14050822171760918,0.3912045074076846,26.847185098758658
4,polyarchy_decline,instr-antiplural_w4_trt-polyarchy_gapany_illib0p822_opp0p822_exclyr,polyarchy_decline,317,148,0.02776940623217968,0.0613398226766567,0.6507545826839172,25.697888553329413
5,backsliding_Nyr,instr-antiplural_w5_trt-ert_gapany_illib0p822_opp0p822_exclyr,backsliding_Nyr,323,33,0.14902658221306303,0.1386132734062055,0.28231881115897545,26.053466250671836
5,backsliding_union_Nyr,instr-antiplural_w5_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,46,0.11723752221339256,0.14761185621115744,0.4270625022960284,23.78300449651918
5,polyarchy_decline,instr-antiplural_w5_trt-polyarchy_gapany_illib0p822_opp0p822_exclyr,polyarchy_decline,309,144,0.03452922714640918,0.0722846844277272,0.6328752329117924,24.450228906189647
6,backsliding_Nyr,instr-antiplural_w6_trt-ert_gapany_illib0p822_opp0p822_exclyr,backsliding_Nyr,323,41,0.1014655101811503,0.1793156513121438,0.5714967056107926,23.93359261080393
6,backsliding_union_Nyr,instr-antiplural_w6_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,54,0.0680723808943009,0.18465508128172337,0.7123915076078473,23.425925367083195
6,polyarchy_decline,instr-antiplural_w6_trt-polyarchy_gapany_illib0p822_opp0p822_exclyr,polyarchy_decline,304,132,0.04593674820444815,0.07950959047569747,0.5634322177415887,24.96121752657123
7,backsliding_Nyr,instr-antiplural_w7_trt-ert_gapany_illib0p822_opp0p822_exclyr,backsliding_Nyr,323,45,0.09801963860310514,0.17923064107453904,0.5844535652815448,23.928461776518333
7,backsliding_union_Nyr,instr-antiplural_w7_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,60,0.06444177477952467,0.1846967421191276,0.7271599892082843,23.364666207486845
7,polyarchy_decline,instr-antiplural_w7_trt-polyarchy_gapany_illib0p822_opp0p822_exclyr,polyarchy_decline,297,130,0.04573601277515943,0.08206769380759157,0.5773250809445827,24.727834647194083
8,backsliding_Nyr,instr-antiplural_w8_trt-ert_gapany_illib0p822_opp0p822_exclyr,backsliding_Nyr,323,55,0.11131341700742522,0.172955452246666,0.5198375206506154,25.5704901036551
8,backsliding_union_Nyr,instr-antiplural_w8_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,71,0.05494099446223988,0.17745822293769797,0.7568654621218336,24.05697235194815
8,polyarchy_decline,instr-antiplural_w8_trt-polyarchy_gapany_illib0p822_opp0p822_exclyr,polyarchy_decline,291,133,0.04825239202184479,0.09234513862568508,0.601306740651982,25.148239763164717
9,backsliding_Nyr,instr-antiplural_w9_trt-ert_gapany_illib0p822_opp0p822_exclyr,backsliding_Nyr,323,57,0.16175345899301574,0.15339678433041012,0.2916643525640565,33.8829879210041
9,backsliding_union_Nyr,instr-antiplural_w9_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,74,0.12158238800275442,0.15739488510122113,0.4398377594582727,32.780382317259416
