window,treatment_def,outcome,outcome_label,panel,spec,treatment,n_first_stage,n_first_stage_treated,first_stage_coef,first_stage_pval,n_outcome,n_outcome_treated,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
3,backsliding_union_Nyr,Y_trade_pct_gdp,Trade / GDP,trade,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,280,25,0.9378602365317076,4.581832761491909,0.8378135001811442,21.73379079052617,66.38777766604923,0.7433832238303604,26.15991006718508
3,backsliding_union_Nyr,Y_top10_share,Top-10% income share,top10,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,278,25,-0.3333540286086986,0.936975219766352,0.722007738102491,-5.929750442254838,14.306395236918217,0.6785207817548826,24.41671068013989
3,backsliding_union_Nyr,Y_gini_disp,Disposable,gini,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,232,20,0.3672577977629504,0.3664823133001565,0.3162875607753131,4.355788142369774,10.29585926198895,0.6722499319797917,22.953452752344568
3,backsliding_union_Nyr,Y_gini_mkt,Market,gini,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,232,20,-0.13394035038232388,0.46300653375114,0.7723641077272894,-2.0305806393893207,8.875287306301107,0.8190318192762757,26.832020782394967
3,backsliding_union_Nyr,Y_debt,Debt / GDP,fiscal,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,303,28,-16.080332875673733,14.71351405713454,0.274439697022286,-214.7352240203594,338.2918256097661,0.5255828246672689,34.79349633917028
3,backsliding_union_Nyr,Y_deficit,Deficit / GDP,fiscal,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,248,22,1.3816774214545324,2.931269328281634,0.6373850612015748,10.36754850832248,24.855017196721047,0.6765899382851458,21.379602278146635
3,backsliding_union_Nyr,Y_checks_balances,Checks & balances,institutions,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,310,25,-0.04385128546317937,0.05999705750328994,0.46484597697189545,-1.3399972760453975,4.109505347647709,0.7443693934796841,29.388656972447667
3,backsliding_union_Nyr,Y_jucon,Judicial constraints,institutions,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,318,30,-0.03758406110551832,0.0514704827255945,0.4652642067504556,-0.9546175188772974,1.6482142450212798,0.5624657626219036,32.42544920585286
3,backsliding_union_Nyr,Y_legcon,Legislative constraints,institutions,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,310,25,-0.07044601280253882,0.09228169463075885,0.44523672159520944,-1.5934794858902426,4.700155457546811,0.734589409324518,27.73112002513759
3,backsliding_union_Nyr,Y_hos_power,HOS,exec_power,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,318,30,-0.00630126031875018,0.0368581937188252,0.8642555694223543,0.04060168631489121,0.5754403819734855,0.9437498648354266,37.627169896532955
3,backsliding_union_Nyr,Y_hog_power,HOG,exec_power,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,117,20,0.06578874814035393,0.08017418743988523,0.41188971255597473,-10.145858487844796,46.214751692830745,0.8262315832074243,27.79737506061847
3,backsliding_union_Nyr,Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,318,30,-0.05665541464059447,0.03147705112241522,0.07187708029325997,-1.067622357413097,2.035938078818521,0.6000084073945209,27.583757089377738
3,backsliding_union_Nyr,Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,318,30,0.03645346517018918,0.02070459981884583,0.07829838424795693,0.6604638220138068,1.177553278829504,0.5748806540991825,23.229399248988106
3,backsliding_union_Nyr,Y_polyarchy,Electoral (polyarchy),vdem_high,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,318,30,-0.02353598163416574,0.05872172084130124,0.6885634175951042,-0.4673476238131917,1.0497245603983492,0.6561681712331657,34.97977421473232
3,backsliding_union_Nyr,Y_libdem,Liberal,vdem_high,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,318,30,-0.01435713477979823,0.04545602737442501,0.7521188940305715,-0.3794930395424506,0.7607782002466058,0.6179046614193147,34.32011662544483
3,backsliding_union_Nyr,Y_partipdem,Participatory,vdem_high,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,318,30,0.00156422322180328,0.03358024057642909,0.962846652386109,-0.02131810905140742,0.501496824615332,0.966092968217336,33.9579566850563
3,backsliding_union_Nyr,Y_delibdem,Deliberative,vdem_high,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,318,30,-0.00132015309674419,0.05099546528778075,0.9793469453045092,0.01207611931121845,0.838346260711201,0.9885071164504914,34.41103522686589
3,backsliding_union_Nyr,Y_egaldem,Egalitarian,vdem_high,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,318,30,-0.01228255114775059,0.03340131379582003,0.713077113408892,-0.21892221654878513,0.5339493472148295,0.6818018477356297,34.659641762268365
3,backsliding_union_Nyr,Y_elecoff,Elected officials,vdem_electoral,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,318,30,-0.05274552714757112,0.171712900649164,0.7587118714826454,-0.952018614013768,2.6817906321235396,0.7225943570638533,32.53189955707545
3,backsliding_union_Nyr,Y_frefair,Clean elections,vdem_electoral,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,318,30,-0.04103071533019158,0.10728456490328343,0.702129451607215,-0.70379073576806,1.9245066288334625,0.7145894651242655,35.61843547872531
3,backsliding_union_Nyr,Y_frassoc,Association,vdem_electoral,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,318,30,-0.0708170427202606,0.05993676135554959,0.23739250080925417,-1.2784237814055972,2.113996817054811,0.5453500852360826,33.23934976616831
3,backsliding_union_Nyr,Y_suffr,Suffrage,vdem_electoral,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,318,30,-0.0070465877719272,0.01027378866646156,0.4927886847793937,0.15174248201784343,0.3810710864099427,0.6904828135240623,28.0812116368972
3,backsliding_union_Nyr,Y_freexp,Expression & alt. info,vdem_electoral,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,318,30,-0.02579651975319677,0.05228023133918439,0.6217103404210292,-0.6701552119757006,1.289293538275291,0.6032135595018453,31.428100615846205
3,backsliding_union_Nyr,Y_cl_rol,Rule of law,vdem_liberal,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,318,30,-0.05267169059335103,0.06118344052157826,0.389303324860113,-0.9948579402566038,1.6009368948068965,0.5343217815587772,33.77472280060573
3,backsliding_union_Nyr,Y_cspart,Civil society,vdem_particip,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,318,30,0.01292531818777391,0.06153824560570536,0.8336386722823667,0.2681104815398959,1.1584520523891162,0.8169741071507683,32.42513070709281
3,backsliding_union_Nyr,Y_dd,Direct democracy,vdem_particip,instr-antiplural_w3_trt-ertOrDdcg_gapany_illib0p822_opp0p822_exclyr,backsliding_union_Nyr,323,30,0.06992544219692681,0.6218414249105549,318,30,0.03924318923001632,0.02561556088539183,0.1255209901762806,0.5182814005818743,0.9684769211344244,0.5925454406867264,23.794736130976684
