universe,group,decade,n_party_years,diag_mean,offdiag_mean,diag_ratio,pearson,spearman
all_parties,OECD,1970s,381,0.060358206302271025,0.0373471890018024,1.6161378651378044,0.21544680544352968,0.3283958187255883
all_parties,OECD,1980s,358,0.05617127671380976,0.031726621401073136,1.7704777323661005,0.11127829229235922,0.24605573320322485
all_parties,OECD,1990s,564,0.0627291652462509,0.035297782236263876,1.7771418279589488,0.402028325957519,0.4146370694512004
all_parties,OECD,2000s,523,0.04265296141766729,0.03734040167897863,1.1422737704956036,0.4458213633916941,0.4258825817916837
all_parties,OECD,2010s,620,0.059878664467431966,0.03856245279203546,1.5527711577464562,0.5261897074415784,0.5394704615348276
all_parties,Non-OECD,1970s,401,0.03627894778957374,0.045860017387278906,0.7910801141483462,-0.38101044983113164,-0.43846900885155615
all_parties,Non-OECD,1980s,454,0.03273115069023465,0.04828174176177891,0.6779198408319537,-0.26861593049762833,-0.29493259016434525
all_parties,Non-OECD,1990s,960,0.061982808989505395,0.04762648424786709,1.3014357445937497,-0.039732717244713424,-0.05526912560014637
all_parties,Non-OECD,2000s,1018,0.058506632216158524,0.04834292205389979,1.2102419491922052,0.0030550209175991276,0.006522513640189813
all_parties,Non-OECD,2010s,1025,0.05527391032057592,0.04889936775237416,1.1303604292080498,-0.015092698274280522,-0.029586334056522674
ever_top2,OECD,1970s,213,0.07061861861861861,0.030889697821388392,2.286154400957637,0.20109955719742795,0.28057537360052104
ever_top2,OECD,1980s,200,0.07570473005255614,0.02859063956110284,2.647885154536779,0.17754158012061472,0.23879974336077378
ever_top2,OECD,1990s,299,0.05025148764279199,0.034574994143072996,1.4534055287138707,0.28357941995525576,0.3589258001032646
ever_top2,OECD,2000s,280,0.041203521086988285,0.03357844431468291,1.2270824908041122,0.3696828635700974,0.42051384326150404
ever_top2,OECD,2010s,306,0.055651422432222666,0.04016035908237051,1.385730200222547,0.5276269686187366,0.519849271089916
ever_top2,Non-OECD,1970s,204,0.02687232032007881,0.04747847779700403,0.5659895086563727,-0.375040252818604,-0.4515225092758858
ever_top2,Non-OECD,1980s,280,0.029307068576418422,0.04933903315209526,0.5939935727170579,-0.20883146802613495,-0.2585992205700663
ever_top2,Non-OECD,1990s,538,0.05904203146835093,0.04786372017558104,1.233544556331265,-0.09977169289386756,-0.12423939603026188
ever_top2,Non-OECD,2000s,575,0.052644079200177475,0.04889567671586912,1.0766612252058638,-0.05172131024999925,-0.054469669164153495
ever_top2,Non-OECD,2010s,547,0.04879343051304899,0.04974085909220352,0.9809527097753116,-0.06834203485606112,-0.08339361664981966
