universe,score_y,score_x,group,decade,decade_start,n_party_years,diag_mean,offdiag_mean,diag_ratio,pearson,spearman
all_parties,v2pariglef,v2xpa_antiplural,OECD,1970s,1970,380,0.038820695027890706,0.044736425523349395,0.8677647928672558,-0.054157573398399564,-0.05244619671062012
all_parties,v2pariglef,v2xpa_antiplural,OECD,1980s,1980,356,0.04075015006323309,0.04411423365137702,0.9237415385081972,-0.11247389295469377,-0.014277415063649527
all_parties,v2pariglef,v2xpa_antiplural,OECD,1990s,1990,563,0.05248083122200248,0.04262142338279528,1.2313251660006053,0.14147676883016286,0.13375595697120105
all_parties,v2pariglef,v2xpa_antiplural,OECD,2000s,2000,523,0.05045854091267838,0.04158742009307077,1.2133126026994325,0.21202178365220198,0.22448303730644945
all_parties,v2pariglef,v2xpa_antiplural,OECD,2010s,2010,620,0.051589675591758914,0.0438575213847798,1.1763016687409622,0.25697718607258097,0.2035009992703788
all_parties,v2pariglef,v2xpa_antiplural,Non-OECD,1970s,1970,401,0.06937295861088942,0.03861773788031458,1.7964014056414304,0.054371190196237776,0.00587603843609415
all_parties,v2pariglef,v2xpa_antiplural,Non-OECD,1980s,1980,454,0.06603825322960255,0.044500635652227914,1.4839844928438986,-0.012677417009255003,-0.03573648290923872
all_parties,v2pariglef,v2xpa_antiplural,Non-OECD,1990s,1990,960,0.053899817356477565,0.048058458021196994,1.1215469570976278,-6.90327853720825e-4,0.012600520542350165
all_parties,v2pariglef,v2xpa_antiplural,Non-OECD,2000s,2000,1017,0.052107548167567005,0.04780392544232795,1.0900265550458,0.04061648870374824,0.05641823452521307
all_parties,v2pariglef,v2xpa_antiplural,Non-OECD,2010s,2010,1023,0.05880858393345599,0.046293396010191105,1.2703449952237198,-0.024498287020185482,-0.00980273555788047
ever_top2,v2pariglef,v2xpa_antiplural,OECD,1970s,1970,213,0.04058823549608851,0.04522939574943779,0.8973861981473196,0.13150581674498488,0.1475206686455629
ever_top2,v2pariglef,v2xpa_antiplural,OECD,1980s,1980,199,0.031017148226450554,0.04328138885393361,0.7166393927682747,0.24048661113471456,0.24640473051059406
ever_top2,v2pariglef,v2xpa_antiplural,OECD,1990s,1990,299,0.036980002563621515,0.04467457992379186,0.8277638564638741,0.14369555994816302,0.12840091848217616
ever_top2,v2pariglef,v2xpa_antiplural,OECD,2000s,2000,280,0.045845115905599775,0.04068380427184332,1.126864036589826,0.20886263806891633,0.1930665015377516
ever_top2,v2pariglef,v2xpa_antiplural,OECD,2010s,2010,306,0.03764281207026701,0.04379131384175247,0.8595954030129322,0.22063994578549667,0.1863802682506552
ever_top2,v2pariglef,v2xpa_antiplural,Non-OECD,1970s,1970,204,0.06295424623565202,0.04029690816875549,1.5622599622782987,0.14770421022976907,0.13581219902211994
ever_top2,v2pariglef,v2xpa_antiplural,Non-OECD,1980s,1980,280,0.0613996107791924,0.044951912057371465,1.3658954195503181,0.06988220215967758,0.05590270427466493
ever_top2,v2pariglef,v2xpa_antiplural,Non-OECD,1990s,1990,538,0.05958093224686514,0.047397721404615505,1.257042121038824,0.07501923744728708,0.08237171782830895
ever_top2,v2pariglef,v2xpa_antiplural,Non-OECD,2000s,2000,574,0.0576265602591588,0.047253049619244536,1.21953102971135,0.09293673539717068,0.10681465704995566
ever_top2,v2pariglef,v2xpa_antiplural,Non-OECD,2010s,2010,546,0.06519648918626814,0.04543270135301447,1.4350123863357365,0.08691268649995203,0.09166761079538445
