axis,axis_label,level,n,n_treated,fs_coef,fs_se,fs_pval,fs_n,rf_coef,rf_se,rf_pval,late_coef,late_se,late_pval
R1,R1: top-2 illiberality gap,all,1347,496,0.01745794410575638,0.018112069639726128,0.3351038102958821,1289,-0.053125954158510985,0.026745364453216368,0.04699323192751867,-3.042176273551332,2.6733756633411248,0.2551400432612504
R1,R1: top-2 illiberality gap,q20 (≥ 0.018),1081,418,0.01499026198995643,0.0240590381523156,0.5332440649766206,1034,-0.06471106403744502,0.035830020061891454,0.07090941259708605,-1.8790516263900767,2.2556756790592853,0.40482628108762386
R1,R1: top-2 illiberality gap,q40 (≥ 0.09),810,322,0.006161755606710419,0.023577265687413397,0.7938279353039377,777,-0.07769427421690876,0.04686706061262909,0.09736619446245136,-80.2843553208946,248.05343430627966,0.7461973475600552
R1,R1: top-2 illiberality gap,q60 (≥ 0.199),539,213,0.0054946901372116205,0.029408905590696213,0.8517879441664725,517,-0.06762748017404276,0.055238311274766604,0.22084443136729467,-4.361228255849156,65.54323671268837,0.9469481401838008
R1,R1: top-2 illiberality gap,q80 (≥ 0.437),271,110,-0.007324766177306627,0.057285660815945265,0.8982567053784141,263,-0.07521352964944585,0.09690321944395909,0.43764765544098677,12.18015685231364,49.843533104099365,0.8069459416981049
R2,R2: more-illiberal party's score,all,1347,496,0.01745794410575638,0.018112069639726128,0.3351038102958821,1289,-0.053125954158510985,0.026745364453216368,0.04699323192751867,-3.042176273551332,2.6733756633411248,0.2551400432612504
R2,R2: more-illiberal party's score,q20 (≥ 0.144),1077,414,0.02749560514835683,0.024211238455474998,0.25610113394504824,1033,-0.07129685510338736,0.036759550084140835,0.052434833445990585,-1.369409486203997,1.1849525721145162,0.247817770353101
R2,R2: more-illiberal party's score,q40 (≥ 0.405),809,323,0.007413017859567501,0.03140235056390553,0.813381689431801,779,-0.08259890302898712,0.04421676354194732,0.061755802012374315,-10.14295840021234,19.40761281276684,0.6012332759390884
R2,R2: more-illiberal party's score,q60 (≥ 0.705),542,229,0.016840609063281935,0.04954601599576899,0.7339330796015048,523,-0.1593575848962559,0.08554486963132094,0.06248283926399296,-5.975814937907492,22.66814093213087,0.7920713986431052
R2,R2: more-illiberal party's score,q80 (≥ 0.9),275,126,0.04040368766650575,0.0657052791197884,0.5386055695608192,262,-0.27352539274730964,0.14318402642685213,0.05609374665103389,193.84640391659903,452.5695698818929,0.6684152553208856
R3,"R3: gap, within-country standardized",all,1347,496,0.01745794410575638,0.018112069639726128,0.3351038102958821,1289,-0.053125954158510985,0.026745364453216368,0.04699323192751867,-3.042176273551332,2.6733756633411248,0.2551400432612504
R3,"R3: gap, within-country standardized",q20 (≥ 0.254),1076,410,0.01800439092099189,0.023726381229210395,0.4479517090645225,1029,-0.06465046687508262,0.03536152029745219,0.06750878469875335,-2.1305451885602062,2.297683760560332,0.35379269922320167
R3,"R3: gap, within-country standardized",q40 (≥ 0.834),808,315,0.009693329528638373,0.02538135374646074,0.7025299719650777,765,-0.0612018024967203,0.051913872415059716,0.2384338683028287,-7.746609228996121,12.945873872478407,0.5495834590357901
R3,"R3: gap, within-country standardized",q60 (≥ 1.44),538,214,0.014092665341904235,0.03871157155123784,0.7158261178264851,511,-0.11021630640339064,0.08376462402825932,0.18824593237091758,-5.6634949848544895,7.551133696263194,0.4532431626233684
R3,"R3: gap, within-country standardized",q80 (≥ 2.09),269,107,-0.04724789542330016,0.043924725984942535,0.28208112868306956,253,-0.07650261590372048,0.0806707258669322,0.3429605590907487,1.5432754300217921,3.6799188178846616,0.6749402103473428
R4,R4: prior backsliding,all,1347,496,0.01745794410575638,0.018112069639726128,0.3351038102958821,1289,-0.053125954158510985,0.026745364453216368,0.04699323192751867,-3.042176273551332,2.6733756633411248,0.2551400432612504
R4,R4: prior backsliding,no prior episode,1242,431,0.0023947426870641825,0.020681886704739454,0.9078194732454423,1187,-0.04686101037075939,0.03109412934135814,0.13179287324789274,-1.7482704914560865,1.5404802525711707,0.2564228091991725
R5,R5: election type,both,1347,496,0.01745794410575638,0.018112069639726128,0.3351038102958821,1289,-0.053125954158510985,0.026745364453216368,0.04699323192751867,-3.042176273551332,2.6733756633411248,0.2551400432612504
R5,R5: election type,presidential,397,158,-0.04501947158763514,0.04146326872668885,0.27758184760317856,381,-0.04489248181406952,0.03873323923412539,0.24644926537332176,0.0846069589977323,6.154983582324051,0.9890325523168266
R5,R5: election type,parliamentary,950,338,0.03787341377945329,0.020739668981707985,0.06783008641464391,908,-0.06198618244142129,0.03745739120165495,0.09795591125769221,-1.6758926412945354,1.4053076254909818,0.2330476005032968
