vocab,is_plotted,group,decade,decade_start,tag,n_party_years,n_parties,mean_antiplural,mean_popul,tag_rank
rile_wikipedia,TRUE,Non-OECD,1980s,1980,big_tent,22,11,0.8296363636363636,0.32736363636363636,8
rile_wikipedia,TRUE,Non-OECD,2000s,2000,far_right,51,26,0.7519803921568627,0.4518627450980392,7
rile_wikipedia,TRUE,Non-OECD,2010s,2010,far_right,45,29,0.7135777777777778,0.4517111111111111,6
rile_wikipedia,TRUE,Non-OECD,1990s,1990,left_wing,132,72,0.48300757575757575,0.5452121212121213,5
rile_wikipedia,TRUE,Non-OECD,1990s,1990,far_left,54,28,0.7016481481481481,0.62470370370370365,6
rile_wikipedia,TRUE,Non-OECD,2000s,2000,far_left,59,29,0.6684745762711864,0.6243220338983051,6
rile_wikipedia,TRUE,Non-OECD,2010s,2010,right_wing,162,103,0.6037222222222222,0.36619753086419754,4
rile_wikipedia,TRUE,Non-OECD,2000s,2000,big_tent,28,15,0.6542857142857142,0.3409285714285714,8
rile_wikipedia,TRUE,Non-OECD,2010s,2010,big_tent,40,24,0.7105,0.29505,8
rile_wikipedia,TRUE,Non-OECD,1970s,1970,centre,45,28,0.5321777777777777,0.4474444444444444,5
rile_wikipedia,TRUE,Non-OECD,1980s,1980,centre,64,32,0.453625,0.41928125,5
rile_wikipedia,TRUE,Non-OECD,1980s,1980,right_wing,72,35,0.708375,0.22655555555555557,4
rile_wikipedia,TRUE,Non-OECD,1980s,1980,left_wing,90,49,0.6228888888888888,0.5686333333333333,3
rile_wikipedia,TRUE,Non-OECD,1970s,1970,right_wing,55,33,0.8233636363636364,0.23965454545454545,4
rile_wikipedia,TRUE,Non-OECD,2000s,2000,left_wing,145,79,0.4840689655172414,0.5295241379310345,5
rile_wikipedia,TRUE,Non-OECD,2010s,2010,left_wing,117,65,0.5360256410256411,0.5246410256410257,5
rile_wikipedia,TRUE,Non-OECD,1990s,1990,big_tent,22,11,0.65309090909090906,0.23140909090909093,8
rile_wikidata,TRUE,OECD,1990s,1990,centre_left,114,46,0.07396491228070176,0.32307017543859645,2
rile_wikidata,TRUE,OECD,2000s,2000,centre_left,127,53,0.0805748031496063,0.34555905511811025,2
rile_wikidata,TRUE,OECD,2010s,2010,centre_left,148,62,0.11543918918918919,0.3900067567567567,2
rile_wikidata,TRUE,OECD,2000s,2000,centre_right,126,55,0.09713492063492064,0.19253968253968254,1
rile_wikidata,TRUE,OECD,2010s,2010,centre_right,157,72,0.11767515923566879,0.23143949044585987,1
rile_wikidata,TRUE,OECD,1970s,1970,right_wing,37,13,0.13413513513513514,0.2582162162162162,4
rile_wikidata,TRUE,OECD,1980s,1980,right_wing,47,18,0.2114468085106383,0.2579574468085106,4
rile_wikidata,TRUE,OECD,1990s,1990,right_wing,73,31,0.27835616438356164,0.39412328767123284,4
rile_wikidata,TRUE,OECD,2000s,2000,right_wing,73,31,0.2751917808219178,0.4676849315068493,4
rile_wikidata,TRUE,OECD,2010s,2010,right_wing,101,45,0.3906633663366337,0.6019405940594059,4
rile_wikidata,TRUE,OECD,1970s,1970,centrism,70,28,0.1415428571428571,0.2084857142857143,2
rile_wikidata,TRUE,OECD,1980s,1980,centrism,68,30,0.10536764705882351,0.2061029411764706,2
rile_wikidata,TRUE,OECD,1990s,1990,centrism,78,35,0.07833333333333332,0.1950128205128205,3
rile_wikidata,TRUE,OECD,2000s,2000,centrism,82,35,0.07875609756097561,0.24585365853658536,3
rile_wikidata,TRUE,OECD,2010s,2010,centrism,118,62,0.08069491525423729,0.2680084745762712,3
rile_wikidata,TRUE,OECD,2010s,2010,left_wing,61,28,0.13177049180327868,0.5346065573770492,5
rile_wikidata,TRUE,OECD,1980s,1980,centre_left,68,27,0.06033823529411765,0.30667647058823533,3
rile_wikidata,TRUE,OECD,1970s,1970,centre_left,66,26,0.08424242424242424,0.34571212121212125,3
rile_wikidata,TRUE,OECD,1990s,1990,centre_right,115,46,0.11000869565217392,0.195,1
rile_wikidata,TRUE,OECD,1970s,1970,centre_right,79,29,0.05489873417721519,0.1280632911392405,1
rile_wikidata,TRUE,OECD,1980s,1980,centre_right,93,35,0.08176344086021504,0.14161290322580644,1
rile_wikidata,TRUE,OECD,1980s,1980,radical_left,15,6,0.19133333333333333,0.5394,6
rile_wikidata,TRUE,OECD,1990s,1990,radical_left,22,10,0.17527272727272727,0.5135,7
rile_wikidata,TRUE,OECD,2000s,2000,radical_left,21,9,0.19071428571428573,0.5119047619047619,6
rile_wikidata,TRUE,OECD,2010s,2010,radical_left,19,9,0.16826315789473684,0.5759473684210527,7
rile_wikidata,TRUE,OECD,1970s,1970,left_wing,26,11,0.19976923076923075,0.5416538461538462,5
rile_wikidata,TRUE,OECD,1980s,1980,left_wing,25,9,0.12424,0.48268,5
rile_wikidata,TRUE,OECD,1990s,1990,left_wing,37,17,0.08194594594594594,0.40900000000000003,5
rile_wikidata,TRUE,OECD,2000s,2000,left_wing,50,20,0.10856,0.48866,5
rile_wikidata,TRUE,Non-OECD,1990s,1990,centre_left,111,57,0.39723423423423426,0.4436846846846847,1
rile_wikidata,TRUE,Non-OECD,2000s,2000,centre_left,138,69,0.40069565217391306,0.4473550724637681,2
rile_wikidata,TRUE,Non-OECD,2010s,2010,centre_left,136,80,0.4277941176470588,0.479125,2
rile_wikidata,TRUE,Non-OECD,1990s,1990,centre_right,102,53,0.45552941176470585,0.2878823529411765,2
rile_wikidata,TRUE,Non-OECD,2000s,2000,centre_right,129,70,0.46234108527131784,0.3457674418604651,1
rile_wikidata,TRUE,Non-OECD,2010s,2010,centre_right,150,86,0.5005066666666667,0.3457266666666667,1
rile_wikidata,TRUE,Non-OECD,2000s,2000,centrism,88,46,0.3231931818181818,0.32848863636363634,3
rile_wikidata,TRUE,Non-OECD,2010s,2010,centrism,122,77,0.3961065573770492,0.3962786885245902,3
rile_wikidata,TRUE,Non-OECD,1990s,1990,right_wing,64,28,0.6038125,0.308828125,5
rile_wikidata,TRUE,Non-OECD,2000s,2000,right_wing,66,32,0.6244999999999999,0.37598484848484853,4
rile_wikidata,TRUE,Non-OECD,2010s,2010,left_wing,53,31,0.6667547169811321,0.5233962264150943,5
rile_wikidata,TRUE,Non-OECD,1990s,1990,right_wing_extremism,16,7,0.9159375,0.4680625,7
rile_wikidata,TRUE,Non-OECD,2000s,2000,right_wing_extremism,16,8,0.885625,0.5481875,7
rile_wikidata,TRUE,Non-OECD,2010s,2010,right_wing_extremism,16,12,0.807375,0.5993125,6
rile_wikidata,TRUE,Non-OECD,1990s,1990,centrism,73,42,0.3175205479452055,0.33893150684931506,3
rile_wikidata,TRUE,Non-OECD,1990s,1990,left_wing,63,30,0.6464444444444445,0.581920634920635,4
rile_wikidata,TRUE,Non-OECD,2000s,2000,left_wing,65,30,0.5964307692307692,0.5358,5
rile_wikidata,TRUE,Non-OECD,2010s,2010,right_wing,74,48,0.6635405405405406,0.34563513513513516,4
rile_wikidata,TRUE,Non-OECD,1970s,1970,left_wing,31,17,0.8102903225806452,0.6073548387096774,3
rile_wikidata,TRUE,Non-OECD,1980s,1980,left_wing,33,19,0.8022424242424242,0.5698787878787879,3
rile_wikidata,TRUE,Non-OECD,1980s,1980,centre_right,56,30,0.5658928571428572,0.28125,2
rile_wikidata,TRUE,Non-OECD,1980s,1980,right_wing,37,17,0.6592432432432432,0.2697027027027027,4
rile_wikidata,TRUE,OECD,2010s,2010,right_wing_extremism,21,14,0.6477619047619048,0.6608571428571428,6
rile_wikidata,TRUE,OECD,1990s,1990,right_wing_extremism,18,11,0.6216111111111111,0.6246111111111111,6
rile_wikidata,TRUE,Non-OECD,1980s,1980,centre_left,57,30,0.5584385964912281,0.501421052631579,1
rile_wikidata,TRUE,Non-OECD,1970s,1970,centrism,16,11,0.4845,0.34531249999999997,5
rile_wikidata,TRUE,Non-OECD,1980s,1980,centrism,27,14,0.3645185185185185,0.37003703703703705,5
rile_wikidata,TRUE,Non-OECD,1970s,1970,right_wing,24,14,0.8593333333333333,0.247875,4
rile_wikidata,TRUE,Non-OECD,1970s,1970,centre_left,36,21,0.6658611111111111,0.4696666666666667,1
rile_wikidata,TRUE,Non-OECD,1970s,1970,centre_right,33,18,0.6829090909090909,0.24372727272727274,2
rile_wikidata,TRUE,Non-OECD,1990s,1990,far_left_politics,20,10,0.7767,0.69485,6
rile_wikidata,TRUE,Non-OECD,2000s,2000,far_left_politics,19,9,0.808,0.5006315789473684,6
ideology_wikipedia,TRUE,OECD,1990s,1990,social_democracy,120,51,0.11540833333333332,0.337175,1
ideology_wikipedia,FALSE,OECD,1990s,1990,progressivism,17,8,0.073,0.3498235294117647,17
ideology_wikipedia,TRUE,OECD,2000s,2000,social_democracy,112,49,0.09130357142857143,0.36288392857142854,1
ideology_wikipedia,FALSE,OECD,2000s,2000,progressivism,27,13,0.11451851851851852,0.4791111111111111,13
ideology_wikipedia,TRUE,OECD,2010s,2010,social_democracy,136,54,0.11238235294117647,0.39780882352941177,1
ideology_wikipedia,FALSE,OECD,2010s,2010,progressivism,36,19,0.16769444444444445,0.5276666666666666,12
ideology_wikipedia,FALSE,OECD,2000s,2000,green_politics,33,16,0.0633939393939394,0.23424242424242425,11
ideology_wikipedia,FALSE,OECD,2010s,2010,green_politics,36,18,0.09013888888888888,0.2891666666666667,13
ideology_wikipedia,FALSE,OECD,1970s,1970,national_conservatism,17,7,0.3631764705882353,0.3814705882352941,12
ideology_wikipedia,TRUE,OECD,1990s,1990,national_conservatism,43,22,0.35832558139534887,0.5464186046511628,6
ideology_wikipedia,TRUE,OECD,2000s,2000,national_conservatism,46,22,0.3148695652173913,0.5389565217391304,7
ideology_wikipedia,TRUE,OECD,2010s,2010,national_conservatism,54,26,0.45016666666666666,0.6951666666666667,7
ideology_wikipedia,FALSE,OECD,2000s,2000,social_liberalism,24,14,0.06745833333333333,0.26358333333333334,12
ideology_wikipedia,FALSE,OECD,2010s,2010,social_liberalism,27,17,0.07907407407407407,0.30044444444444446,15
ideology_wikipedia,TRUE,OECD,1970s,1970,communism,19,11,0.5207894736842105,0.6037894736842105,8
ideology_wikipedia,FALSE,OECD,1970s,1970,marxism_leninism,16,10,0.6485,0.5089375,9
ideology_wikipedia,FALSE,OECD,2010s,2010,left_wing_populism,26,11,0.16299999999999998,0.5798076923076924,17
ideology_wikipedia,TRUE,OECD,2010s,2010,conservatism,58,29,0.22160344827586206,0.31494827586206897,4
ideology_wikipedia,TRUE,OECD,2010s,2010,social_conservatism,52,29,0.2679423076923077,0.47271153846153846,6
ideology_wikipedia,TRUE,OECD,1990s,1990,right_wing_populism,52,23,0.37584615384615383,0.6064615384615385,5
ideology_wikipedia,TRUE,OECD,1990s,1990,economic_liberalism,38,18,0.15397368421052632,0.3491052631578947,8
ideology_wikipedia,TRUE,OECD,1990s,1990,pro_europeanism,62,28,0.144241935483871,0.2856451612903226,4
