score_y,score_x,vocab,is_plotted,group,decade,decade_start,tag,n_party_years,n_parties,mean_antiplural,mean_popul,tag_rank
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1970s,1970,centre_right,89,50,0.8135730337078652,0.7341910112359551,2
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1970s,1970,far_right,40,20,1.21475,0.920125,6
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1980s,1980,centre_right,120,63,1.0047083333333335,0.6355416666666667,2
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1980s,1980,far_right,35,16,1.4057714285714284,0.8458,7
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1990s,1990,far_right,48,21,1.1773333333333333,0.7437083333333333,7
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1990s,1990,right_wing,151,73,0.9975496688741722,0.5899271523178807,4
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,2000s,2000,right_wing,175,97,0.9276285714285715,0.5796742857142857,4
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,2010s,2010,far_left,53,28,-1.4446037735849058,0.6623584905660377,7
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1970s,1970,centre_left,96,61,-0.9382916666666667,0.6014479166666666,1
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1980s,1980,centre_left,148,75,-0.6539121621621621,0.5474054054054054,1
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,1980s,1980,far_left,24,12,-2.7732083333333333,0.40837500000000004,6
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,OECD,1990s,1990,far_left,25,13,-2.79316,0.24396,7
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1970s,1970,far_left,31,17,-2.5805806451612905,0.915,7
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1970s,1970,big_tent,17,11,-0.9214117647058824,0.8590588235294118,8
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1980s,1980,far_left,38,21,-2.252,0.8726842105263158,6
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1980s,1980,big_tent,22,11,-0.3282272727272727,0.8296363636363636,8
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,2000s,2000,far_right,51,26,1.1423529411764706,0.7519803921568627,7
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,2010s,2010,far_right,45,29,1.0890222222222221,0.7135777777777778,6
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1990s,1990,left_wing,132,72,-1.181659090909091,0.48300757575757575,5
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1990s,1990,far_left,54,28,-1.8896666666666666,0.7016481481481481,6
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,2000s,2000,far_left,58,29,-1.6645172413793103,0.6662931034482759,6
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,2010s,2010,right_wing,161,103,0.9405217391304348,0.6017453416149069,4
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,2000s,2000,big_tent,28,15,0.18289285714285722,0.6542857142857142,8
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,2010s,2010,big_tent,40,24,0.009199999999999974,0.7105,8
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1970s,1970,centre,45,28,-0.2720666666666667,0.5321777777777777,5
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1980s,1980,centre,64,32,0.14657812500000011,0.453625,5
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1980s,1980,right_wing,72,35,1.20475,0.708375,4
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1980s,1980,left_wing,90,49,-1.4271666666666667,0.6228888888888888,3
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1970s,1970,right_wing,55,33,0.8226181818181819,0.8233636363636364,4
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,2000s,2000,left_wing,144,79,-1.014375,0.4819097222222222,5
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,2010s,2010,left_wing,117,65,-0.8787777777777777,0.5360256410256411,5
v2pariglef,v2xpa_antiplural,rile_wikipedia,TRUE,Non-OECD,1990s,1990,big_tent,22,11,-0.05836363636363637,0.65309090909090906,8
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,1990s,1990,centre_left,114,46,-0.990640350877193,0.07396491228070176,2
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,2000s,2000,centre_left,127,53,-0.893259842519685,0.0805748031496063,2
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,2010s,2010,centre_left,148,62,-0.9469729729729729,0.11543918918918919,2
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,2000s,2000,centre_right,126,55,1.1295079365079366,0.09713492063492064,1
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,2010s,2010,centre_right,157,72,1.1279044585987261,0.11767515923566879,1
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,1970s,1970,right_wing,37,13,1.4365405405405407,0.13413513513513514,4
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,1980s,1980,right_wing,47,18,1.5421063829787234,0.2114468085106383,4
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,1990s,1990,right_wing,73,31,1.537876712328767,0.27835616438356164,4
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,2000s,2000,right_wing,73,31,1.6251643835616438,0.2751917808219178,4
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,2010s,2010,right_wing,101,45,1.4955742574257427,0.3906633663366337,4
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,1970s,1970,centrism,70,28,0.12187142857142857,0.1415428571428571,2
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,1980s,1980,centrism,68,30,0.22517647058823526,0.10536764705882351,2
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,1990s,1990,centrism,78,35,0.20520512820512818,0.07833333333333332,3
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,2000s,2000,centrism,82,35,0.055963414634146356,0.07875609756097561,3
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,2010s,2010,centrism,118,62,0.1405423728813559,0.08069491525423729,3
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,2010s,2010,left_wing,61,28,-2.2107704918032787,0.13177049180327868,5
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,1980s,1980,centre_left,67,26,-1.0983283582089551,0.060223880597014924,3
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,1970s,1970,centre_left,66,26,-1.3658181818181818,0.08424242424242424,3
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,1990s,1990,centre_right,115,46,1.097904347826087,0.11000869565217392,1
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,1970s,1970,centre_right,79,29,1.0826835443037974,0.05489873417721519,1
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,1980s,1980,centre_right,93,35,1.029043010752688,0.08176344086021504,1
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,1980s,1980,radical_left,15,6,-2.8274,0.19133333333333333,6
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,1990s,1990,radical_left,22,10,-2.6411363636363636,0.17527272727272727,7
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,2000s,2000,radical_left,21,9,-2.725952380952381,0.19071428571428573,6
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,2010s,2010,radical_left,19,9,-2.663,0.16826315789473684,7
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,1970s,1970,left_wing,26,11,-2.5934615384615385,0.19976923076923075,5
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,1980s,1980,left_wing,25,9,-2.38528,0.12424,5
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,1990s,1990,left_wing,37,17,-2.0718648648648648,0.08194594594594594,5
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,2000s,2000,left_wing,50,20,-2.11394,0.10856,5
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,1990s,1990,centre_left,111,57,-0.7488018018018018,0.39723423423423426,1
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,2000s,2000,centre_left,138,69,-0.5647028985507246,0.40069565217391306,2
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,2010s,2010,centre_left,136,80,-0.5268455882352941,0.4277941176470588,2
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,1990s,1990,centre_right,102,53,0.8059411764705882,0.45552941176470585,2
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,2000s,2000,centre_right,129,70,0.7992713178294573,0.46234108527131784,1
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,2010s,2010,centre_right,150,86,0.8285466666666667,0.5005066666666667,1
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,2000s,2000,centrism,88,46,0.3614204545454546,0.3231931818181818,3
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,2010s,2010,centrism,122,77,0.40592622950819673,0.3961065573770492,3
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,1990s,1990,right_wing,64,28,0.9217968749999998,0.6038125,5
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,2000s,2000,right_wing,66,32,0.7897878787878787,0.6244999999999999,4
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,2010s,2010,left_wing,53,31,-1.22188679245283,0.6667547169811321,5
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,1990s,1990,right_wing_extremism,16,7,0.8678125000000001,0.9159375,7
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,2000s,2000,right_wing_extremism,16,8,0.6279375,0.885625,7
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,2010s,2010,right_wing_extremism,16,12,1.0798125,0.807375,6
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,1990s,1990,centrism,73,42,0.11449315068493149,0.3175205479452055,3
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,1990s,1990,left_wing,63,30,-1.8934920634920636,0.6464444444444445,4
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,2000s,2000,left_wing,65,30,-1.4299076923076923,0.5964307692307692,5
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,2010s,2010,right_wing,74,48,0.9028513513513513,0.6635405405405406,4
