election_id,country_name,country_text_id,election_year,election_type,win_party,win_share,win_score,lose_party,lose_share,lose_score,score_diff,vote_margin,ln_gdp_pre,polyarchy_pre,gdp_chg_1y,poly_chg_1y,gdp_chg_5y,poly_chg_5y,gdp_chg_10y,poly_chg_10y,gdp_pc_pre
parl_39,Albania,ALB,1991,parliamentary,Party of Labour / Albanian Workers' Party (PPSH),67.60000000000001,0.998,Democratic Party of Albania (PDS),30,0.382,0.616,37.60000000000001,8.532941800794704,0.187,-0.33269024917161294,0.23299999999999998,-0.027752756354729957,0.2,0.27053480324294665,0.251,5079.366361449446
parl_41,Albania,ALB,1996,parliamentary,Democratic Party of Albania (PDS),87.14285714285714,0.893,Socialist Party of Albania (PSS),7.142857142857142,0.286,0.607,80,8.431883168798652,0.427,-0.03711529268420666,-0.055999999999999994,0.40564538875398903,0.01100000000000001,0.8867202310531894,0.11900000000000005,4591.137844775788
pres_53,Armenia,ARM,1996,presidential,Pan-Armenian National Movement (HHS),51.300000000000004,0.918,National Democratic Union (AZhM),41,0.329,0.589,10.300000000000004,8.199508564966008,0.489,0.11482898559200772,-0.09699999999999998,0.5087714897515814,-0.07400000000000001,1.9072138676549537,-0.15099999999999997,3639.161456382323
pres_57,Armenia,ARM,2013,presidential,Republican Party of Armenia (HHK),58.64212071369439,0.706,Heritage Party (HePa),36.74220349875822,0.161,0.5449999999999999,21.899917214936167,9.469650970320549,0.353,0.07022411443935495,-0.010999999999999954,0.25735333400228266,0.17100000000000004,0.6086014941800542,0.278,12960.362890449629
parl_189,Armenia,ARM,2018,parliamentary,My Step Alliance (IKD),66.66666666666666,0.437,Prosperous Armenia Party (BHK),19.696969696969695,0.691,-0.25399999999999995,46.96969696969696,9.646227047910958,0.381,0.13658294805482196,0.41500000000000004,0.34822523493999546,0.25,NA,NA,15463.33548015875
pres_75,Azerbaijan,AZE,1998,presidential,New Azerbaijan Party (YAP),77.60573613383583,0.993,Azerbaijan National Independence Party (AMIP),11.830715313450408,0.385,0.608,65.77502082038542,8.329861717995731,0.237,0.15734253879976134,0.0020000000000000018,0.6746896063700403,0.0010000000000000009,3.079598949242718,-0.024999999999999994,4145.84421697682
parl_547,Bolivia,BOL,1985,parliamentary,Revolutionary Nationalist Movement (MNR),33.07692307692307,0.645,Nationalist Democratic Action (ADN),31.538461538461537,0.838,-0.19299999999999995,1.5384615384615365,8.557116303297917,0.325,-0.08163274238745677,0.297,-0.03353808707320505,0.326,0.06968725220482064,0.40499999999999997,5203.653756434389
pres_124,Bolivia,BOL,1985,presidential,Nationalist Democratic Action (ADN),32.800000000000004,0.838,Revolutionary Nationalist Movement (MNR),30.400000000000002,0.645,0.19299999999999995,2.400000000000002,8.557116303297917,0.325,-0.08163274238745677,0.297,-0.03353808707320505,0.326,0.06968725220482064,0.40499999999999997,5203.653756434389
parl_554,Bolivia,BOL,2009,parliamentary,Movement for Socialism (MAS),67.6923076923077,0.84,Plan Progress for Bolivia -- National Convergence (PPB-CN),28.46153846153846,0.242,0.598,39.23076923076923,8.873026417315318,0.719,0.04118607633360116,-0.038999999999999924,0.21720440146517261,-0.07199999999999995,0.3730751696680594,-0.26299999999999996,7136.847400754333
pres_130,Bolivia,BOL,2009,presidential,Movement for Socialism (MAS),64.22313850133958,0.84,Plan Progress for Bolivia -- National Convergence (PPB-CN),26.464142117916918,0.242,0.598,37.758996383422655,8.873026417315318,0.719,0.04118607633360116,-0.038999999999999924,0.21720440146517261,-0.07199999999999995,0.3730751696680594,-0.26299999999999996,7136.847400754333
parl_555,Bolivia,BOL,2014,parliamentary,Movement for Socialism (MAS),67.6923076923077,0.911,Plan Progress for Bolivia -- National Convergence (PPB-CN),24.615384615384617,0.242,0.669,43.07692307692308,9.031861792099297,0.658,0.07248869307022221,-0.049000000000000044,0.17142094987196144,-0.202,NA,-0.08100000000000007,8365.419755175883
pres_131,Bolivia,BOL,2014,presidential,Movement for Socialism (MAS),61.36223882455678,0.911,National Unity Front (UN),24.234853506613646,0.133,0.778,37.12738531794314,9.031861792099297,0.658,0.07248869307022221,-0.049000000000000044,0.17142094987196144,-0.202,NA,-0.08100000000000007,8365.419755175883
parl_556,Bolivia,BOL,2019,parliamentary,Movement for Socialism (MAS),51.53846153846153,0.979,Civic Community (CC),38.46153846153847,0.2,0.7789999999999999,13.076923076923066,9.182220143207044,0.593,-0.09145863470509574,-0.31799999999999995,NA,-0.016000000000000014,NA,NA,9722.714647724155
pres_132,Bolivia,BOL,2019,presidential,Movement for Socialism (MAS),46.64239235504061,0.979,Civic Community (CC),36.831814869234414,0.2,0.7789999999999999,9.8105774858062,9.182220143207044,0.593,-0.09145863470509574,-0.31799999999999995,NA,-0.016000000000000014,NA,NA,9722.714647724155
pres_133,Bolivia,BOL,2020,presidential,Movement for Socialism (MAS),55.10530488401842,0.979,Civic Community (CC),28.834099042880656,0.2,0.7789999999999999,26.271205841137768,9.190079291086164,0.456,-0.053181772550827455,0.15199999999999997,NA,0.14899999999999997,NA,NA,9799.427955685804
parl_559,Bosnia-Herz,BIH,1996,parliamentary,Party of Democratic Action (SDA),45.23809523809524,0.516,Serbian Democratic Party (SDS),21.428571428571427,0.939,-0.42299999999999993,23.809523809523814,7.961229405972243,0.187,0.9482923689094007,0.39699999999999996,1.583023132537826,0.467,2.3751248920452994,0.439,2867.5962262223175
parl_565,Bosnia-Herz,BIH,2014,parliamentary,Party of Democratic Action (SDA),21.428571428571427,0.474,Alliance of Independent Social Democrats (SNSD),14.285714285714285,0.939,-0.46499999999999997,7.142857142857142,9.408271021269726,0.56,0.08286924211591273,-0.013000000000000012,0.2967921318811946,-0.04500000000000004,NA,-0.05300000000000005,12188.778608497321
parl_566,Bosnia-Herz,BIH,2018,parliamentary,Party of Democratic Action (SDA),21.428571428571427,0.474,Alliance of Independent Social Democrats (SNSD),14.285714285714285,0.939,-0.46499999999999997,7.142857142857142,9.577589580210006,0.541,0.09480368615642121,-0.026000000000000023,0.27440972691990173,-0.039000000000000035,NA,NA,14437.576705859572
parl_567,Bosnia-Herz,BIH,2022,parliamentary,Party of Democratic Action (SDA),21.428571428571427,0.474,Alliance of Independent Social Democrats (SNSD),14.285714285714285,0.939,-0.46499999999999997,7.142857142857142,9.739401504093163,0.508,0.08401440128773108,-0.006000000000000005,NA,NA,NA,NA,16973.37984185679
parl_624,Brazil,BRA,1970,parliamentary,National Renewal Alliance (ARENA),71.93548387096774,0.977,Brazilian Democratic Movement (MDB),28.064516129032256,0.254,0.723,43.87096774193549,8.820320684181596,0.174,0.17278387872521206,0,0.5455752071143201,0.010000000000000009,0.9435034860039082,0.07700000000000001,6770.435448727117
parl_625,Brazil,BRA,1974,parliamentary,National Renewal Alliance (ARENA),55.769230769230774,0.967,Brazilian Democratic Movement (MDB),44.230769230769226,0.216,0.751,11.538461538461547,9.174714981121697,0.175,0.08437289881788734,0.009000000000000008,0.27814442712421306,0.032,0.23061187670544303,0.11499999999999999,9650.01724252603
parl_626,Brazil,BRA,1978,parliamentary,National Renewal Alliance (ARENA),55.00000000000001,0.955,Brazilian Democratic Movement (MDB),45,0.219,0.736,10.000000000000007,9.353830061850005,0.186,0.06854112023373315,0.02099999999999999,-0.0023306099975994865,0.09599999999999997,0.13820362144152876,0.49600000000000005,11542.949098195902
parl_627,Brazil,BRA,1982,parliamentary,Democratic Social Party (PDS),49.06054279749478,0.72,Brazilian Democratic Movement (MDB),41.75365344467641,0.219,0.501,7.306889352818374,9.41809674747001,0.251,-0.06443066046072199,0.030999999999999972,0.0885946886247948,0.30800000000000005,-0.023584029463287526,0.585,12309.132523835116
parl_636,Brazil,BRA,2018,parliamentary,Workers' Party (PT),10.916179337231968,0.031,Social Liberal Party (PSL),10.1364522417154,0.949,-0.9179999999999999,0.7797270955165683,9.751411924425303,0.774,0.01659518597436138,-0.08300000000000007,0.0764666200681956,0.016000000000000014,NA,NA,17178.466390734164
pres_158,Brazil,BRA,2018,presidential,Social Liberal Party (PSL),55.13,0.949,Workers' Party (PT),44.87,0.031,0.9179999999999999,10.260000000000005,9.751411924425303,0.774,0.01659518597436138,-0.08300000000000007,0.0764666200681956,0.016000000000000014,NA,NA,17178.466390734164
parl_702,Burkina Faso,BFA,1992,parliamentary,Congress for Democracy and Progress (CDP),72.89719626168224,0.92,National Convention of Progressive Patriots–Social Democratic Party (CNPP/PSD),11.214953271028037,0.504,0.41600000000000004,61.6822429906542,7.0144106314786505,0.193,-0.013080975323807031,0.288,0.12634878062190125,0.293,0.25511568200781864,0.324,1112.5507505576054
parl_703,Burkina Faso,BFA,1997,parliamentary,Congress for Democracy and Progress (CDP),90.990990990991,0.92,Party for Democracy and Progress (PDP),5.405405405405405,0.496,0.42400000000000004,85.58558558558559,7.097918341558692,0.484,0.08151589023330397,0.008000000000000007,0.15456082682957772,0.03300000000000003,0.3378260452509594,0.050000000000000044,1209.4467970898309
parl_704,Burkina Faso,BFA,2002,parliamentary,Congress for Democracy and Progress (CDP),51.64835164835166,0.902,Alliance for Democracy and Federation–African Democratic Rally (ADF-RDA),15.384615384615385,0.559,0.34299999999999997,36.26373626373627,7.229933521984325,0.519,0.05723209622070802,-0.0030000000000000027,0.17237401046676415,0.015000000000000013,0.3563156843247741,0.051999999999999935,1380.1307526835506
parl_705,Burkina Faso,BFA,2007,parliamentary,Congress for Democracy and Progress (CDP),65.76576576576578,0.887,Alliance for Democracy and Federation–African Democratic Rally (ADF-RDA),12.612612612612612,0.576,0.31100000000000005,53.15315315315317,7.379000879693957,0.542,0.037653616825783276,-0.01100000000000001,0.1684809948129169,0.028999999999999915,0.30180764106244995,0.14100000000000001,1601.988388851254
pres_172,Burkina Faso,BFA,2010,presidential,Congress for Democracy and Progress (CDP),80.21000000000001,0.887,Party for Democracy and Socialism / Metba (PDS/Metba),8.18,0.583,0.30400000000000005,72.03,7.4159605706753435,0.537,0.09022736028100575,0.02400000000000002,0.1811809864317273,-0.16100000000000003,0.33811107593052325,0.125,1662.3051633344505
parl_706,Burkina Faso,BFA,2012,parliamentary,Congress for Democracy and Progress (CDP),55.118110236220474,0.887,Union for Progress and Reform (UPC),14.960629921259844,0.179,0.708,40.15748031496063,7.502346832578833,0.561,0.06041507901403298,0.03699999999999992,0.15074302089735503,0.122,0.2712489457099212,-0.28600000000000003,1812.2905702036044
pres_174,Burkina Faso,BFA,2020,presidential,People's Movement for Progress (MPP),57.87087416392287,0.587,Congress for Democracy and Progress (CDP),15.481658754647205,0.751,-0.16400000000000003,42.389215409275664,7.7116635691345845,0.657,0.03967940066488973,-0.02300000000000002,NA,-0.523,NA,NA,2234.256007622763
parl_713,Burundi,BDI,1993,parliamentary,Front for Democracy in Burundi (FRODEBU),80.24691358024691,0.705,Union for National Progress (UPRONA),19.753086419753085,0.494,0.21099999999999997,60.49382716049382,7.236288075621168,0.165,-0.07616762607258454,0.07199999999999998,-0.2395920797569424,0.017999999999999988,-0.30916632193713534,0.043999999999999984,1388.9287917773552
pres_176,Burundi,BDI,1993,presidential,Front for Democracy in Burundi (FRODEBU),65.67876579667654,0.705,Union for National Progress (UPRONA),32.85744130133809,0.494,0.21099999999999997,32.82132449533845,7.236288075621168,0.165,-0.07616762607258454,0.07199999999999998,-0.2395920797569424,0.017999999999999988,-0.30916632193713534,0.043999999999999984,1388.9287917773552
parl_715,Burundi,BDI,2010,parliamentary,National Council for the Defense of Democracy – Front for the Defense of Democracy (CNDD-FDD),76.41509433962264,0.939,Union for National Progress (UPRONA),16.037735849056602,0.252,0.6869999999999999,60.37735849056604,6.84852965363251,0.397,0.006663730736790274,-0.11000000000000004,0.006945619086121679,-0.201,0.042684301700985694,-0.229,942.4940946060001
parl_716,Burundi,BDI,2015,parliamentary,National Council for the Defense of Democracy – Front for the Defense of Democracy (CNDD-FDD),77,0.956,Independents of Hope (IE),21,0.447,0.5089999999999999,56,6.882216315747862,0.27,-0.012407668614585088,-0.10400000000000001,0.008144774823215517,-0.10200000000000001,NA,-0.08500000000000002,974.7843974729587
pres_179,Burundi,BDI,2015,presidential,National Council for the Defense of Democracy – Front for the Defense of Democracy (CNDD-FDD),73.90595999641305,0.956,Independents of Hope (IE),20.21900769462055,0.447,0.5089999999999999,53.686952301792495,6.882216315747862,0.27,-0.012407668614585088,-0.10400000000000001,0.008144774823215517,-0.10200000000000001,NA,-0.08500000000000002,974.7843974729587
parl_737,Cambodia,KHM,1993,parliamentary,"National United Front for an Independent, Neutral, Peaceful, and Cooperative Cambodia (FUNCINPEC)",48.333333333333336,0.594,Cambodian Peoples' Party / Kampuchean People's Revolutionary Party (KPK),42.5,0.977,-0.383,5.833333333333336,7.39927519781347,0.164,-0.015796340079319182,0.20099999999999998,-0.06342276227113186,0.18299999999999997,0.36293896816688465,0.157,1634.7990945226995
parl_738,Cambodia,KHM,1998,parliamentary,Cambodian Peoples' Party / Kampuchean People's Revolutionary Party (KPK),52.459016393442624,0.969,"National United Front for an Independent, Neutral, Peaceful, and Cooperative Cambodia (FUNCINPEC)",35.24590163934426,0.583,0.386,17.213114754098363,7.315485618070431,0.365,0.13241763772962845,-0.043999999999999984,0.48205991403569737,-0.043999999999999984,1.246937211224671,-0.04899999999999999,1503.4016978312645
parl_739,Cambodia,KHM,2003,parliamentary,Cambodian Peoples' Party / Kampuchean People's Revolutionary Party (KPK),59.34959349593496,0.93,"National United Front for an Independent, Neutral, Peaceful, and Cooperative Cambodia (FUNCINPEC)",21.138211382113823,0.617,0.31300000000000006,38.21138211382114,7.626143511549712,0.317,0.17164118388549654,0.007000000000000006,0.64692540042557245,-0.0010000000000000009,1.0784050685443298,-0.020000000000000018,2051.1246091671883
parl_740,Cambodia,KHM,2008,parliamentary,Cambodian Peoples' Party / Kampuchean People's Revolutionary Party (KPK),73.17073170731707,0.929,Sam Rainsy Party (SRP),21.138211382113823,0.302,0.627,52.03252032520325,8.068131939166994,0.319,0.0844735318426777,-0.01100000000000001,0.3359095597030455,-0.02200000000000002,0.8289913109439608,-0.10800000000000001,3191.1350232845957
parl_741,Cambodia,KHM,2013,parliamentary,Cambodian Peoples' Party / Kampuchean People's Revolutionary Party (KPK),55.28455284552846,0.9,Cambodia National Rescue Party (CNRP),44.71544715447154,0.247,0.653,10.569105691056919,8.297054638413503,0.305,0.13069141603537715,-0.01200000000000001,0.4547614269347886,-0.094,0.6092197003600388,-0.11599999999999999,4012.038071379322
parl_754,Cameroon,CMR,2002,parliamentary,Cameroon People’s Democratic Movement (RDPC),82.77777777777777,0.932,Social Democratic Front (SDF),12.222222222222221,0.43,0.502,70.55555555555554,8.260702110013627,0.304,0.04373581155359063,0.0050000000000000044,0.10753134215694549,0.010000000000000009,0.1279933096242556,0.017000000000000015,3868.809476997599
pres_197,Cameroon,CMR,2004,presidential,Cameroon People’s Democratic Movement (RDPC),75.23175540473261,0.932,Social Democratic Front (SDF),17.121926332219058,0.43,0.502,58.10982907251355,8.303508513383049,0.309,0.03574565540496688,0.006000000000000005,0.0571659647230367,0.0020000000000000018,0.13162359278953728,0.017000000000000015,4038.0149992203114
parl_755,Cameroon,CMR,2007,parliamentary,Cameroon People’s Democratic Movement (RDPC),85,0.892,Social Democratic Front (SDF),8.88888888888889,0.378,0.514,76.11111111111111,8.348532803407481,0.315,0.013850984676788247,-0.0040000000000000036,0.03314704597295348,0.006000000000000005,0.13119307773903177,-0.017000000000000015,4223.978787215591
pres_198,Cameroon,CMR,2011,presidential,Cameroon People’s Democratic Movement (RDPC),77.83,0.892,Social Democratic Front (SDF),10.69,0.378,0.514,67.14,8.359101608839545,0.314,0.022285414200972964,0.007000000000000006,0.1121052998922123,-0.007000000000000006,0.11826859022157743,-0.03200000000000003,4268.8579389300385
parl_756,Cameroon,CMR,2013,parliamentary,Cameroon People’s Democratic Movement (RDPC),82.22222222222221,0.858,Social Democratic Front (SDF),10,0.397,0.46099999999999997,72.22222222222221,8.381142331887734,0.321,0.04709492415945071,0.0050000000000000044,0.10711024175508688,-0.028000000000000025,0.1114667625627801,-0.04199999999999998,4363.991206264207
parl_757,Cameroon,CMR,2020,parliamentary,Cameroon People’s Democratic Movement (RDPC),84.44444444444444,0.858,National Union for Democracy and Progress (UNDP),3.888888888888889,0.493,0.365,80.55555555555556,8.489239290861942,0.28,-0.018188647463286745,0.0019999999999999463,NA,-0.020000000000000018,NA,NA,4862.165971996109
parl_842,Cent. Af. Rep.,CAF,1993,parliamentary,Movement for the Liberation of the Central African People (MLPC),40,0.55,Central African Democratic Rally (RDC),15.294117647058824,0.822,-0.2719999999999999,24.705882352941174,7.353064794535539,0.289,-0.015958785140382514,0.063,-0.047061604412029334,0.063,-0.1540321574521364,-0.043999999999999984,1560.9732665743063
pres_205,Cent. Af. Rep.,CAF,1999,presidential,Movement for the Liberation of the Central African People (MLPC),51.6,0.727,Central African Democratic Rally (RDC),19.4,0.612,0.11499999999999999,32.2,7.3048597745032495,0.352,0.022115406521310055,-0.010999999999999954,-0.10720570922452366,-0.13099999999999998,-0.027130641345588735,-0.009999999999999953,1487.511360205033
parl_958,Colombia,COL,1982,parliamentary,Colombian Liberal Party (PLC),57.78894472361809,0.612,Colombian Conservative Party (PCC),41.20603015075377,0.829,-0.21699999999999997,16.58291457286432,9.035988005703146,0.409,-0.02133433550294417,0.05700000000000005,0.06712589729454521,0.03700000000000003,0.14819684512015252,0.14900000000000008,8400.008575327003
parl_959,Colombia,COL,1986,parliamentary,Colombian Liberal Party (PLC),49.246231155778894,0.572,Colombian Conservative Party (PCC),40.20100502512563,0.738,-0.16600000000000004,9.045226130653262,9.033249831918818,0.454,0.0700518775441501,-0.008000000000000007,0.12872406649840906,0.062,0.27216894283309245,0.10000000000000003,8377.03935326991
pres_290,Colombia,COL,1986,presidential,Colombian Liberal Party (PLC),58.70107483509208,0.572,Colombian Conservative Party (PCC),36.04720755840182,0.738,-0.16600000000000004,22.653867276690256,9.033249831918818,0.454,0.0700518775441501,-0.008000000000000007,0.12872406649840906,0.062,0.27216894283309245,0.10000000000000003,8377.03935326991
parl_960,Colombia,COL,1990,parliamentary,Colombian Liberal Party (PLC),59.798994974874375,0.522,Colombian Conservative Party (PCC),31.155778894472363,0.709,-0.18699999999999994,28.643216080402013,9.133354819331148,0.443,0.02120455075398886,0.07300000000000001,0.14852797565843745,0.11700000000000005,0.10112600943637506,0.10700000000000004,9259.03230362498
parl_962,Colombia,COL,1991,parliamentary,Colombian Liberal Party (PLC),51.4792899408284,0.406,Colombian Conservative Party (PCC),15.976331360946746,0.656,-0.25,35.50295857988166,9.15460904025277,0.473,0.019764498202875957,0.08500000000000008,0.12678006419662213,0.08100000000000007,0.07896191434242605,0.06900000000000006,9457.932063892957
parl_963,Colombia,COL,1994,parliamentary,Colombian Liberal Party (PLC),57.668711656441715,0.535,Colombian Conservative Party (PCC),34.355828220858896,0.808,-0.273,23.31288343558282,9.209743859992592,0.558,0.06406029827021431,0.0020000000000000018,0.007523290227928303,-0.020000000000000018,0.0950923201012226,-0.02100000000000002,9994.036658943123
parl_964,Colombia,COL,1998,parliamentary,Colombian Liberal Party (PLC),54.037267080745345,0.491,Colombian Conservative Party (PCC),23.60248447204969,0.757,-0.266,30.434782608695656,9.289805075956618,0.554,-0.06999571427683349,-0.016000000000000014,-0.026143203631001755,-0.019000000000000017,0.18214918570024974,0.030999999999999917,10827.073435954255
parl_965,Colombia,COL,2002,parliamentary,Colombian Liberal Party (PLC),32.53012048192771,0.444,Colombian Conservative Party (PCC),12.650602409638553,0.741,-0.297,19.87951807228916,9.23060842872548,0.542,0.03324634267055626,-0.007000000000000006,0.22906982402637222,0.040999999999999925,0.4100554888662953,0.119,10204.748485378557
parl_966,Colombia,COL,2006,parliamentary,Colombian Liberal Party (PLC),22.085889570552148,0.463,Colombian Conservative Party (PCC),18.404907975460123,0.747,-0.284,3.6809815950920246,9.332571456032964,0.542,0.10992740840645143,0.040999999999999925,0.23777431701002127,0.118,0.4170248982815632,0.14,11300.15200107992
parl_967,Colombia,COL,2010,parliamentary,Social Party of National Unity (Partido-U),28.65853658536585,0.564,Colombian Conservative Party (PCC),23.170731707317074,0.721,-0.15700000000000003,5.487804878048777,9.45682200970939,0.587,0.09315095190386691,0.07300000000000006,0.23807234210435424,0.09400000000000008,0.16742403981339726,0.05600000000000005,12795.1568819346
pres_297,Colombia,COL,2014,presidential,Social Party of National Unity (Partido-U),50.95359394912441,0.398,Democratic Centre (CD),45.008986477946614,0.833,-0.43499999999999994,5.944607471177797,9.614815934668806,0.669,0.057134221480800385,0.01200000000000001,0.08952375076231989,-0.018000000000000016,NA,0.028999999999999915,14985.164160346052
parl_969,Colombia,COL,2018,parliamentary,Colombian Liberal Party (PLC),20.348837209302324,0.418,Democratic Centre (CD),18.6046511627907,0.804,-0.38600000000000007,1.7441860465116257,9.680118276330852,0.68,0.020648626160591377,-0.029000000000000026,0.08275022621460426,0.030999999999999917,NA,NA,15996.38880932608
parl_976,Comoro Is.,COM,1993,parliamentary,Rally for Democracy and Renewal (RDR),66.66666666666666,0.52,National Union for Democracy in the Comoros (UNDC),9.523809523809524,0.784,-0.264,57.14285714285713,8.04503043178222,0.414,-0.058754999677277375,-0.014999999999999958,-0.053358636000817916,0.016000000000000014,-0.04296112024078724,-0.044999999999999984,3118.2599964282854
parl_998,Congo,COG,2022,parliamentary,Congolese Party of Labour (PCT),74.17218543046357,0.694,Pan-African Union for Social Democracy (UPADS),4.635761589403973,0.44,0.25399999999999995,69.5364238410596,8.729196384684244,0.254,-0.010698568887900883,-0.0010000000000000009,NA,NA,NA,NA,6180.759162181491
parl_1121,Cyprus,CYP,1970,parliamentary,United Party (EP),42.857142857142854,0.837,Progressive Party of Working People (AKEL),25.71428571428571,0.197,0.6399999999999999,17.142857142857142,8.814594671314268,0.46,0.14168467934094897,0.021999999999999964,0.09694003136742357,0.062,0.8532244360985739,0.13699999999999996,6731.778628575849
parl_1145,Czech Rep.,CZE,1990,parliamentary,Civic Forum (OF),63.5,0.021,Communist Party of Czechoslovakia (KSC),16,0.678,-0.657,47.5,NA,0.146,NA,0.737,NA,0.749,NA,0.732,NA
pres_393,Djibouti,DJI,1993,presidential,People's Rally for Progress (RPP),60.7489709719943,0.933,Movement for Democratic Renewal and Development / Party for Democratic Renewal (MRDD / PRD),22.041376341771812,0.515,0.41800000000000004,38.70759463022249,7.751496045064091,0.226,0.021845878091043325,0.013999999999999985,-0.041755835950673226,0.01899999999999999,-0.05797499405711637,0.036000000000000004,2325.048190873549
